dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_fixed_params
42225.0,diamonds,1.0,0.0,1960968.5,2022-10-24 03:24:02.518470,2022-10-24 03:48:36.415861,0 days 00:24:33.897391,64.0,2.0,0.001,512.0,COMPLETE,"{'n_max': 64, 'n_layers': 2, 'lr': 0.001, 'batch_size': 512}"
42225.0,diamonds,1.0,1.0,802772.5,2022-10-24 03:48:36.416366,2022-10-24 04:12:35.020717,0 days 00:23:58.604351,771.0,3.0,0.000594870999648,1024.0,COMPLETE,
42225.0,diamonds,1.0,2.0,17022524.0,2022-10-24 04:12:35.021201,2022-10-24 04:13:19.777274,0 days 00:00:44.756073,712.0,6.0,0.0040167847791902,8124.0,COMPLETE,
42225.0,diamonds,1.0,3.0,831814.125,2022-10-24 04:13:19.777767,2022-10-24 04:38:23.735697,0 days 00:25:03.957930,205.0,4.0,0.0018975219474308,2048.0,COMPLETE,
42225.0,diamonds,1.0,4.0,25360466.0,2022-10-24 04:38:23.736196,2022-10-24 05:02:32.892819,0 days 00:24:09.156623,293.0,2.0,0.0006991011793273,2048.0,COMPLETE,
42225.0,diamonds,1.0,5.0,4503477.5,2022-10-24 05:02:32.893286,2022-10-24 05:05:33.632977,0 days 00:03:00.739691,890.0,6.0,0.0358327314788998,1024.0,COMPLETE,
42225.0,diamonds,1.0,6.0,31284716.0,2022-10-24 05:05:33.633437,2022-10-24 05:13:48.572497,0 days 00:08:14.939060,969.0,4.0,2.25546824258983e-05,8124.0,COMPLETE,
42225.0,diamonds,1.0,7.0,9225033.0,2022-10-24 05:13:48.572978,2022-10-24 05:16:35.932814,0 days 00:02:47.359836,645.0,4.0,0.0288010623946481,4096.0,COMPLETE,
42225.0,diamonds,1.0,8.0,31076872.0,2022-10-24 05:16:35.933298,2022-10-24 05:40:50.008434,0 days 00:24:14.075136,588.0,2.0,4.668488842052349e-05,2048.0,COMPLETE,
42225.0,diamonds,1.0,9.0,24885636.0,2022-10-24 05:40:50.008910,2022-10-24 05:58:53.728873,0 days 00:18:03.719963,220.0,6.0,0.0001784939434196,8124.0,COMPLETE,
42225.0,diamonds,1.0,10.0,4249607.5,2022-10-24 05:58:53.729362,2022-10-24 06:22:33.541553,0 days 00:23:39.812191,443.0,3.0,0.0001470916360823,1024.0,COMPLETE,
42225.0,diamonds,1.0,11.0,750950.375,2022-10-24 06:22:33.542041,2022-10-24 06:47:44.542284,0 days 00:25:11.000243,778.0,3.0,0.0040729468110281,2048.0,COMPLETE,
42225.0,diamonds,1.0,12.0,670641.4375,2022-10-24 06:47:44.542781,2022-10-24 07:05:53.471803,0 days 00:18:08.929022,791.0,3.0,0.0071471588523082,1024.0,COMPLETE,
42225.0,diamonds,1.0,13.0,777202.625,2022-10-24 07:05:53.472263,2022-10-24 07:31:21.188026,0 days 00:25:27.715763,832.0,3.0,0.0083274899179782,4096.0,COMPLETE,
42225.0,diamonds,1.0,14.0,8248308.0,2022-10-24 07:31:21.188510,2022-10-24 07:33:17.614854,0 days 00:01:56.426344,1024.0,5.0,0.0823478416727,512.0,COMPLETE,
42225.0,diamonds,1.0,15.0,704741.5,2022-10-24 07:33:17.615348,2022-10-24 07:46:38.434682,0 days 00:13:20.819334,463.0,3.0,0.0098193782920522,1024.0,COMPLETE,
42225.0,diamonds,1.0,16.0,1487117.0,2022-10-24 07:46:38.435153,2022-10-24 07:51:03.236966,0 days 00:04:24.801813,428.0,5.0,0.0138386931834675,1024.0,COMPLETE,
42225.0,diamonds,1.0,17.0,705800.875,2022-10-24 07:51:03.237431,2022-10-24 08:04:37.939597,0 days 00:13:34.702166,557.0,3.0,0.0118794260400469,1024.0,COMPLETE,
42225.0,diamonds,1.0,18.0,7686275.0,2022-10-24 08:04:37.940064,2022-10-24 08:06:24.708430,0 days 00:01:46.768366,407.0,5.0,0.087555566196618,1024.0,COMPLETE,
