dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_fixed_params
287.0,k2204_BPV,1.0,0.0,4.346732748672366e-05,2022-10-21 09:49:21.879024,2022-10-21 09:50:17.057706,0 days 00:00:55.178682,64.0,2.0,0.001,512.0,COMPLETE,"{'n_max': 64, 'n_layers': 2, 'lr': 0.001, 'batch_size': 512}"
287.0,k2204_BPV,1.0,1.0,0.0001289147767238,2022-10-21 09:50:17.058235,2022-10-21 09:55:36.402314,0 days 00:05:19.344079,371.0,3.0,1.1776044054960748e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,2.0,0.0112902726978063,2022-10-21 09:55:36.402823,2022-10-21 09:55:54.590813,0 days 00:00:18.187990,709.0,4.0,0.0010096842081848,8124.0,COMPLETE,
287.0,k2204_BPV,1.0,3.0,0.0733960643410682,2022-10-21 09:55:54.591273,2022-10-21 09:56:16.121630,0 days 00:00:21.530357,892.0,5.0,0.0036761359974581,4096.0,COMPLETE,
287.0,k2204_BPV,1.0,4.0,4.530111982603557e-05,2022-10-21 09:56:16.122084,2022-10-21 09:56:44.216457,0 days 00:00:28.094373,51.0,2.0,0.0041552933994043,512.0,COMPLETE,
287.0,k2204_BPV,1.0,5.0,0.0015985774807631,2022-10-21 09:56:44.216972,2022-10-21 10:00:25.379297,0 days 00:03:41.162325,34.0,4.0,0.00041309413809,8124.0,COMPLETE,
287.0,k2204_BPV,1.0,6.0,3.0295059332274832e-05,2022-10-21 10:00:25.379869,2022-10-21 10:05:36.096784,0 days 00:05:10.716915,375.0,2.0,4.9264815056525975e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,7.0,0.0073281903751194,2022-10-21 10:05:36.097243,2022-10-21 10:07:36.315550,0 days 00:02:00.218307,945.0,5.0,2.5047408414776946e-05,4096.0,COMPLETE,
287.0,k2204_BPV,1.0,8.0,7.985324191395193e-05,2022-10-21 10:07:36.316009,2022-10-21 10:09:41.289521,0 days 00:02:04.973512,68.0,2.0,0.0014026220708483,8124.0,COMPLETE,
287.0,k2204_BPV,1.0,9.0,0.0081051867455244,2022-10-21 10:09:41.290048,2022-10-21 10:09:56.829492,0 days 00:00:15.539444,1020.0,5.0,0.000965052475059,512.0,COMPLETE,
287.0,k2204_BPV,1.0,10.0,0.2087860405445099,2022-10-21 10:09:56.829954,2022-10-21 10:10:08.562884,0 days 00:00:11.732930,387.0,6.0,0.049996565481341,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,11.0,2.4059499992290512e-05,2022-10-21 10:10:08.563329,2022-10-21 10:14:35.173369,0 days 00:04:26.610040,283.0,2.0,9.9448395464816e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,12.0,2.457018308632541e-05,2022-10-21 10:14:35.173905,2022-10-21 10:16:02.305931,0 days 00:01:27.132026,314.0,3.0,8.343573606096365e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,13.0,1.9267152310931124e-05,2022-10-21 10:16:02.306482,2022-10-21 10:17:21.553740,0 days 00:01:19.247258,272.0,3.0,0.0001198965862525,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,14.0,1.704688838799484e-05,2022-10-21 10:17:21.554284,2022-10-21 10:18:50.269344,0 days 00:01:28.715060,210.0,3.0,0.0001428693373438,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,15.0,0.0004542480455711,2022-10-21 10:18:50.269784,2022-10-21 10:19:18.922702,0 days 00:00:28.652918,541.0,3.0,0.0001966905938145,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,16.0,1.0881028174480887e-05,2022-10-21 10:19:18.923233,2022-10-21 10:19:50.087191,0 days 00:00:31.163958,246.0,3.0,0.0002463467504718,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,17.0,0.053261674940586,2022-10-21 10:19:50.087713,2022-10-21 10:20:01.442215,0 days 00:00:11.354502,171.0,4.0,0.0288859662897129,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,18.0,3.846365871140733e-05,2022-10-21 10:20:01.442738,2022-10-21 10:20:21.571843,0 days 00:00:20.129105,492.0,3.0,0.0002993476837193,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,19.0,7.677402209083084e-06,2022-10-21 10:20:21.572408,2022-10-21 10:23:00.336686,0 days 00:02:38.764278,189.0,4.0,3.355471787818981e-05,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,20.0,2.160226540581789e-05,2022-10-21 10:23:00.337179,2022-10-21 10:24:02.733272,0 days 00:01:02.396093,535.0,4.0,3.281930575710028e-05,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,21.0,0.0015354484785348,2022-10-21 10:24:02.733723,2022-10-21 10:29:36.902005,0 days 00:05:34.168282,164.0,4.0,1.0995361414803794e-05,1024.0,COMPLETE,
