dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_fixed_params
287.0,k2204_PPV,1.0,0.0,7.863026618957519,2022-10-22 06:08:21.176822,2022-10-22 06:14:08.851282,0 days 00:05:47.674460,64.0,2.0,0.001,512.0,COMPLETE,"{'n_max': 64, 'n_layers': 2, 'lr': 0.001, 'batch_size': 512}"
287.0,k2204_PPV,1.0,1.0,3827.1357421875,2022-10-22 06:14:08.851808,2022-10-22 06:14:23.067409,0 days 00:00:14.215601,865.0,5.0,0.0317568674188269,8124.0,COMPLETE,
287.0,k2204_PPV,1.0,2.0,5.41461181640625,2022-10-22 06:14:23.067904,2022-10-22 06:15:00.558443,0 days 00:00:37.490539,355.0,4.0,0.0035396207561127,512.0,COMPLETE,
287.0,k2204_PPV,1.0,3.0,563.21484375,2022-10-22 06:15:00.559011,2022-10-22 06:15:16.345951,0 days 00:00:15.786940,224.0,5.0,0.0645709845586537,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,4.0,2.036908864974976,2022-10-22 06:15:16.346557,2022-10-22 06:20:15.735510,0 days 00:04:59.388953,671.0,4.0,0.0004670555739018,4096.0,COMPLETE,
287.0,k2204_PPV,1.0,5.0,409.772705078125,2022-10-22 06:20:15.735961,2022-10-22 06:25:37.455057,0 days 00:05:21.719096,882.0,2.0,2.633044347295093e-05,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,6.0,147.27142333984375,2022-10-22 06:25:37.455561,2022-10-22 06:30:18.227934,0 days 00:04:40.772373,43.0,5.0,0.0001108125619986,512.0,COMPLETE,
287.0,k2204_PPV,1.0,7.0,616.902099609375,2022-10-22 06:30:18.228452,2022-10-22 06:35:18.062713,0 days 00:04:59.834261,277.0,3.0,2.173012921728381e-05,4096.0,COMPLETE,
287.0,k2204_PPV,1.0,8.0,610.8999633789062,2022-10-22 06:35:18.063167,2022-10-22 06:35:30.067641,0 days 00:00:12.004474,794.0,4.0,0.0019873678504762,4096.0,COMPLETE,
287.0,k2204_PPV,1.0,9.0,211.3701019287109,2022-10-22 06:35:30.068181,2022-10-22 06:35:40.937661,0 days 00:00:10.869480,106.0,2.0,0.0829718547325319,8124.0,COMPLETE,
287.0,k2204_PPV,1.0,10.0,52.57100677490234,2022-10-22 06:35:40.938141,2022-10-22 06:38:41.296392,0 days 00:03:00.358251,627.0,6.0,0.0002248208073748,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,11.0,44.18068313598633,2022-10-22 06:38:41.296909,2022-10-22 06:39:10.314348,0 days 00:00:29.017439,488.0,4.0,0.006093368327454,512.0,COMPLETE,
287.0,k2204_PPV,1.0,12.0,657.5808715820312,2022-10-22 06:39:10.314919,2022-10-22 06:39:18.445716,0 days 00:00:08.130797,488.0,3.0,0.0096941799838604,4096.0,COMPLETE,
287.0,k2204_PPV,1.0,13.0,2.011044502258301,2022-10-22 06:39:18.446196,2022-10-22 06:44:21.708921,0 days 00:05:03.262725,684.0,3.0,0.0004164978983261,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,14.0,1.714888334274292,2022-10-22 06:44:21.709439,2022-10-22 06:48:50.810532,0 days 00:04:29.101093,699.0,3.0,0.0004724573415079,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,15.0,26.66722869873047,2022-10-22 06:48:50.811060,2022-10-22 06:54:27.057308,0 days 00:05:36.246248,997.0,3.0,8.35612687627308e-05,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,16.0,1.7000149488449097,2022-10-22 06:54:27.057776,2022-10-22 06:58:53.907733,0 days 00:04:26.849957,664.0,3.0,0.000520675878071,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,17.0,1.5974628925323486,2022-10-22 06:58:53.908273,2022-10-22 07:00:59.786622,0 days 00:02:05.878349,576.0,3.0,0.0016260978359778,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,18.0,2.37259840965271,2022-10-22 07:00:59.787162,2022-10-22 07:06:13.639510,0 days 00:05:13.852348,559.0,2.0,0.0014796017533981,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,19.0,87.54500579833984,2022-10-22 07:06:13.639997,2022-10-22 07:06:24.218835,0 days 00:00:10.578838,406.0,3.0,0.0141551709750108,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,20.0,12.615081787109377,2022-10-22 07:06:24.219362,2022-10-22 07:10:24.097127,0 days 00:03:59.877765,777.0,6.0,0.0001473863378365,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,21.0,1.3585240840911863,2022-10-22 07:10:24.097603,2022-10-22 07:14:10.269078,0 days 00:03:46.171475,588.0,3.0,0.0007324430412355,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,22.0,1.096855640411377,2022-10-22 07:14:10.269605,2022-10-22 07:17:54.718512,0 days 00:03:44.448907,570.0,3.0,0.000849697753587,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,23.0,0.9024385809898376,2022-10-22 07:17:54.719033,2022-10-22 07:22:59.714414,0 days 00:05:04.995381,561.0,2.0,0.0023674856710311,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,24.0,0.7206986546516418,2022-10-22 07:22:59.714910,2022-10-22 07:27:20.117284,0 days 00:04:20.402374,436.0,2.0,0.0036877909767598,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,25.0,0.7512129545211792,2022-10-22 07:27:20.117805,2022-10-22 07:31:33.252120,0 days 00:04:13.134315,413.0,2.0,0.0039035320824753,2048.0,COMPLETE,
287.0,k2204_PPV,1.0,26.0,0.4920071959495544,2022-10-22 07:31:33.252640,2022-10-22 07:34:08.753168,0 days 00:02:35.500528,383.0,2.0,0.0042688399362018,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,27.0,0.5444288849830627,2022-10-22 07:34:08.753688,2022-10-22 07:36:33.876145,0 days 00:02:25.122457,388.0,2.0,0.0045501292374006,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,28.0,3.8191676139831534,2022-10-22 07:36:33.876666,2022-10-22 07:37:20.528880,0 days 00:00:46.652214,226.0,2.0,0.0305588769785741,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,29.0,0.7220085263252258,2022-10-22 07:37:20.529404,2022-10-22 07:38:40.627700,0 days 00:01:20.098296,302.0,2.0,0.0123129135950721,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,30.0,0.5526540875434875,2022-10-22 07:38:40.628239,2022-10-22 07:42:04.514547,0 days 00:03:23.886308,150.0,2.0,0.0054813247369223,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,31.0,0.7135485410690308,2022-10-22 07:42:04.515074,2022-10-22 07:45:22.313166,0 days 00:03:17.798092,131.0,2.0,0.0061693595786364,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,32.0,0.5465057492256165,2022-10-22 07:45:22.313705,2022-10-22 07:48:39.672655,0 days 00:03:17.358950,124.0,2.0,0.0071323796965522,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,33.0,0.9936679601669312,2022-10-22 07:48:39.673184,2022-10-22 07:49:43.894165,0 days 00:01:04.220981,167.0,2.0,0.022988416807667,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,34.0,0.6442898511886597,2022-10-22 07:49:43.894714,2022-10-22 07:51:31.571813,0 days 00:01:47.677099,332.0,2.0,0.0072502690182551,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,35.0,0.7636041045188904,2022-10-22 07:51:31.572354,2022-10-22 07:52:43.469227,0 days 00:01:11.896873,181.0,2.0,0.0183940290013782,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,36.0,22.691728591918945,2022-10-22 07:52:43.469753,2022-10-22 07:53:20.408449,0 days 00:00:36.938696,245.0,2.0,0.0450874618460372,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,37.0,8.36685562133789,2022-10-22 07:53:20.408994,2022-10-22 07:58:26.028950,0 days 00:05:05.619956,25.0,2.0,0.0031856404861357,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,38.0,2237.69140625,2022-10-22 07:58:26.029430,2022-10-22 07:58:35.521914,0 days 00:00:09.492484,367.0,5.0,0.0047404777311579,8124.0,COMPLETE,
287.0,k2204_PPV,1.0,39.0,0.9815760850906372,2022-10-22 07:58:35.522400,2022-10-22 08:01:52.484855,0 days 00:03:16.962455,67.0,2.0,0.008787548258122,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,40.0,1.1118807792663574,2022-10-22 08:01:52.485380,2022-10-22 08:03:44.831168,0 days 00:01:52.345788,181.0,4.0,0.0014806970813028,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,41.0,0.645260214805603,2022-10-22 08:03:44.831762,2022-10-22 08:05:21.519874,0 days 00:01:36.688112,328.0,2.0,0.0076005949743167,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,42.0,0.6806724071502686,2022-10-22 08:05:21.520424,2022-10-22 08:09:18.891783,0 days 00:03:57.371359,266.0,2.0,0.0026963044239486,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,43.0,583.0682983398438,2022-10-22 08:09:18.892321,2022-10-22 08:14:39.205330,0 days 00:05:20.313009,350.0,2.0,1.1609215640757284e-05,1024.0,COMPLETE,
287.0,k2204_PPV,1.0,44.0,0.1987740844488144,2022-10-22 08:14:39.205838,2022-10-22 08:16:21.939266,0 days 00:01:42.733428,96.0,2.0,0.0156522914781491,512.0,COMPLETE,
287.0,k2204_PPV,1.0,45.0,1061.0142822265625,2022-10-22 08:16:21.939821,2022-10-22 08:16:45.504805,0 days 00:00:23.564984,101.0,4.0,0.0473240454831429,512.0,COMPLETE,
287.0,k2204_PPV,1.0,46.0,0.3546567559242248,2022-10-22 08:16:45.505407,2022-10-22 08:18:34.062170,0 days 00:01:48.556763,72.0,2.0,0.0166450542117098,512.0,COMPLETE,
287.0,k2204_PPV,1.0,47.0,4.4633893966674805,2022-10-22 08:18:34.062753,2022-10-22 08:19:36.515456,0 days 00:01:02.452703,62.0,3.0,0.0197652377837981,512.0,COMPLETE,
287.0,k2204_PPV,1.0,48.0,0.2640257477760315,2022-10-22 08:19:36.516022,2022-10-22 08:21:13.856807,0 days 00:01:37.340785,108.0,2.0,0.0140704301451491,512.0,COMPLETE,
287.0,k2204_PPV,1.0,49.0,830.0159912109375,2022-10-22 08:21:13.857357,2022-10-22 08:21:38.715585,0 days 00:00:24.858228,202.0,3.0,0.092170045161707,512.0,COMPLETE,
287.0,k2204_PPV,1.0,50.0,11.55616569519043,2022-10-22 08:21:38.716129,2022-10-22 08:22:14.098470,0 days 00:00:35.382341,93.0,5.0,0.013678672444494,512.0,COMPLETE,
287.0,k2204_PPV,1.0,51.0,1.563026785850525,2022-10-22 08:22:14.098963,2022-10-22 08:23:01.989118,0 days 00:00:47.890155,135.0,2.0,0.0302610115097904,512.0,COMPLETE,
287.0,k2204_PPV,1.0,52.0,0.7559924721717834,2022-10-22 08:23:01.989664,2022-10-22 08:23:52.590407,0 days 00:00:50.600743,484.0,2.0,0.012107508211412,512.0,COMPLETE,
287.0,k2204_PPV,1.0,53.0,0.6489385366439819,2022-10-22 08:23:52.590938,2022-10-22 08:25:11.976572,0 days 00:01:19.385634,36.0,2.0,0.0446463994735741,512.0,COMPLETE,
