dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_BPV,1.0,0.0,0.0021525586489588,2022-11-08 14:29:08.945085,2022-11-08 14:34:34.863081,0 days 00:05:25.917996,200.0,4.0,0.001,512.0,COMPLETE,0.0027044026646763,,,"{'n_max': 200, 'n_layers': 4, 'lr': 0.001, 'batch_size': 512}"
44027.0,r1_08_BPV,1.0,1.0,0.2671335935592651,2022-11-08 14:34:34.863692,2022-11-08 14:36:05.952103,0 days 00:01:31.088411,502.0,2.0,0.0697825764433741,512.0,COMPLETE,0.4820458590984344,,,
44027.0,r1_08_BPV,1.0,2.0,153.9215545654297,2022-11-08 14:36:05.952668,2022-11-08 14:38:37.032769,0 days 00:02:31.080101,71.0,4.0,0.0002220223797346,8124.0,PRUNED,153.9215545654297,,,
44027.0,r1_08_BPV,1.0,3.0,1.0996222496032717,2022-11-08 14:38:37.033096,2022-11-08 14:40:54.230402,0 days 00:02:17.197306,209.0,6.0,0.0370248187611911,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,4.0,0.0014670817181468,2022-11-08 14:40:54.230970,2022-11-08 15:11:04.846142,0 days 00:30:10.615172,661.0,4.0,4.376791115245151e-05,2048.0,COMPLETE,0.0364069864153862,0.003096712520346,,
44027.0,r1_08_BPV,1.0,5.0,30.95035552978516,2022-11-08 15:11:04.846789,2022-11-08 15:12:11.242272,0 days 00:01:06.395483,911.0,6.0,0.0820848828866795,4096.0,PRUNED,30.95035552978516,,,
44027.0,r1_08_BPV,1.0,6.0,0.1439752876758575,2022-11-08 15:12:11.242592,2022-11-08 15:14:37.196330,0 days 00:02:25.953738,299.0,2.0,0.012179135168593,4096.0,PRUNED,0.1439752876758575,,,
44027.0,r1_08_BPV,1.0,7.0,0.0787612944841384,2022-11-08 15:14:37.196704,2022-11-08 15:17:17.987546,0 days 00:02:40.790842,1012.0,6.0,0.0001366473201086,1024.0,PRUNED,0.0787612944841384,,,
44027.0,r1_08_BPV,1.0,8.0,0.0008930885232985,2022-11-08 15:17:17.987898,2022-11-08 15:47:27.871361,0 days 00:30:09.883463,313.0,5.0,8.135889442743982e-05,2048.0,COMPLETE,0.0223832074552774,0.0022585727274417,,
44027.0,r1_08_BPV,1.0,9.0,0.3437375724315643,2022-11-08 15:47:27.871996,2022-11-08 15:49:44.811978,0 days 00:02:16.939982,775.0,2.0,0.0801922279177613,512.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,10.0,0.7201740145683289,2022-11-08 15:49:44.812670,2022-11-08 15:52:35.750752,0 days 00:02:50.938082,344.0,3.0,0.0581256548594535,1024.0,COMPLETE,,,,
