dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,0.0,89.89878845214844,2022-11-03 21:41:23.733763,2022-11-03 22:06:56.809359,0 days 00:25:33.075596,64.0,2.0,0.001,512.0,COMPLETE,2566208.25,502324.0625,728.1535034179688,"{'n_max': 64, 'n_layers': 2, 'lr': 0.001, 'batch_size': 512}",
44027.0,year,1.0,1.0,186.7070159912109,2022-11-03 22:06:56.810110,2022-11-03 22:44:02.444445,0 days 00:37:05.634335,860.0,6.0,0.0061070258962246,4096.0,COMPLETE,388537.53125,219579.359375,,,
44027.0,year,1.0,2.0,3967637.25,2022-11-03 22:44:02.445104,2022-11-03 22:45:27.789805,0 days 00:01:25.344701,529.0,2.0,6.421244988110779e-05,2048.0,PRUNED,3967637.25,,,,
44027.0,year,1.0,3.0,91.7799072265625,2022-11-03 22:45:27.790128,2022-11-03 23:05:38.308405,0 days 00:20:10.518277,619.0,5.0,0.0016496584730458,1024.0,COMPLETE,252453.109375,206686.859375,473.0048828125,,
44027.0,year,1.0,4.0,3909.884765625,2022-11-03 23:05:38.309080,2022-11-03 23:45:44.594076,0 days 00:40:06.284996,299.0,4.0,2.4907210669817424e-05,1024.0,COMPLETE,31776.6015625,,,,
44027.0,year,1.0,5.0,127.29228973388672,2022-11-03 23:45:44.594725,2022-11-04 00:02:46.004764,0 days 00:17:01.410039,442.0,4.0,0.0355396648554365,4096.0,COMPLETE,,,,,
44027.0,year,1.0,6.0,500562.4375,2022-11-04 00:02:46.005438,2022-11-04 00:04:32.942159,0 days 00:01:46.936721,963.0,6.0,0.0001929678048083,2048.0,PRUNED,500562.4375,,,,
44027.0,year,1.0,7.0,260198.890625,2022-11-04 00:04:32.942497,2022-11-04 00:36:09.016441,0 days 00:31:36.073944,356.0,2.0,5.324127534629957e-05,1024.0,PRUNED,260198.890625,,,,
44027.0,year,1.0,8.0,622971.25,2022-11-04 00:36:09.016760,2022-11-04 00:37:40.406218,0 days 00:01:31.389458,315.0,4.0,0.0005405118769988,2048.0,PRUNED,622971.25,,,,
44027.0,year,1.0,9.0,399707.1875,2022-11-04 00:37:40.406559,2022-11-04 00:39:21.687864,0 days 00:01:41.281305,951.0,6.0,0.0018464143524982,4096.0,COMPLETE,,,,,
44027.0,year,1.0,10.0,3852106.75,2022-11-04 00:39:21.688554,2022-11-04 00:40:52.450928,0 days 00:01:30.762374,696.0,3.0,3.549719344656093e-05,1024.0,PRUNED,3852106.75,,,,
44027.0,year,1.0,11.0,108.54803466796876,2022-11-04 00:40:52.451247,2022-11-04 00:52:11.774932,0 days 00:11:19.323685,781.0,6.0,0.0054063757394912,512.0,COMPLETE,427.6863708496094,,,,
44027.0,year,1.0,12.0,117.99797058105467,2022-11-04 00:52:11.775653,2022-11-04 00:56:09.858047,0 days 00:03:58.082394,907.0,3.0,0.0229781207397036,512.0,COMPLETE,,,,,
44027.0,year,1.0,13.0,3949623.5,2022-11-04 00:56:09.858772,2022-11-04 01:00:11.430896,0 days 00:04:01.572124,334.0,4.0,1.4355473423590551e-05,2048.0,PRUNED,3949623.5,,,,
44027.0,year,1.0,14.0,212214.265625,2022-11-04 01:00:11.431197,2022-11-04 01:04:08.129712,0 days 00:03:56.698515,616.0,3.0,0.0089195282266264,4096.0,PRUNED,343480.40625,212214.265625,,,
44027.0,year,1.0,15.0,442014.03125,2022-11-04 01:04:08.130067,2022-11-04 01:09:07.646763,0 days 00:04:59.516696,630.0,6.0,6.147676511939062e-05,2048.0,COMPLETE,,,,,
44027.0,year,1.0,16.0,3303722.0,2022-11-04 01:09:07.647442,2022-11-04 01:12:58.560399,0 days 00:03:50.912957,732.0,2.0,0.0004405002604809,4096.0,PRUNED,3303722.0,,,,
44027.0,year,1.0,17.0,91.151123046875,2022-11-04 01:12:58.560701,2022-11-04 01:20:29.731137,0 days 00:07:31.170436,997.0,2.0,0.0281033345924296,512.0,COMPLETE,9471.4541015625,106.13958740234376,,,
44027.0,year,1.0,18.0,161.41690063476562,2022-11-04 01:20:29.731877,2022-11-04 01:38:23.830608,0 days 00:17:54.098731,474.0,4.0,0.0007019414151718,1024.0,COMPLETE,,,,,
44027.0,year,1.0,19.0,197973.515625,2022-11-04 01:38:23.831346,2022-11-04 01:44:29.567959,0 days 00:06:05.736613,577.0,6.0,0.0007000588525423,512.0,PRUNED,271427.125,197973.515625,,,
44027.0,year,1.0,20.0,448627.09375,2022-11-04 01:44:29.568305,2022-11-04 01:46:10.656928,0 days 00:01:41.088623,966.0,6.0,0.0012443430721715,8124.0,PRUNED,448627.09375,,,,
44027.0,year,1.0,21.0,118.27655029296876,2022-11-04 01:46:10.657261,2022-11-04 01:51:54.206992,0 days 00:05:43.549731,20.0,3.0,0.0971524631946805,512.0,COMPLETE,525.8978881835938,180.3128356933593,,,
44027.0,year,1.0,22.0,157488.609375,2022-11-04 01:51:54.207699,2022-11-04 01:56:40.319608,0 days 00:04:46.111909,450.0,3.0,0.0006532283085073,512.0,PRUNED,157488.609375,,,,
