dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,0.0,0.0463846325874328,2022-10-31 11:05:48.185197,2022-10-31 11:06:57.473479,0 days 00:01:09.288282,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,10.0,COMPLETE,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
42225.0,diamonds,1.0,1.0,0.0009971387335099,2022-10-31 11:06:57.474069,2022-10-31 11:35:58.932885,0 days 00:29:01.458816,2.0,1.0,256.0,0.0009955509353905,267.0,2.0,matern1.5,108.0,COMPLETE,
42225.0,diamonds,1.0,2.0,0.0014615095569752,2022-10-31 11:35:58.933420,2022-10-31 12:06:06.214178,0 days 00:30:07.280758,3.0,1.0,256.0,0.0011162080179668,200.0,6.0,rbf,89.0,COMPLETE,
42225.0,diamonds,1.0,3.0,0.0463658422231674,2022-10-31 12:06:06.214704,2022-10-31 12:10:35.912061,0 days 00:04:29.697357,2.0,1.0,512.0,0.0001401220278644,94.0,7.0,rbf,33.0,COMPLETE,
42225.0,diamonds,1.0,4.0,0.0464508216828107,2022-10-31 12:10:35.912585,2022-10-31 12:16:06.410412,0 days 00:05:30.497827,5.0,1.0,256.0,0.0015940393667616,81.0,13.0,matern1.5,7.0,COMPLETE,
42225.0,diamonds,1.0,5.0,0.0462577007710933,2022-10-31 12:16:06.410939,2022-10-31 12:19:21.035708,0 days 00:03:14.624769,2.0,3.0,256.0,0.0004703366569641,56.0,6.0,matern0.5,9.0,COMPLETE,
42225.0,diamonds,1.0,6.0,0.0011138081899844,2022-10-31 12:19:21.036244,2022-10-31 12:23:36.712990,0 days 00:04:15.676746,2.0,4.0,256.0,0.0283732709061273,245.0,9.0,matern0.5,9.0,COMPLETE,
42225.0,diamonds,1.0,7.0,0.0464276261627674,2022-10-31 12:23:36.713502,2022-10-31 12:29:09.973594,0 days 00:05:33.260092,2.0,3.0,512.0,0.0002388447527667,133.0,7.0,matern1.5,32.0,COMPLETE,
42225.0,diamonds,1.0,8.0,0.0021792192710563,2022-10-31 12:29:09.974199,2022-10-31 12:36:50.600228,0 days 00:07:40.626029,5.0,1.0,1024.0,0.0552395436564291,283.0,15.0,matern0.5,29.0,COMPLETE,
42225.0,diamonds,1.0,9.0,0.0025449941167607,2022-10-31 12:36:50.600762,2022-10-31 12:37:32.914215,0 days 00:00:42.313453,1.0,1.0,1024.0,0.0855932703346429,95.0,2.0,rbf,10.0,COMPLETE,
