dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
216.0,elevators,1.0,0.0,0.0102321612648665,2022-10-30 07:29:40.307132,2022-10-30 07:30:16.101503,0 days 00:00:35.794371,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,15.0,COMPLETE,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
216.0,elevators,1.0,1.0,0.010246270801872,2022-10-30 07:30:16.102097,2022-10-30 07:32:39.641421,0 days 00:02:23.539324,2.0,4.0,1024.0,0.0003828027558171,89.0,7.0,rbf,83.0,COMPLETE,
216.0,elevators,1.0,2.0,0.0098792873322963,2022-10-30 07:32:39.641996,2022-10-30 07:33:54.012999,0 days 00:01:14.371003,3.0,1.0,1024.0,0.0007130220920576,593.0,3.0,matern0.5,16.0,COMPLETE,
216.0,elevators,1.0,3.0,0.0103636779822409,2022-10-30 07:33:54.013524,2022-10-30 07:35:02.321550,0 days 00:01:08.308026,2.0,1.0,1024.0,0.0254050902795524,775.0,14.0,matern0.5,8.0,COMPLETE,
216.0,elevators,1.0,4.0,0.0024359540548175,2022-10-30 07:35:02.322102,2022-10-30 07:36:19.652802,0 days 00:01:17.330700,1.0,2.0,512.0,0.0320347520805658,490.0,3.0,matern0.5,28.0,COMPLETE,
216.0,elevators,1.0,5.0,0.0103218466974794,2022-10-30 07:36:19.653303,2022-10-30 07:38:18.312529,0 days 00:01:58.659226,4.0,1.0,1024.0,0.0104914483483015,405.0,14.0,matern1.5,19.0,COMPLETE,
216.0,elevators,1.0,6.0,0.0102520785294473,2022-10-30 07:38:18.313056,2022-10-30 07:40:27.611336,0 days 00:02:09.298280,3.0,1.0,1024.0,0.0001755820406611,80.0,12.0,rbf,67.0,COMPLETE,
216.0,elevators,1.0,7.0,0.0103094093501567,2022-10-30 07:40:27.611855,2022-10-30 07:41:48.957966,0 days 00:01:21.346111,2.0,1.0,256.0,0.0003937892708838,97.0,14.0,matern0.5,14.0,COMPLETE,
216.0,elevators,1.0,8.0,0.0102373622357845,2022-10-30 07:41:48.958540,2022-10-30 07:44:14.278035,0 days 00:02:25.319495,1.0,3.0,1024.0,0.0001996667820776,237.0,12.0,rbf,107.0,COMPLETE,
216.0,elevators,1.0,9.0,0.0030281862709671,2022-10-30 07:44:14.278564,2022-10-30 07:49:39.094001,0 days 00:05:24.815437,5.0,2.0,256.0,0.0471789177757347,148.0,9.0,rbf,33.0,COMPLETE,
