dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
287.0,k2204_BPV,1.0,0.0,0.0018758425139822,2022-10-23 16:18:30.122268,2022-10-23 16:22:20.812678,0 days 00:03:50.690410,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,300.0,COMPLETE,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
287.0,k2204_BPV,1.0,1.0,0.06396484375,2022-10-23 16:22:20.813207,2022-10-23 16:29:15.475873,0 days 00:06:54.662666,4.0,1.0,256.0,0.0002148355854756,138.0,14.0,matern1.5,135.0,COMPLETE,
287.0,k2204_BPV,1.0,2.0,0.0016425793292,2022-10-23 16:29:15.476427,2022-10-23 16:34:37.514704,0 days 00:05:22.038277,1.0,1.0,512.0,0.0003389062131536,506.0,15.0,rbf,285.0,COMPLETE,
287.0,k2204_BPV,1.0,3.0,0.0649351738393306,2022-10-23 16:34:37.515239,2022-10-23 16:36:16.713271,0 days 00:01:39.198032,3.0,1.0,512.0,0.0009980664093875,329.0,12.0,matern0.5,52.0,COMPLETE,
287.0,k2204_BPV,1.0,4.0,0.0688044466078281,2022-10-23 16:36:16.713837,2022-10-23 16:46:18.087772,0 days 00:10:01.373935,5.0,1.0,512.0,0.0001864821035893,542.0,9.0,rbf,157.0,COMPLETE,
287.0,k2204_BPV,1.0,5.0,0.0630214568227529,2022-10-23 16:46:18.088292,2022-10-23 16:46:31.588260,0 days 00:00:13.499968,4.0,1.0,1024.0,0.0082082106862774,71.0,2.0,rbf,9.0,COMPLETE,
287.0,k2204_BPV,1.0,6.0,0.0340230227448046,2022-10-23 16:46:31.588837,2022-10-23 16:52:20.437498,0 days 00:05:48.848661,3.0,1.0,512.0,0.0007346932157959,107.0,3.0,matern1.5,262.0,COMPLETE,
287.0,k2204_BPV,1.0,7.0,0.0034209690056741,2022-10-23 16:52:20.438044,2022-10-23 16:52:28.748467,0 days 00:00:08.310423,1.0,2.0,512.0,0.0800129498708191,78.0,5.0,rbf,7.0,COMPLETE,
287.0,k2204_BPV,1.0,8.0,0.0043379389680922,2022-10-23 16:52:28.748964,2022-10-23 16:55:58.436125,0 days 00:03:29.687161,1.0,3.0,1024.0,0.000844038904747,663.0,12.0,matern0.5,158.0,COMPLETE,
287.0,k2204_BPV,1.0,9.0,0.0005905131692998,2022-10-23 16:55:58.436651,2022-10-23 16:58:43.032680,0 days 00:02:44.596029,4.0,1.0,512.0,0.0080311990356847,154.0,7.0,matern0.5,90.0,COMPLETE,
287.0,k2204_BPV,1.0,10.0,0.0003448910138104,2022-10-23 16:58:43.033190,2022-10-23 17:00:30.153563,0 days 00:01:47.120373,2.0,2.0,256.0,0.0096927914236494,50.0,6.0,matern0.5,56.0,COMPLETE,
287.0,k2204_BPV,1.0,11.0,0.0003325895522721,2022-10-23 17:00:30.154125,2022-10-23 17:02:25.242462,0 days 00:01:55.088337,2.0,2.0,256.0,0.0098251356589995,51.0,6.0,matern0.5,61.0,COMPLETE,
287.0,k2204_BPV,1.0,12.0,0.0010353956022299,2022-10-23 17:02:25.243054,2022-10-23 17:03:17.755965,0 days 00:00:52.512911,2.0,2.0,256.0,0.0337054710706853,62.0,6.0,matern0.5,25.0,COMPLETE,
287.0,k2204_BPV,1.0,13.0,0.0004025014932267,2022-10-23 17:03:17.756454,2022-10-23 17:05:16.962746,0 days 00:01:59.206292,2.0,4.0,256.0,0.006401279662345,53.0,4.0,matern0.5,62.0,COMPLETE,
287.0,k2204_BPV,1.0,14.0,0.0003655889886431,2022-10-23 17:05:16.963271,2022-10-23 17:10:26.858837,0 days 00:05:09.895566,2.0,2.0,256.0,0.0218875029419235,985.0,7.0,matern0.5,46.0,COMPLETE,
287.0,k2204_BPV,1.0,15.0,0.0565307531505823,2022-10-23 17:10:26.859356,2022-10-23 17:11:03.659277,0 days 00:00:36.799921,3.0,3.0,256.0,0.0029648386592362,98.0,8.0,matern0.5,10.0,COMPLETE,
287.0,k2204_BPV,1.0,16.0,0.0641630738973617,2022-10-23 17:11:03.659809,2022-10-23 17:11:31.810182,0 days 00:00:28.150373,2.0,3.0,256.0,0.0027900310797872,51.0,5.0,matern0.5,11.0,COMPLETE,
287.0,k2204_BPV,1.0,17.0,0.0013595713826362,2022-10-23 17:11:31.810735,2022-10-23 17:12:32.806472,0 days 00:01:00.995737,3.0,2.0,256.0,0.0217321112544171,295.0,9.0,matern1.5,15.0,COMPLETE,
287.0,k2204_BPV,1.0,18.0,0.0008097604149952,2022-10-23 17:12:32.807089,2022-10-23 17:12:54.980794,0 days 00:00:22.173705,1.0,4.0,256.0,0.0718399472355875,91.0,4.0,matern0.5,12.0,COMPLETE,
287.0,k2204_BPV,1.0,19.0,0.0002580456275609,2022-10-23 17:12:54.981324,2022-10-23 17:15:46.878340,0 days 00:02:51.897016,2.0,2.0,256.0,0.005190593205221,144.0,11.0,matern0.5,86.0,COMPLETE,
