dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,0.0,0.001381074078381,2022-10-24 17:14:06.262669,2022-10-24 17:17:56.165117,0 days 00:03:49.902448,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,300.0,COMPLETE,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
216.0,k2204_PPV,1.0,1.0,0.0002373921233811,2022-10-24 17:17:56.165666,2022-10-24 17:20:50.901501,0 days 00:02:54.735835,2.0,1.0,256.0,0.0147531181009055,606.0,10.0,matern0.5,48.0,COMPLETE,
216.0,k2204_PPV,1.0,2.0,0.1081895567476749,2022-10-24 17:20:50.902036,2022-10-24 17:28:26.971548,0 days 00:07:36.069512,5.0,1.0,256.0,0.0001345011501788,798.0,12.0,matern0.5,41.0,COMPLETE,
216.0,k2204_PPV,1.0,3.0,0.0647389777004718,2022-10-24 17:28:26.972068,2022-10-24 17:33:27.276821,0 days 00:05:00.304753,2.0,1.0,256.0,0.000129687354812,352.0,15.0,matern0.5,126.0,COMPLETE,
216.0,k2204_PPV,1.0,4.0,0.0012239565257914,2022-10-24 17:33:27.277360,2022-10-24 17:38:41.123188,0 days 00:05:13.845828,1.0,1.0,256.0,0.0002159528851432,52.0,14.0,rbf,272.0,COMPLETE,
216.0,k2204_PPV,1.0,5.0,0.0002601767555461,2022-10-24 17:38:41.123725,2022-10-24 17:39:58.927296,0 days 00:01:17.803571,1.0,2.0,256.0,0.0062824467288398,189.0,13.0,rbf,56.0,COMPLETE,
216.0,k2204_PPV,1.0,6.0,0.0004491785366553,2022-10-24 17:39:58.927816,2022-10-24 17:40:39.524770,0 days 00:00:40.596954,1.0,3.0,256.0,0.0196469735341464,76.0,14.0,matern0.5,27.0,COMPLETE,
216.0,k2204_PPV,1.0,7.0,0.0013633616035804,2022-10-24 17:40:39.525289,2022-10-24 17:41:21.890262,0 days 00:00:42.364973,1.0,2.0,1024.0,0.0079593121899581,50.0,5.0,matern0.5,73.0,COMPLETE,
216.0,k2204_PPV,1.0,8.0,0.0013697627582587,2022-10-24 17:41:21.890831,2022-10-24 17:43:50.602366,0 days 00:02:28.711535,1.0,2.0,1024.0,0.0004556341155755,216.0,13.0,rbf,243.0,COMPLETE,
216.0,k2204_PPV,1.0,9.0,0.0016692771459929,2022-10-24 17:43:50.602896,2022-10-24 17:45:33.974609,0 days 00:01:43.371713,2.0,2.0,512.0,0.0324211495038505,967.0,5.0,rbf,26.0,COMPLETE,
216.0,k2204_PPV,1.0,10.0,0.0662797205150127,2022-10-24 17:45:33.975181,2022-10-24 17:46:19.310139,0 days 00:00:45.334958,4.0,4.0,512.0,0.0912780833470446,428.0,2.0,matern1.5,8.0,COMPLETE,
216.0,k2204_PPV,1.0,11.0,0.0007043129007797,2022-10-24 17:46:19.310714,2022-10-24 17:50:06.425571,0 days 00:03:47.114857,3.0,2.0,256.0,0.0029728156855778,130.0,9.0,matern1.5,85.0,COMPLETE,
216.0,k2204_PPV,1.0,12.0,0.0654321424663066,2022-10-24 17:50:06.426126,2022-10-24 17:51:08.472949,0 days 00:01:02.046823,3.0,3.0,256.0,0.0041687367797163,483.0,11.0,matern0.5,5.0,COMPLETE,
216.0,k2204_PPV,1.0,13.0,0.0006225736578926,2022-10-24 17:51:08.473499,2022-10-24 17:52:36.396038,0 days 00:01:27.922539,3.0,3.0,256.0,0.0147232955968364,157.0,7.0,rbf,31.0,COMPLETE,
216.0,k2204_PPV,1.0,14.0,0.0656420513987541,2022-10-24 17:52:36.396546,2022-10-24 17:53:22.935937,0 days 00:00:46.539391,2.0,1.0,256.0,0.0019397161381011,330.0,8.0,matern1.5,15.0,COMPLETE,
216.0,k2204_PPV,1.0,15.0,0.002891142736189,2022-10-24 17:53:22.936455,2022-10-24 17:53:51.971907,0 days 00:00:29.035452,1.0,2.0,512.0,0.0634275611248211,610.0,11.0,matern0.5,15.0,COMPLETE,
216.0,k2204_PPV,1.0,16.0,0.063038669526577,2022-10-24 17:53:51.972439,2022-10-24 17:54:13.174944,0 days 00:00:21.202505,3.0,4.0,256.0,0.0081183534418699,112.0,12.0,rbf,4.0,COMPLETE,
216.0,k2204_PPV,1.0,17.0,0.0006201324285939,2022-10-24 17:54:13.175505,2022-10-24 18:01:43.378213,0 days 00:07:30.202708,2.0,3.0,256.0,0.0012520474075457,271.0,7.0,matern0.5,190.0,COMPLETE,
216.0,k2204_PPV,1.0,18.0,0.0654896572232246,2022-10-24 18:01:43.378777,2022-10-24 18:03:12.046651,0 days 00:01:28.667874,5.0,2.0,1024.0,0.0070639598345481,584.0,10.0,rbf,16.0,COMPLETE,
