dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_fixed_params
216.0,r1_08_BPV,1.0,0.0,0.0005624432233162,2022-10-27 07:10:13.514032,2022-10-27 07:24:49.054756,0 days 00:14:35.540724,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,27.0,COMPLETE,0.0006189644918777,0.0005638893344439,,,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
216.0,r1_08_BPV,1.0,1.0,0.0005741134518757,2022-10-27 07:24:49.055345,2022-10-27 08:10:00.290649,0 days 00:45:11.235304,1.0,2.0,1024.0,0.0001568192917616,64.0,2.0,matern0.5,153.0,COMPLETE,0.0169929601252079,0.0152961984276771,0.0018626385135576,0.0006109215901233,
216.0,r1_08_BPV,1.0,2.0,0.0197894368320703,2022-10-27 08:10:00.291217,2022-10-27 08:18:18.468873,0 days 00:08:18.177656,4.0,1.0,1024.0,0.0009361981598389,156.0,2.0,matern1.5,7.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,3.0,0.0005643161712214,2022-10-27 08:18:18.469429,2022-10-27 08:21:14.297464,0 days 00:02:55.828035,1.0,1.0,2048.0,0.0290996464792241,219.0,2.0,rbf,10.0,COMPLETE,0.0005691045080311,0.0005643161712214,,,
216.0,r1_08_BPV,1.0,4.0,0.0005690460093319,2022-10-27 08:21:14.298053,2022-10-27 08:25:37.668560,0 days 00:04:23.370507,1.0,3.0,1024.0,0.0302783438531101,153.0,9.0,matern0.5,8.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,5.0,0.0112089617177844,2022-10-27 08:25:37.669113,2022-10-27 08:26:35.935753,0 days 00:00:58.266640,1.0,2.0,2048.0,0.0007163949428255,72.0,10.0,matern1.5,,PRUNED,0.0112089617177844,,,,
216.0,r1_08_BPV,1.0,6.0,0.0186409503221511,2022-10-27 08:26:35.936133,2022-10-27 08:29:12.398552,0 days 00:02:36.462419,3.0,1.0,1024.0,0.0041112628228468,174.0,12.0,matern0.5,,PRUNED,0.0186409503221511,,,,
216.0,r1_08_BPV,1.0,7.0,0.0006505991914309,2022-10-27 08:29:12.399041,2022-10-27 08:33:56.070791,0 days 00:04:43.671750,1.0,1.0,512.0,0.0045653710460947,56.0,5.0,matern0.5,,PRUNED,0.0006505991914309,,,,
216.0,r1_08_BPV,1.0,8.0,0.0007592717302031,2022-10-27 08:33:56.071276,2022-10-27 08:36:58.878123,0 days 00:03:02.806847,1.0,2.0,1024.0,0.050885607828702,50.0,7.0,matern1.5,,PRUNED,0.0007592717302031,,,,
216.0,r1_08_BPV,1.0,9.0,0.0181482024490833,2022-10-27 08:36:58.878551,2022-10-27 08:37:47.206103,0 days 00:00:48.327552,1.0,1.0,2048.0,0.00036838313646,96.0,4.0,matern0.5,,PRUNED,0.0181482024490833,,,,
