dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
287.0,wine_quality,1.0,0.0,0.0208926405757665,2022-10-25 17:37:17.010591,2022-10-25 17:38:17.648878,0 days 00:01:00.638287,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,72.0,COMPLETE,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}"
287.0,wine_quality,1.0,1.0,0.0204186383634805,2022-10-25 17:38:17.649408,2022-10-25 17:39:40.947587,0 days 00:01:23.298179,1.0,1.0,256.0,0.0004425335346277,85.0,12.0,rbf,62.0,COMPLETE,
287.0,wine_quality,1.0,2.0,0.0212421109899878,2022-10-25 17:39:40.948118,2022-10-25 17:43:58.574923,0 days 00:04:17.626805,1.0,2.0,1024.0,0.000172813297535,626.0,2.0,rbf,300.0,COMPLETE,
287.0,wine_quality,1.0,3.0,0.0207482958212494,2022-10-25 17:43:58.575470,2022-10-25 17:44:12.007488,0 days 00:00:13.432018,1.0,1.0,512.0,0.0069075739833996,61.0,6.0,matern1.5,11.0,COMPLETE,
287.0,wine_quality,1.0,4.0,0.0207703532651066,2022-10-25 17:44:12.008033,2022-10-25 17:44:31.299452,0 days 00:00:19.291419,3.0,1.0,1024.0,0.007558156520638,172.0,5.0,matern0.5,14.0,COMPLETE,
287.0,wine_quality,1.0,5.0,0.0195635547861456,2022-10-25 17:44:31.300002,2022-10-25 17:44:49.066818,0 days 00:00:17.766816,1.0,1.0,1024.0,0.0087793584384371,217.0,13.0,matern0.5,23.0,COMPLETE,
287.0,wine_quality,1.0,6.0,0.0208857748657464,2022-10-25 17:44:49.067398,2022-10-25 17:49:31.118425,0 days 00:04:42.051027,3.0,4.0,256.0,0.0013589316105005,739.0,6.0,matern0.5,25.0,COMPLETE,
287.0,wine_quality,1.0,7.0,0.0213039917871356,2022-10-25 17:49:31.119027,2022-10-25 17:55:41.669220,0 days 00:06:10.550193,3.0,2.0,1024.0,0.0002078024101864,220.0,9.0,matern1.5,273.0,COMPLETE,
287.0,wine_quality,1.0,8.0,0.0206733914092183,2022-10-25 17:55:41.669767,2022-10-25 17:55:46.726482,0 days 00:00:05.056715,1.0,1.0,1024.0,0.0330500759701221,380.0,3.0,rbf,3.0,COMPLETE,
287.0,wine_quality,1.0,9.0,0.0214871177449822,2022-10-25 17:55:46.727064,2022-10-25 17:56:04.104618,0 days 00:00:17.377554,3.0,3.0,1024.0,0.0650462768343592,455.0,6.0,matern0.5,2.0,COMPLETE,
