dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,0.0,0.0110687958076596,2022-11-04 10:50:05.542266,2022-11-04 11:20:09.176445,0 days 00:30:03.634179,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,71.0,COMPLETE,0.0149874808266758,0.0148163884878158,0.0116920182481408,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}",
44027.0,year,1.0,1.0,0.0150027945637702,2022-11-04 11:20:09.177082,2022-11-04 11:38:07.223895,0 days 00:17:58.046813,3.0,3.0,1024.0,0.0001566363256861,116.0,4.0,rbf,31.0,COMPLETE,0.0150033887475728,,,,
44027.0,year,1.0,2.0,0.0152708096429705,2022-11-04 11:38:07.224523,2022-11-04 12:08:23.241302,0 days 00:30:16.016779,4.0,3.0,2048.0,0.0001275495342432,466.0,9.0,rbf,9.0,COMPLETE,,,,,
44027.0,year,1.0,3.0,0.0150010176002979,2022-11-04 12:08:23.241919,2022-11-04 12:20:30.119472,0 days 00:12:06.877553,2.0,1.0,512.0,0.0005274462983877,149.0,11.0,matern0.5,13.0,COMPLETE,0.0150064136832952,,,,
44027.0,year,1.0,4.0,0.0108987223356962,2022-11-04 12:20:30.120092,2022-11-04 12:45:43.877346,0 days 00:25:13.757254,2.0,2.0,512.0,0.0043703245307274,53.0,4.0,matern0.5,35.0,COMPLETE,0.0116679174825549,0.011013732291758,,,
44027.0,year,1.0,5.0,0.0155448392033576,2022-11-04 12:45:43.877903,2022-11-04 12:46:26.783485,0 days 00:00:42.905582,1.0,2.0,2048.0,0.0013752856765668,67.0,2.0,matern0.5,,PRUNED,0.0155448392033576,,,,
44027.0,year,1.0,6.0,0.0150089422240853,2022-11-04 12:46:26.783861,2022-11-04 12:47:57.887993,0 days 00:01:31.104132,4.0,1.0,2048.0,0.0035666306111566,57.0,5.0,matern0.5,,PRUNED,0.0150089422240853,,,,
44027.0,year,1.0,7.0,0.0108416257426142,2022-11-04 12:47:57.888407,2022-11-04 12:59:54.775405,0 days 00:11:56.886998,1.0,3.0,512.0,0.0114433440071683,59.0,15.0,matern1.5,21.0,COMPLETE,0.0114174084737896,0.0110544571653008,,,
44027.0,year,1.0,8.0,0.0123998606577515,2022-11-04 12:59:54.775947,2022-11-04 13:03:56.714022,0 days 00:04:01.938075,1.0,1.0,512.0,0.0283938655498013,71.0,7.0,rbf,,PRUNED,0.0123998606577515,,,,
44027.0,year,1.0,9.0,0.0243717357516288,2022-11-04 13:03:56.714549,2022-11-04 13:10:37.700490,0 days 00:06:40.985941,4.0,3.0,1024.0,0.0001664945338667,347.0,9.0,matern0.5,,PRUNED,0.0243717357516288,,,,
44027.0,year,1.0,10.0,0.0149992108345031,2022-11-04 13:10:37.700982,2022-11-04 13:12:32.046754,0 days 00:01:54.345772,2.0,1.0,1024.0,0.0046872689420108,369.0,4.0,matern0.5,,PRUNED,0.0149992108345031,,,,
44027.0,year,1.0,11.0,0.0111207403242588,2022-11-04 13:12:32.047189,2022-11-04 13:25:59.555866,0 days 00:13:27.508677,1.0,4.0,512.0,0.0040690773069401,394.0,2.0,rbf,19.0,COMPLETE,0.0114213777706027,,,,
44027.0,year,1.0,12.0,0.0149968350306153,2022-11-04 13:25:59.556402,2022-11-04 13:26:59.074926,0 days 00:00:59.518524,1.0,1.0,2048.0,0.0017804385932814,313.0,7.0,matern1.5,,PRUNED,0.0149968350306153,,,,
44027.0,year,1.0,13.0,0.0150137729942798,2022-11-04 13:26:59.075356,2022-11-04 13:31:57.830994,0 days 00:04:58.755638,4.0,1.0,2048.0,0.0516956247270961,54.0,15.0,matern0.5,,PRUNED,0.0150137729942798,,,,
44027.0,year,1.0,14.0,0.0151662714779376,2022-11-04 13:31:57.831422,2022-11-04 13:36:05.680293,0 days 00:04:07.848871,1.0,3.0,1024.0,0.0002494618279275,309.0,14.0,matern0.5,,PRUNED,0.0151662714779376,,,,
44027.0,year,1.0,15.0,0.0128036271780729,2022-11-04 13:36:05.680760,2022-11-04 14:06:22.549175,0 days 00:30:16.868415,1.0,1.0,512.0,0.0003891095033167,434.0,10.0,matern0.5,42.0,COMPLETE,0.0146800596266984,,,,
44027.0,year,1.0,16.0,0.012575414031744,2022-11-04 14:06:22.549720,2022-11-04 14:12:35.633235,0 days 00:06:13.083515,2.0,1.0,512.0,0.0009987186102288,189.0,3.0,rbf,,PRUNED,0.012575414031744,,,,
44027.0,year,1.0,17.0,0.0150013137608766,2022-11-04 14:12:35.633772,2022-11-04 14:24:55.230514,0 days 00:12:19.596742,4.0,1.0,1024.0,0.0901563997509545,646.0,6.0,rbf,4.0,COMPLETE,,,,,
44027.0,year,1.0,18.0,0.0116799557581543,2022-11-04 14:24:55.231079,2022-11-04 14:33:09.206550,0 days 00:08:13.975471,2.0,1.0,512.0,0.0020302776158737,273.0,6.0,matern1.5,,PRUNED,0.013587474822998,0.0116799557581543,,,
44027.0,year,1.0,19.0,0.0150039941072463,2022-11-04 14:33:09.207119,2022-11-04 14:48:03.291170,0 days 00:14:54.084051,3.0,4.0,512.0,0.0008944845789466,225.0,10.0,matern0.5,6.0,COMPLETE,,,,,
44027.0,year,1.0,20.0,0.0150248259305953,2022-11-04 14:48:03.291740,2022-11-04 14:53:43.357937,0 days 00:05:40.066197,2.0,1.0,1024.0,0.0006258982435399,398.0,9.0,rbf,,PRUNED,0.0150248259305953,,,,
44027.0,year,1.0,21.0,0.0285277310758829,2022-11-04 14:53:43.358363,2022-11-04 14:56:02.783016,0 days 00:02:19.424653,1.0,4.0,2048.0,0.0001895226231769,202.0,4.0,matern1.5,,PRUNED,0.0285277310758829,,,,
44027.0,year,1.0,22.0,0.0113735506311059,2022-11-04 14:56:02.783421,2022-11-04 15:00:25.986343,0 days 00:04:23.202922,1.0,1.0,512.0,0.0070100414368248,96.0,15.0,matern0.5,,PRUNED,0.0119718192145228,0.0113735506311059,,,
44027.0,year,1.0,23.0,0.0114709585905075,2022-11-04 15:00:25.986862,2022-11-04 15:03:18.112110,0 days 00:02:52.125248,1.0,1.0,1024.0,0.0168949380969948,255.0,9.0,rbf,,PRUNED,0.0118706719949841,0.0114709585905075,,,
44027.0,year,1.0,24.0,0.0150681026279926,2022-11-04 15:03:18.112532,2022-11-04 15:32:43.097016,0 days 00:29:24.984484,3.0,4.0,512.0,0.0956837522558925,764.0,15.0,matern1.5,,PRUNED,0.0150681026279926,,,,
44027.0,year,1.0,25.0,0.0150567013770341,2022-11-04 15:32:43.097590,2022-11-04 15:34:21.855828,0 days 00:01:38.758238,2.0,2.0,1024.0,0.0005184487599042,133.0,11.0,rbf,,PRUNED,0.0150567013770341,,,,
44027.0,year,1.0,26.0,0.0108891781419515,2022-11-04 15:34:21.856272,2022-11-04 15:45:41.202626,0 days 00:11:19.346354,2.0,2.0,512.0,0.0213375479348982,167.0,12.0,rbf,11.0,COMPLETE,0.011229932308197,0.011268594302237,,,
44027.0,year,1.0,27.0,0.0118159810081124,2022-11-04 15:45:41.203192,2022-11-04 15:55:45.170026,0 days 00:10:03.966834,3.0,2.0,512.0,0.0307082576085643,123.0,13.0,matern1.5,,PRUNED,0.0113346492871642,0.0118159810081124,,,
44027.0,year,1.0,28.0,0.0109639689326286,2022-11-04 15:55:45.170608,2022-11-04 16:10:21.569842,0 days 00:14:36.399234,3.0,3.0,512.0,0.0160315524270619,79.0,12.0,rbf,12.0,COMPLETE,0.011773413978517,0.0112108821049332,,,
44027.0,year,1.0,29.0,0.0128917023539543,2022-11-04 16:10:21.570412,2022-11-04 16:12:10.767403,0 days 00:01:49.196991,1.0,3.0,512.0,0.0725187802109415,51.0,13.0,matern1.5,,PRUNED,0.0128917023539543,,,,
44027.0,year,1.0,30.0,0.0110762827098369,2022-11-04 16:12:10.767918,2022-11-04 16:44:04.037564,0 days 00:31:53.269646,2.0,4.0,512.0,0.0111984353756134,536.0,14.0,rbf,8.0,COMPLETE,0.0118243647739291,0.0111311608925461,,,
44027.0,year,1.0,31.0,0.0115507282316684,2022-11-04 16:44:04.038134,2022-11-04 17:09:32.175876,0 days 00:25:28.137742,3.0,2.0,512.0,0.0075864782098468,102.0,5.0,matern1.5,,PRUNED,0.0116667011752724,0.0115507282316684,,,
44027.0,year,1.0,32.0,0.011607919819653,2022-11-04 17:09:32.176274,2022-11-04 17:18:31.865367,0 days 00:08:59.689093,3.0,2.0,512.0,0.0285082287396775,144.0,11.0,rbf,,PRUNED,0.0114511027932167,0.011607919819653,,,
44027.0,year,1.0,33.0,0.0117037231102585,2022-11-04 17:18:31.865908,2022-11-04 17:26:09.032570,0 days 00:07:37.166662,1.0,2.0,512.0,0.003472078771288,667.0,2.0,matern0.5,,PRUNED,0.0117037231102585,,,,
44027.0,year,1.0,34.0,0.0122761875391006,2022-11-04 17:26:09.033140,2022-11-04 17:29:08.524088,0 days 00:02:59.490948,2.0,3.0,512.0,0.0414392505459405,94.0,13.0,matern1.5,,PRUNED,0.0122761875391006,,,,
44027.0,year,1.0,35.0,0.0114169185981154,2022-11-04 17:29:08.524650,2022-11-04 17:59:33.889101,0 days 00:30:25.364451,1.0,2.0,512.0,0.0005415308926636,121.0,8.0,matern1.5,57.0,COMPLETE,,,,,
44027.0,year,1.0,36.0,0.0120394313707947,2022-11-04 17:59:33.889666,2022-11-04 18:01:32.300740,0 days 00:01:58.411074,1.0,4.0,512.0,0.0079487499659432,177.0,15.0,rbf,,PRUNED,0.0120394313707947,,,,
44027.0,year,1.0,37.0,0.010901934467256,2022-11-04 18:01:32.301236,2022-11-04 18:21:39.633607,0 days 00:20:07.332371,2.0,4.0,512.0,0.0094871634484046,358.0,2.0,rbf,17.0,COMPLETE,0.0110796885564923,,,,
44027.0,year,1.0,38.0,0.0150012522935867,2022-11-04 18:21:39.634163,2022-11-04 18:25:04.707131,0 days 00:03:25.072968,4.0,2.0,2048.0,0.0449352328772026,190.0,11.0,matern1.5,,PRUNED,0.0150012522935867,,,,
44027.0,year,1.0,39.0,0.0119005180895328,2022-11-04 18:25:04.707560,2022-11-04 18:34:24.343235,0 days 00:09:19.635675,3.0,2.0,512.0,0.0155825142535377,106.0,8.0,matern0.5,,PRUNED,0.0119005180895328,,,,
44027.0,year,1.0,40.0,0.0114311557263135,2022-11-04 18:34:24.343848,2022-11-04 18:43:05.930551,0 days 00:08:41.586703,3.0,3.0,512.0,0.0161263680557849,77.0,12.0,rbf,,PRUNED,0.0113912001252174,0.0114311557263135,,,
44027.0,year,1.0,41.0,0.0109185725450515,2022-11-04 18:43:05.931086,2022-11-04 18:56:23.987377,0 days 00:13:18.056291,3.0,3.0,512.0,0.0171939179576155,92.0,12.0,rbf,10.0,COMPLETE,0.0113412821665406,0.0109185725450515,,,
44027.0,year,1.0,42.0,0.0150001142174005,2022-11-04 18:56:23.987956,2022-11-04 19:26:46.675332,0 days 00:30:22.687376,3.0,1.0,2048.0,0.0001405273718333,221.0,12.0,rbf,64.0,COMPLETE,,,,,
44027.0,year,1.0,43.0,0.0118823572993278,2022-11-04 19:26:46.675881,2022-11-04 19:29:29.588291,0 days 00:02:42.912410,2.0,3.0,512.0,0.0062703049530581,112.0,14.0,rbf,,PRUNED,0.0118823572993278,,,,
44027.0,year,1.0,44.0,0.0109516335651278,2022-11-04 19:29:29.588829,2022-11-04 19:41:57.912145,0 days 00:12:28.323316,3.0,4.0,512.0,0.0216431549165594,63.0,8.0,rbf,10.0,COMPLETE,0.011444722302258,0.0109516335651278,,,
44027.0,year,1.0,45.0,0.0119648138061165,2022-11-04 19:41:57.912702,2022-11-04 19:50:46.817197,0 days 00:08:48.904495,2.0,3.0,512.0,0.0016800789130888,290.0,4.0,matern1.5,,PRUNED,0.0119648138061165,,,,
44027.0,year,1.0,46.0,0.0112622324377298,2022-11-04 19:50:46.817755,2022-11-04 20:21:52.285471,0 days 00:31:05.467716,3.0,3.0,2048.0,0.0107437014345831,471.0,10.0,rbf,13.0,COMPLETE,0.0116301085799932,,,,
44027.0,year,1.0,47.0,0.0113733680918812,2022-11-04 20:21:52.286036,2022-11-04 20:24:46.263168,0 days 00:02:53.977132,1.0,1.0,2048.0,0.0667570276950176,68.0,4.0,rbf,13.0,COMPLETE,,,,,
44027.0,year,1.0,48.0,0.0117911426350474,2022-11-04 20:24:46.263775,2022-11-04 20:31:08.322340,0 days 00:06:22.058565,2.0,2.0,512.0,0.0057425135531503,51.0,6.0,matern0.5,,PRUNED,0.0117911426350474,,,,
44027.0,year,1.0,49.0,0.0147877251729369,2022-11-04 20:31:08.322880,2022-11-04 21:01:59.410469,0 days 00:30:51.087589,1.0,2.0,512.0,0.0001089423448577,691.0,10.0,matern1.5,22.0,COMPLETE,,,,,
44027.0,year,1.0,50.0,0.0108999796211719,2022-11-04 21:01:59.411033,2022-11-04 21:23:13.768211,0 days 00:21:14.357178,4.0,2.0,512.0,0.0108865009550962,97.0,12.0,rbf,15.0,COMPLETE,0.0112718250602483,0.0109606338664889,,,
44027.0,year,1.0,51.0,0.0150016173720359,2022-11-04 21:23:13.768779,2022-11-04 21:28:50.582913,0 days 00:05:36.814134,4.0,2.0,512.0,0.0097263538187866,167.0,14.0,matern1.5,,PRUNED,0.0150016173720359,,,,
44027.0,year,1.0,52.0,0.0150422807782888,2022-11-04 21:28:50.583490,2022-11-04 21:32:53.174073,0 days 00:04:02.590583,4.0,2.0,512.0,0.0533040589484363,76.0,10.0,rbf,,PRUNED,0.0150422807782888,,,,
44027.0,year,1.0,53.0,0.0150035666301846,2022-11-04 21:32:53.174656,2022-11-04 21:38:28.455512,0 days 00:05:35.280856,4.0,4.0,2048.0,0.0035499002531506,50.0,4.0,matern1.5,4.0,COMPLETE,,,,,
44027.0,year,1.0,54.0,0.0150012169033288,2022-11-04 21:38:28.456080,2022-11-04 21:49:05.317092,0 days 00:10:36.861012,3.0,3.0,512.0,0.0018307900351035,269.0,2.0,rbf,,PRUNED,0.0150012169033288,,,,
44027.0,year,1.0,55.0,0.0133997686207294,2022-11-04 21:49:05.317623,2022-11-04 21:50:42.911483,0 days 00:01:37.593860,1.0,2.0,512.0,0.0030210618965943,50.0,10.0,rbf,,PRUNED,0.0133997686207294,,,,
44027.0,year,1.0,56.0,0.022182086482644,2022-11-04 21:50:42.912096,2022-11-04 21:52:28.016962,0 days 00:01:45.104866,2.0,3.0,2048.0,0.000462813202227,150.0,8.0,matern1.5,,PRUNED,0.022182086482644,,,,
44027.0,year,1.0,57.0,0.0150046376511454,2022-11-04 21:52:28.017380,2022-11-04 21:58:40.583898,0 days 00:06:12.566518,4.0,4.0,1024.0,0.0044786680660449,243.0,13.0,rbf,,PRUNED,0.0150046376511454,,,,
44027.0,year,1.0,58.0,0.0118682272732257,2022-11-04 21:58:40.584417,2022-11-04 22:02:16.442098,0 days 00:03:35.857681,3.0,3.0,512.0,0.0120435940384204,101.0,12.0,rbf,,PRUNED,0.0118682272732257,,,,
44027.0,year,1.0,59.0,0.0109458398073911,2022-11-04 22:02:16.442691,2022-11-04 22:12:32.372159,0 days 00:10:15.929468,2.0,3.0,2048.0,0.028744985465286,200.0,4.0,matern1.5,22.0,COMPLETE,,,,,
44027.0,year,1.0,60.0,0.0117856841534376,2022-11-04 22:12:32.372717,2022-11-04 22:20:45.493850,0 days 00:08:13.121133,3.0,2.0,512.0,0.0267231981172701,83.0,11.0,rbf,,PRUNED,0.0112246992066502,0.0117856841534376,,,
44027.0,year,1.0,61.0,0.0150059685111045,2022-11-04 22:20:45.494389,2022-11-04 22:24:58.180306,0 days 00:04:12.685917,4.0,3.0,512.0,0.0179126456701588,66.0,12.0,rbf,,PRUNED,0.0150059685111045,,,,
44027.0,year,1.0,62.0,,2022-11-04 22:24:58.180893,2022-11-04 22:24:58.471577,0 days 00:00:00.290684,4.0,4.0,2048.0,0.0110558914658582,106.0,14.0,matern0.5,,FAIL,,,,,
44027.0,year,2.0,0.0,0.0116589097306132,2022-11-04 22:38:40.760353,2022-11-04 23:08:41.315297,0 days 00:30:00.554944,2.0,1.0,1024.0,0.001,200.0,10.0,rbf,71.0,COMPLETE,,,,"{'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10, 'kernel_type': 'rbf'}",
44027.0,year,2.0,1.0,0.0117402356117963,2022-11-04 23:08:41.315918,2022-11-04 23:38:51.243632,0 days 00:30:09.927714,1.0,3.0,512.0,0.0007904322115499,605.0,2.0,rbf,39.0,COMPLETE,0.0153894890099763,0.0139431040734052,0.0121143888682127,,
44027.0,year,2.0,2.0,0.0155277661979198,2022-11-04 23:38:51.244281,2022-11-04 23:45:22.213849,0 days 00:06:30.969568,2.0,4.0,512.0,0.0007354606124097,368.0,13.0,matern1.5,,PRUNED,0.0155277661979198,,,,
44027.0,year,2.0,3.0,0.0155021138489246,2022-11-04 23:45:22.214457,2022-11-04 23:47:14.385732,0 days 00:01:52.171275,1.0,1.0,1024.0,0.0012893185854721,466.0,10.0,matern1.5,,PRUNED,0.0155021138489246,,,,
44027.0,year,2.0,4.0,0.0117031354457139,2022-11-04 23:47:14.386159,2022-11-04 23:50:56.171331,0 days 00:03:41.785172,1.0,1.0,512.0,0.0445910273769351,278.0,9.0,matern1.5,2.0,COMPLETE,,,,,
44027.0,year,2.0,5.0,0.0113741615787148,2022-11-04 23:50:56.172030,2022-11-05 00:20:57.958158,0 days 00:30:01.786128,1.0,2.0,2048.0,0.0041209219656093,476.0,15.0,matern0.5,58.0,COMPLETE,0.0118470229208469,,,,
