dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
42225.0,diamonds,1.0,0.0,0.0021344848209992,2022-10-14 08:46:37.779821,2022-10-14 08:50:30.703761,0 days 00:03:52.923940,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,56.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
42225.0,diamonds,1.0,1.0,0.0017653481045272,2022-10-14 08:50:30.704372,2022-10-14 09:02:19.146503,0 days 00:11:48.442131,705.0,2.0,3.0,0.0,linear,matern0.5,,0.000872903270861,23.0,0.0,120.0,,,COMPLETE,
42225.0,diamonds,1.0,2.0,0.002378169709118,2022-10-14 09:02:19.147037,2022-10-14 09:05:36.344334,0 days 00:03:17.197297,645.0,4.0,3.0,0.0,linear,rbf,,0.0005011284696129,46.0,1.0,23.0,,,COMPLETE,
42225.0,diamonds,1.0,3.0,0.2009848947636783,2022-10-14 09:05:36.344875,2022-10-14 09:08:52.518300,0 days 00:03:16.173425,515.0,4.0,3.0,0.0,linear,spectral,4.0,0.0005199655239271,16.0,0.0,14.0,,,COMPLETE,
42225.0,diamonds,1.0,4.0,0.0031675756326876,2022-10-14 09:08:52.518917,2022-10-14 09:14:24.601217,0 days 00:05:32.082300,124.0,5.0,3.0,0.0,constant,matern1.5,,0.001305909469875,31.0,0.0,52.0,,,COMPLETE,
42225.0,diamonds,1.0,5.0,,2022-10-14 09:14:24.601785,2022-10-14 09:38:43.207913,0 days 00:24:18.606128,117.0,3.0,4.0,0.0,linear,spectral,8.0,0.0048389958274597,18.0,0.0,,,,FAIL,
42225.0,diamonds,2.0,0.0,0.0020528073946479,2022-10-14 09:39:32.753601,2022-10-14 09:43:24.869720,0 days 00:03:52.116119,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,False,55.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
42225.0,diamonds,2.0,1.0,0.0037769410409964,2022-10-14 09:43:24.870336,2022-10-14 09:57:04.058614,0 days 00:13:39.188278,127.0,2.0,3.0,0.0,linear,spectral,3.0,0.0693722270397748,34.0,False,46.0,,,COMPLETE,
42225.0,diamonds,2.0,2.0,0.0072198057896457,2022-10-14 09:57:04.059231,2022-10-14 10:00:43.090715,0 days 00:03:39.031484,228.0,2.0,2.0,0.0,linear,matern0.5,,0.008363273201839,333.0,False,56.0,,,COMPLETE,
42225.0,diamonds,2.0,3.0,0.0358237151522189,2022-10-14 10:00:43.091313,2022-10-14 10:10:39.602669,0 days 00:09:56.511356,746.0,2.0,4.0,0.0,linear,spectral,3.0,0.0004701401512566,12.0,True,26.0,,,COMPLETE,
