dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,elevators,1.0,0.0,0.0032368708634749,2022-10-07 08:50:46.220592,2022-10-07 08:52:11.019685,0 days 00:01:24.799093,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,12.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
216.0,elevators,1.0,1.0,0.0128018143586814,2022-10-07 08:52:11.020287,2022-10-07 08:53:11.250842,0 days 00:01:00.230555,566.0,3.0,3.0,0.0,constant,spectral,3.0,0.0031036873048335,48.0,0.0,1.0,,,COMPLETE,
216.0,elevators,1.0,2.0,0.0028605802217498,2022-10-07 08:53:11.251400,2022-10-07 08:54:30.656595,0 days 00:01:19.405195,318.0,4.0,2.0,0.0,constant,rbf,,0.0131700672419337,104.0,1.0,23.0,,,COMPLETE,
216.0,elevators,1.0,3.0,0.0040003374451771,2022-10-07 08:54:30.657152,2022-10-07 08:58:20.321058,0 days 00:03:49.663906,883.0,2.0,3.0,0.0,constant,spectral,6.0,0.0069173193327312,11.0,0.0,54.0,,,COMPLETE,
216.0,elevators,1.0,4.0,0.0022318070405162,2022-10-07 08:58:20.321625,2022-10-07 08:59:44.105333,0 days 00:01:23.783708,962.0,4.0,2.0,0.0,linear,rbf,,0.0005672521700763,68.0,0.0,25.0,,,COMPLETE,
216.0,elevators,1.0,5.0,0.1685406432952731,2022-10-07 08:59:44.105877,2022-10-07 09:01:12.955064,0 days 00:01:28.849187,250.0,3.0,3.0,0.0,linear,spectral,8.0,0.0074062731182706,42.0,0.0,8.0,,,COMPLETE,
216.0,elevators,1.0,6.0,0.5229746159166098,2022-10-07 09:01:12.955659,2022-10-07 09:03:28.642969,0 days 00:02:15.687310,585.0,5.0,4.0,0.0,linear,spectral,5.0,0.0004541606590178,16.0,1.0,7.0,,,COMPLETE,
216.0,elevators,1.0,7.0,0.0020241165475454,2022-10-07 09:03:28.643536,2022-10-07 09:05:49.949502,0 days 00:02:21.305966,417.0,3.0,2.0,0.0,linear,rbf,,0.0192166611917048,297.0,1.0,44.0,,,COMPLETE,
216.0,elevators,1.0,8.0,0.0013989605358801,2022-10-07 09:05:49.950032,2022-10-07 09:09:50.071664,0 days 00:04:00.121632,566.0,4.0,3.0,0.0,constant,rbf,,0.066329166439821,16.0,0.0,63.0,,,COMPLETE,
216.0,elevators,1.0,9.0,0.7874347008764744,2022-10-07 09:09:50.072239,2022-10-07 09:12:26.238500,0 days 00:02:36.166261,339.0,2.0,3.0,0.0,linear,spectral,3.0,0.0003161953676161,43.0,0.0,36.0,,,COMPLETE,
216.0,elevators,1.0,10.0,0.0013953484303783,2022-10-07 09:12:26.239094,2022-10-07 09:19:41.777435,0 days 00:07:15.538341,104.0,5.0,4.0,0.0,constant,rbf,,0.0774465322501993,16.0,1.0,56.0,,,COMPLETE,
216.0,elevators,1.0,11.0,0.0012395845551509,2022-10-07 09:19:41.778018,2022-10-07 09:29:18.927795,0 days 00:09:37.149777,103.0,5.0,4.0,0.0,constant,rbf,,0.07603592644837,16.0,1.0,64.0,,,COMPLETE,
216.0,elevators,1.0,12.0,0.0016866734949871,2022-10-07 09:29:18.928376,2022-10-07 09:34:21.430173,0 days 00:05:02.501797,64.0,5.0,4.0,0.0,constant,rbf,,0.097346136717153,15.0,1.0,39.0,,,COMPLETE,
216.0,elevators,1.0,13.0,0.002310129784746,2022-10-07 09:34:21.430748,2022-10-07 09:37:38.926621,0 days 00:03:17.495873,72.0,5.0,4.0,0.0,constant,rbf,,0.0408100131120884,16.0,1.0,24.0,,,COMPLETE,
216.0,elevators,1.0,14.0,0.0016867797530721,2022-10-07 09:37:38.927169,2022-10-07 09:40:03.225654,0 days 00:02:24.298485,199.0,5.0,4.0,0.0,constant,rbf,,0.0016381168788973,15.0,1.0,25.0,,,COMPLETE,
216.0,elevators,1.0,15.0,0.0025583902024663,2022-10-07 09:40:03.226221,2022-10-07 09:44:54.878142,0 days 00:04:51.651921,731.0,5.0,4.0,0.0,constant,rbf,,0.033776762555218,17.0,1.0,36.0,,,COMPLETE,
216.0,elevators,1.0,16.0,0.0029827211401425,2022-10-07 09:44:54.878745,2022-10-07 09:48:19.854195,0 days 00:03:24.975450,157.0,5.0,4.0,0.0,constant,rbf,,0.0275087164599463,17.0,1.0,26.0,,,COMPLETE,
216.0,elevators,1.0,17.0,0.0011924588470719,2022-10-07 09:48:19.854742,2022-10-07 09:54:30.129898,0 days 00:06:10.275156,448.0,4.0,4.0,0.0,constant,rbf,,0.0001240669624103,14.0,1.0,87.0,,,COMPLETE,
216.0,elevators,1.0,18.0,0.0016542716766707,2022-10-07 09:54:30.130459,2022-10-07 09:56:43.370531,0 days 00:02:13.240072,429.0,4.0,4.0,0.0,constant,rbf,,0.0013216572472429,13.0,1.0,24.0,,,COMPLETE,
216.0,elevators,1.0,19.0,0.0013793002290185,2022-10-07 09:56:43.371104,2022-10-07 10:02:46.217201,0 days 00:06:02.846097,682.0,4.0,4.0,0.0,constant,rbf,,0.0001352036563851,14.0,1.0,72.0,,,COMPLETE,
216.0,elevators,1.0,20.0,0.0013573923206422,2022-10-07 10:02:46.217750,2022-10-07 10:08:42.920857,0 days 00:05:56.703107,407.0,3.0,3.0,0.0,constant,rbf,,0.000162592132187,21.0,1.0,125.0,,,COMPLETE,
216.0,elevators,1.0,21.0,0.0014682798937428,2022-10-07 10:08:42.921410,2022-10-07 10:13:42.252658,0 days 00:04:59.331248,453.0,3.0,3.0,0.0,constant,rbf,,0.0001112594769133,21.0,1.0,109.0,,,COMPLETE,
216.0,elevators,1.0,22.0,0.0014173408853821,2022-10-07 10:13:42.253280,2022-10-07 10:16:45.352346,0 days 00:03:03.099066,308.0,3.0,3.0,0.0,constant,rbf,,0.0002350063950422,21.0,1.0,62.0,,,COMPLETE,
216.0,elevators,1.0,23.0,0.0016534870082978,2022-10-07 10:16:45.352894,2022-10-07 10:18:46.490581,0 days 00:02:01.137687,703.0,2.0,3.0,0.0,constant,rbf,,0.0007804068839261,21.0,1.0,32.0,,,COMPLETE,
216.0,elevators,1.0,24.0,0.0015834146179258,2022-10-07 10:18:46.491156,2022-10-07 10:21:15.770546,0 days 00:02:29.279390,450.0,3.0,3.0,0.0,constant,rbf,,0.0027516840328937,21.0,1.0,45.0,,,COMPLETE,
216.0,elevators,1.0,25.0,0.0014544019650202,2022-10-07 10:21:15.771118,2022-10-07 10:27:27.647800,0 days 00:06:11.876682,234.0,4.0,4.0,0.0,constant,rbf,,0.0001888228613463,13.0,1.0,88.0,,,COMPLETE,
216.0,elevators,1.0,26.0,0.0012442660226952,2022-10-07 10:27:27.648378,2022-10-07 10:35:23.076243,0 days 00:07:55.427865,803.0,3.0,4.0,0.0,constant,rbf,,0.000293714779792,13.0,1.0,116.0,,,COMPLETE,
216.0,elevators,1.0,27.0,0.1440192942973226,2022-10-07 10:35:23.076818,2022-10-07 10:46:01.471018,0 days 00:10:38.394200,770.0,4.0,4.0,0.0,linear,spectral,8.0,0.0009247414156738,14.0,1.0,85.0,,,COMPLETE,
216.0,elevators,1.0,28.0,0.001576397800818,2022-10-07 10:46:01.471608,2022-10-07 10:52:08.712044,0 days 00:06:07.240436,829.0,2.0,4.0,0.0,constant,rbf,,0.0004104863241015,13.0,1.0,76.0,,,COMPLETE,
216.0,elevators,1.0,29.0,0.0018080701702274,2022-10-07 10:52:08.712596,2022-10-07 10:55:05.586685,0 days 00:02:56.874089,988.0,4.0,4.0,0.0,constant,rbf,,0.0049718192481106,14.0,1.0,30.0,,,COMPLETE,
216.0,elevators,1.0,30.0,0.0013419785536825,2022-10-07 10:55:05.587264,2022-10-07 11:06:18.856161,0 days 00:11:13.268897,629.0,4.0,4.0,0.0,constant,rbf,,0.000101822517279,12.0,1.0,182.0,,,COMPLETE,
216.0,elevators,1.0,31.0,0.0012138509773649,2022-10-07 11:06:18.856738,2022-10-07 11:11:06.413781,0 days 00:04:47.557043,625.0,4.0,4.0,0.0,constant,rbf,,0.0002390425606753,12.0,1.0,69.0,,,COMPLETE,
216.0,elevators,1.0,32.0,0.0011799656786024,2022-10-07 11:11:06.414383,2022-10-07 11:19:44.899426,0 days 00:08:38.485043,501.0,4.0,4.0,0.0,constant,rbf,,0.0002640548680968,12.0,1.0,144.0,,,COMPLETE,
216.0,elevators,1.0,33.0,0.0014424105174839,2022-10-07 11:19:44.899995,2022-10-07 11:23:06.915086,0 days 00:03:22.015091,508.0,4.0,4.0,0.0,constant,rbf,,0.0002050793398753,11.0,1.0,47.0,,,COMPLETE,
