dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_BPV,1.0,0.0,0.0012301298484089,2022-10-10 20:31:09.363357,2022-10-10 20:32:05.123953,0 days 00:00:55.760596,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,13.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
216.0,k2204_BPV,1.0,1.0,0.0003837998265225,2022-10-10 20:32:05.124533,2022-10-10 20:35:22.017867,0 days 00:03:16.893334,806.0,3.0,3.0,0.0,linear,spectral,6.0,0.0361337289789195,15.0,0.0,49.0,,,COMPLETE,
216.0,k2204_BPV,1.0,2.0,0.0008312723293784,2022-10-10 20:35:22.018452,2022-10-10 20:36:38.055328,0 days 00:01:16.036876,153.0,5.0,3.0,0.0,linear,matern0.5,,0.0533056581472798,17.0,1.0,24.0,,,COMPLETE,
216.0,k2204_BPV,1.0,3.0,0.0005699718167306,2022-10-10 20:36:38.055930,2022-10-10 20:37:23.625685,0 days 00:00:45.569755,927.0,3.0,3.0,0.0,constant,matern0.5,,0.0001508662864163,26.0,0.0,10.0,,,COMPLETE,
216.0,k2204_BPV,1.0,4.0,0.0016549731226405,2022-10-10 20:37:23.626273,2022-10-10 20:39:50.825340,0 days 00:02:27.199067,661.0,3.0,3.0,0.0,constant,spectral,8.0,0.0146338675433695,43.0,0.0,38.0,,,COMPLETE,
216.0,k2204_BPV,1.0,5.0,0.0001594076993569,2022-10-10 20:39:50.825912,2022-10-10 20:43:34.618013,0 days 00:03:43.792101,95.0,4.0,3.0,0.0,linear,matern0.5,,0.0483673088970837,30.0,1.0,90.0,,,COMPLETE,
216.0,k2204_BPV,1.0,6.0,0.0005115399035275,2022-10-10 20:43:34.618594,2022-10-10 20:44:33.278806,0 days 00:00:58.660212,181.0,2.0,2.0,0.0,constant,rbf,,0.0134806931048074,196.0,1.0,20.0,,,COMPLETE,
216.0,k2204_BPV,1.0,7.0,0.0396115775220096,2022-10-10 20:44:33.279392,2022-10-10 20:46:19.748217,0 days 00:01:46.468825,282.0,4.0,4.0,0.0,linear,spectral,3.0,0.0001753939971763,15.0,0.0,18.0,,,COMPLETE,
216.0,k2204_BPV,1.0,8.0,0.0329608707688748,2022-10-10 20:46:19.748748,2022-10-10 20:47:52.447415,0 days 00:01:32.698667,394.0,4.0,4.0,0.0,linear,spectral,7.0,0.0059522737172203,12.0,0.0,10.0,,,COMPLETE,
216.0,k2204_BPV,1.0,9.0,0.0007628651510458,2022-10-10 20:47:52.447961,2022-10-10 20:49:21.910882,0 days 00:01:29.462921,198.0,4.0,3.0,0.0,linear,matern0.5,,0.0170748345246639,43.0,1.0,21.0,,,COMPLETE,
