dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,0.0,0.0006636465841438,2022-10-11 14:31:59.886839,2022-10-11 14:33:30.036839,0 days 00:01:30.150000,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,31.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
216.0,k2204_PPV,1.0,1.0,0.0070216916501522,2022-10-11 14:33:30.037440,2022-10-11 14:36:29.029661,0 days 00:02:58.992221,689.0,4.0,4.0,0.0,constant,spectral,7.0,0.0112525857922581,16.0,1.0,33.0,,,COMPLETE,
216.0,k2204_PPV,1.0,2.0,0.0008541786883142,2022-10-11 14:36:29.030266,2022-10-11 14:37:38.469118,0 days 00:01:09.438852,277.0,4.0,2.0,0.0,linear,matern1.5,,0.0001050951563789,88.0,0.0,30.0,,,COMPLETE,
216.0,k2204_PPV,1.0,3.0,0.0004722744779428,2022-10-11 14:37:38.469685,2022-10-11 14:38:22.495055,0 days 00:00:44.025370,506.0,2.0,3.0,0.0,constant,rbf,,0.0005160982517824,25.0,1.0,11.0,,,COMPLETE,
216.0,k2204_PPV,1.0,4.0,0.0012961562024429,2022-10-11 14:38:22.495679,2022-10-11 14:38:53.250149,0 days 00:00:30.754470,619.0,4.0,2.0,0.0,constant,matern1.5,,0.0003614815825221,244.0,0.0,5.0,,,COMPLETE,
216.0,k2204_PPV,1.0,5.0,0.1164801642298698,2022-10-11 14:38:53.250749,2022-10-11 14:40:46.882084,0 days 00:01:53.631335,363.0,2.0,4.0,0.0,constant,spectral,2.0,0.0002934028069733,19.0,0.0,17.0,,,COMPLETE,
216.0,k2204_PPV,1.0,6.0,0.0011323232683935,2022-10-11 14:40:46.882665,2022-10-11 14:41:53.721616,0 days 00:01:06.838951,297.0,5.0,4.0,0.0,constant,rbf,,0.0052687379784861,15.0,1.0,17.0,,,COMPLETE,
216.0,k2204_PPV,1.0,7.0,0.0006468924329965,2022-10-11 14:41:53.722180,2022-10-11 14:43:02.131991,0 days 00:01:08.409811,355.0,4.0,4.0,0.0,constant,matern1.5,,0.0074292895288412,16.0,0.0,10.0,,,COMPLETE,
216.0,k2204_PPV,1.0,8.0,0.0004842644411837,2022-10-11 14:43:02.132554,2022-10-11 14:43:53.722008,0 days 00:00:51.589454,870.0,4.0,4.0,0.0,constant,matern0.5,,0.0037388220152498,19.0,1.0,1.0,,,COMPLETE,
216.0,k2204_PPV,1.0,9.0,0.0004011207274743,2022-10-11 14:43:53.722607,2022-10-11 14:44:51.523678,0 days 00:00:57.801071,133.0,2.0,3.0,0.0,constant,matern0.5,,0.000116592690263,19.0,0.0,17.0,,,COMPLETE,
216.0,k2204_PPV,1.0,10.0,6.648986436630366e-05,2022-10-11 14:44:51.524233,2022-10-11 14:48:27.064227,0 days 00:03:35.539994,72.0,2.0,3.0,0.0,linear,matern0.5,,0.0569374619597184,31.0,0.0,84.0,,,COMPLETE,
216.0,k2204_PPV,1.0,11.0,2.786222057693521e-05,2022-10-11 14:48:27.064812,2022-10-11 14:51:31.620701,0 days 00:03:04.555889,90.0,2.0,3.0,0.0,linear,matern0.5,,0.0965491257686884,31.0,0.0,70.0,,,COMPLETE,
216.0,k2204_PPV,1.0,12.0,8.968860129243694e-05,2022-10-11 14:51:31.621266,2022-10-11 14:54:14.360665,0 days 00:02:42.739399,70.0,3.0,3.0,0.0,linear,matern0.5,,0.0975154538190656,34.0,0.0,57.0,,,COMPLETE,
216.0,k2204_PPV,1.0,13.0,0.001283668767428,2022-10-11 14:54:14.361238,2022-10-11 14:55:02.341087,0 days 00:00:47.979849,179.0,3.0,3.0,0.0,linear,matern0.5,,0.0963792589919603,33.0,0.0,6.0,,,COMPLETE,
216.0,k2204_PPV,1.0,14.0,0.0007658814502065,2022-10-11 14:55:02.341665,2022-10-11 14:56:08.835834,0 days 00:01:06.494169,479.0,3.0,3.0,0.0,linear,matern0.5,,0.030692012905533,39.0,0.0,16.0,,,COMPLETE,
216.0,k2204_PPV,1.0,15.0,0.0005526310487766,2022-10-11 14:56:08.836403,2022-10-11 14:56:45.787978,0 days 00:00:36.951575,65.0,2.0,3.0,0.0,linear,matern0.5,,0.0282849157667913,27.0,0.0,6.0,,,COMPLETE,
216.0,k2204_PPV,1.0,16.0,0.0008136739488691,2022-10-11 14:56:45.788546,2022-10-11 14:57:53.130217,0 days 00:01:07.341671,215.0,2.0,2.0,0.0,linear,matern0.5,,0.0354113588344141,130.0,0.0,25.0,,,COMPLETE,
216.0,k2204_PPV,1.0,17.0,0.0003919974406016,2022-10-11 14:57:53.130821,2022-10-11 14:58:41.212094,0 days 00:00:48.081273,403.0,3.0,3.0,0.0,linear,matern0.5,,0.0019913221452201,36.0,0.0,10.0,,,COMPLETE,
216.0,k2204_PPV,1.0,18.0,0.0997050628066062,2022-10-11 14:58:41.212646,2022-10-11 15:00:20.688642,0 days 00:01:39.475996,770.0,5.0,3.0,0.0,linear,spectral,3.0,0.0014332831741714,28.0,1.0,29.0,,,COMPLETE,
216.0,k2204_PPV,1.0,19.0,3.012317529282882e-05,2022-10-11 15:00:20.689207,2022-10-11 15:05:05.569989,0 days 00:04:44.880782,206.0,2.0,2.0,0.0,linear,matern0.5,,0.0464130155344855,163.0,0.0,140.0,,,COMPLETE,
216.0,k2204_PPV,1.0,20.0,0.0011143610463477,2022-10-11 15:05:05.570596,2022-10-11 15:05:53.010933,0 days 00:00:47.440337,224.0,3.0,2.0,0.0,linear,matern0.5,,0.014744982730505,173.0,0.0,14.0,,,COMPLETE,
216.0,k2204_PPV,1.0,21.0,0.000247722826316,2022-10-11 15:05:53.011541,2022-10-11 15:07:54.466494,0 days 00:02:01.454953,135.0,2.0,2.0,0.0,linear,matern0.5,,0.0532170972186408,96.0,0.0,56.0,,,COMPLETE,
