dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
287.0,r1_08_BPV,1.0,0.0,0.0005679772584699,2022-10-16 13:30:14.994839,2022-10-16 13:35:30.513870,0 days 00:05:15.519031,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,38.0,"[0.747967541217804, 0.7355374097824097, 0.7307641506195068, 0.7256129384040833, 0.7220511436462402, 0.7183480858802795, 0.7145999073982239, 0.7108903527259827, 0.7072138786315918, 0.703542947769165, 0.6998568177223206, 0.696151077747345, 0.692429780960083, 0.688701331615448, 0.6849731206893921, 0.6812425255775452, 0.6775042414665222, 0.6737537980079651, 0.6699906587600708, 0.6662158966064453, 0.6624319553375244, 0.658642053604126, 0.6548438668251038, 0.651035487651825, 0.6472160220146179, 0.6433863639831543, 0.639546811580658, 0.6356987953186035, 0.6318424344062805, 0.6279749870300293, 0.6240969300270081, 0.6202083230018616, 0.6163104176521301, 0.6124033331871033, 0.6084860563278198, 0.6045588850975037, 0.6006212830543518, 0.5966721177101135, 0.592712938785553, 0.5887470245361328, 0.5847693085670471, 0.5807791352272034, 0.5767800211906433, 0.5727713108062744, 0.5687540173530579, 0.5647265911102295, 0.5606844425201416, 0.5566309690475464]","[0.019934941083192825, 0.019790446385741234, 0.009366041049361229, 0.0036981606390327215, 0.0016506323590874672, 0.0009718297515064478, 0.000749897095374763, 0.0006958535523153841, 0.0006902258028276265, 0.0006860480643808842, 0.0006702092359773815, 0.0006459599826484919, 0.0006243856041692197, 0.0006134429713711143, 0.0006115769501775503, 0.0006128415698185563, 0.0006112746195867658, 0.0006054997793398798, 0.0005975525127723813, 0.0005911700427532196, 0.0005885445280000567, 0.0005881478427909315, 0.0005866207648068666, 0.0005840600351803005, 0.0005811496521346271, 0.0005787027184851468, 0.0005776466568931937, 0.0005778343183919787, 0.0005766171962022781, 0.0005746266688220203, 0.000572515360545367, 0.0005712765851058066, 0.0005706375814042985, 0.000570540374610573, 0.0005704032955691218, 0.0005701718619093299, 0.0005687620723620057, 0.0005679772584699094, 0.0005707680829800665, 0.0005707201198674738, 0.0005689391982741654, 0.0005683900089934468, 0.0005689925164915621, 0.0005707699456252158, 0.0005734952283091843, 0.0005716701853089035, 0.000568196177482605, 0.0005742063513025641]",COMPLETE,0.0006860480643808,0.0005778343183919,,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}",
287.0,r1_08_BPV,1.0,1.0,0.0009282696992158,2022-10-16 13:35:30.514549,2022-10-16 13:38:11.365928,0 days 00:02:40.851379,961.0,4.0,2.0,0.0,linear,matern0.5,,0.0012706370312863,24.0,0.0,30.0,"[0.7474204897880554, 0.7428256273269653, 0.7366800308227539, 0.7372166514396667, 0.7365491986274719, 0.7382837533950806, 0.7377844452857971, 0.7359929084777832, 0.7344726920127869, 0.7333251237869263, 0.7333419322967529, 0.7340027689933777, 0.7341788411140442, 0.733965277671814, 0.7331324815750122, 0.7318794131278992, 0.7305206060409546, 0.7292859554290771, 0.7285836935043335, 0.7282525897026062, 0.7279357314109802, 0.7277376651763916, 0.727375328540802, 0.726911187171936, 0.7263514399528503, 0.7257068157196045, 0.7251012325286865, 0.7245388031005859, 0.7240065932273865, 0.7234928011894226, 0.7229953408241272, 0.722547709941864, 0.7220684289932251, 0.7216781377792358, 0.7212845683097839, 0.7208908796310425, 0.7205229997634888, 0.7200881838798523, 0.7196418046951294, 0.719181478023529]","[0.01128022838383913, 0.0030741707887500525, 0.0033786490093916655, 0.0029648486524820328, 0.0059863850474357605, 0.0060029346495866776, 0.004200347233563662, 0.0026573657523840666, 0.0017274251440539956, 0.0023986578453332186, 0.00392267107963562, 0.004780421499162912, 0.005062689073383808, 0.0046698832884430885, 0.0035466167610138655, 0.002320309868082404, 0.0013158423826098442, 0.0010120827937498689, 0.0011655085254460573, 0.0014014597982168198, 0.0017201334703713655, 0.0018609027611091733, 0.0018418242689222097, 0.0017142280703410506, 0.0015026299515739083, 0.001283490564674139, 0.0010993379401043057, 0.0009526099893264472, 0.0009567912784405053, 0.000928269699215889, 0.0009312992915511131, 0.0009688153513707221, 0.0010097757913172245, 0.0011268340749666095, 0.0012313739862293005, 0.001338706468231976, 0.0014268863014876842, 0.0014551259810104966, 0.0014187144115567207, 0.001344809541478753]",COMPLETE,0.002964848652482,0.0023986578453332,0.0009526099893264,,
287.0,r1_08_BPV,1.0,2.0,0.0006059550796635,2022-10-16 13:38:11.366621,2022-10-16 13:41:12.440927,0 days 00:03:01.074306,484.0,5.0,2.0,0.0,linear,matern1.5,,0.0002809615166988,37.0,0.0,46.0,"[0.7497479319572449, 0.7388377785682678, 0.7373543381690979, 0.73673415184021, 0.7363317012786865, 0.7361848950386047, 0.7360294461250305, 0.7358354926109314, 0.7356825470924377, 0.7355470657348633, 0.7354189157485962, 0.7353183031082153, 0.7352303266525269, 0.7351279854774475, 0.7350315451622009, 0.7349199056625366, 0.7347965240478516, 0.7346866130828857, 0.7345836162567139, 0.7344743013381958, 0.7343623638153076, 0.7342519164085388, 0.7341461777687073, 0.7340418696403503, 0.7339462637901306, 0.7338363528251648, 0.7337348461151123, 0.7336336970329285, 0.7335314154624939, 0.7334249019622803, 0.7333261370658875, 0.7332281470298767, 0.7331214547157288, 0.7330263257026672, 0.7329275012016296, 0.7328256964683533, 0.7327193021774292, 0.7326318025588989, 0.7325074672698975, 0.7324051260948181, 0.7322986125946045, 0.7321917414665222, 0.7320855259895325, 0.7319813370704651, 0.7318673729896545, 0.7317647933959961, 0.7316645979881287, 0.7315599322319031, 0.7314561605453491, 0.73135906457901, 0.7312586307525635, 0.7311505079269409, 0.7310522794723511, 0.7309485077857971, 0.7308456897735596, 0.7307493090629578]","[0.004232011269778013, 0.0023115735966712236, 0.0015898830024525523, 0.00115598039701581, 0.0010749641805887222, 0.000999442650936544, 0.0008613362442702055, 0.0007731008809059858, 0.0007259299163706601, 0.0007261157152242959, 0.0007005850784480572, 0.0007035970338620245, 0.0007039557094685733, 0.0007038075127638876, 0.0006862296140752733, 0.0006754936184734106, 0.0006637664628215134, 0.0006585972150787711, 0.0006566016236320138, 0.0006544078350998461, 0.000650629517622292, 0.000645915511995554, 0.000641799415461719, 0.0006410881178453565, 0.0006432800437323749, 0.0006435163086280227, 0.0006378268008120358, 0.0006356819067150354, 0.0006319205858744681, 0.000630625756457448, 0.0006312713958323002, 0.0006341335247270763, 0.0006372688803821802, 0.0006399257690645754, 0.0006385031738318503, 0.0006354344659484923, 0.00063151033828035, 0.0006273465696722269, 0.0006268894067034125, 0.0006270685698837042, 0.0006238503847271204, 0.0006186136743053794, 0.0006143159116618335, 0.0006082309409976006, 0.0006060881423763931, 0.0006059550796635449, 0.0006065245252102613, 0.0006064536864869297, 0.0006076269783079624, 0.0006072437390685081, 0.0006103209452703595, 0.0006141060148365796, 0.000613899901509285, 0.0006114377174526453, 0.0006123019848018885, 0.0006121705519035459]",COMPLETE,0.000635681906715,,,,
287.0,r1_08_BPV,1.0,3.0,0.0005601867451332,2022-10-16 13:41:12.441591,2022-10-16 13:47:06.117452,0 days 00:05:53.675861,449.0,4.0,2.0,0.0,linear,rbf,,0.0264692831429395,295.0,1.0,74.0,"[0.7457300424575806, 0.7306203842163086, 0.7187697291374207, 0.7076935172080994, 0.6978521943092346, 0.6879950761795044, 0.6781284213066101, 0.6682249903678894, 0.6582421660423279, 0.6481848955154419, 0.6380676031112671, 0.6279096603393555, 0.6177094578742981, 0.6074510216712952, 0.5971252918243408, 0.5867337584495544, 0.5762816667556763, 0.5657738447189331, 0.555210292339325, 0.5445858836174011, 0.5338975191116333, 0.5231441259384155, 0.5123317837715149, 0.5014591813087463, 0.4905244708061218, 0.4795336127281189, 0.4684828221797943, 0.4573690891265869, 0.44619619846343994, 0.43496644496917725, 0.42367908358573914, 0.4123308062553406, 0.4009208679199219, 0.3894546926021576, 0.37793222069740295, 0.3663545250892639, 0.3547184467315674, 0.3430262506008148, 0.3312795162200928, 0.319479376077652, 0.30762746930122375, 0.2957219183444977, 0.28376349806785583, 0.27175524830818176, 0.2596955895423889, 0.24758507311344147, 0.23542895913124084, 0.223223477602005, 0.21097353100776672, 0.19867262244224548, 0.18633098900318146, 0.17394956946372986, 0.1615164875984192, 0.14904548227787018, 0.13653358817100525, 0.12398185580968857, 0.11138732731342316, 0.09876172244548798, 0.08608802407979965, 0.07338967174291611, 0.06064791604876518, 0.04786510393023491, 0.03507274389266968, 0.022215798497200012, 0.009357552044093609, -0.0035618057008832693, -0.016490191221237183, -0.02945147641003132, -0.04244730994105339, -0.05545538291335106, -0.06850546598434448, -0.08155399560928345, -0.09467500448226929, -0.10776987671852112, -0.12092248350381851, -0.13406848907470703, -0.14726805686950684, -0.16045555472373962, -0.17367951571941376, -0.18690919876098633, -0.20017752051353455, -0.21342118084430695, -0.22671814262866974]","[0.0199507474899292, 0.004835988394916058, 0.00526826549321413, 0.001903441152535379, 0.0010676267556846142, 0.0008659753948450089, 0.0007836731965653598, 0.0007274382514879107, 0.0006767454324290156, 0.0006373400683514774, 0.0006217063055373728, 0.000625732121989131, 0.0006296259816735983, 0.0006290205637924373, 0.0006172561552375555, 0.0006071341340430081, 0.0006030278163962066, 0.000603460764978081, 0.0006048764334991574, 0.0006035459809936583, 0.0006002347217872739, 0.0005972709623165429, 0.0005945198354311287, 0.0005903002456761897, 0.0005894214264117181, 0.0005890295724384487, 0.0005875001079402864, 0.000585559697356075, 0.0005861516110599041, 0.0005877937655895948, 0.0005864367121830583, 0.0005833635805174708, 0.0005806685076095164, 0.0005797345074824989, 0.0005810701986774802, 0.0005807334673590958, 0.0005796803743578494, 0.0005775087047368288, 0.0005771040450781584, 0.0005764907691627741, 0.000574336911085993, 0.0005734604201279581, 0.0005732264253310859, 0.000573190045543015, 0.0005716771702282131, 0.0005725006922148168, 0.0005712478887289762, 0.0005709752440452576, 0.0005684510106220841, 0.0005684064235538244, 0.0005695554427802563, 0.000566426373552531, 0.0005656479042954743, 0.0005656708381138742, 0.0005654380656778812, 0.0005647448124364018, 0.0005669054808095098, 0.0005640270537696779, 0.0005657313158735633, 0.0005650544771924615, 0.000562973553314805, 0.0005688054370693862, 0.0005631317035295069, 0.0005673629930242896, 0.0005625803605653346, 0.0005652297986671329, 0.0005649871891364455, 0.0005629660445265472, 0.0005651329993270338, 0.0005637470167130232, 0.0005696267471648753, 0.0005609592772088945, 0.0005656305002048612, 0.0005624287878163159, 0.0005660058232024312, 0.0005622764583677053, 0.0005640299059450626, 0.0005627144128084183, 0.0005648118676617742, 0.000560186745133251, 0.0005643013282679021, 0.0005620328593067825, 0.0005624048644676805]",COMPLETE,0.000585559697356,0.0005620328593067,,,
287.0,r1_08_BPV,1.0,4.0,0.0005592529196292,2022-10-16 13:47:06.118192,2022-10-16 13:52:16.235617,0 days 00:05:10.117425,371.0,5.0,2.0,0.0,linear,matern1.5,,0.0380053352432288,179.0,0.0,63.0,"[0.7464871406555176, 0.7232145071029663, 0.7124399542808533, 0.6949875354766846, 0.6809265613555908, 0.666725218296051, 0.6522201299667358, 0.6376820206642151, 0.6231553554534912, 0.6085153222084045, 0.5937100052833557, 0.5787472724914551, 0.5636885762214661, 0.5485345125198364, 0.5332871675491333, 0.5179216265678406, 0.5024126172065735, 0.48677965998649597, 0.47103163599967957, 0.45517978072166443, 0.43922159075737, 0.42315030097961426, 0.40695902705192566, 0.3906562030315399, 0.3742365539073944, 0.35770946741104126, 0.34108272194862366, 0.32435956597328186, 0.30753347277641296, 0.2905888557434082, 0.2735366225242615, 0.25639253854751587, 0.23914514482021332, 0.22180885076522827, 0.20437778532505035, 0.18685711920261383, 0.16925173997879028, 0.1515602469444275, 0.13377569615840912, 0.11591293662786484, 0.09797213971614838, 0.07995156198740005, 0.06185651198029518, 0.04369453340768814, 0.025462761521339417, 0.007166579831391573, -0.011198003776371479, -0.02962092123925686, -0.04810911417007446, -0.06664670258760452, -0.08524652570486069, -0.1038951426744461, -0.12258828431367874, -0.1413351595401764, -0.16012734174728394, -0.17895789444446564, -0.1978311687707901, -0.21674105525016785, -0.23568646609783173, -0.2546652853488922, -0.273673951625824, -0.2927142381668091, -0.3117734491825104, -0.33086735010147095, -0.349972128868103, -0.36910104751586914, -0.3882381021976471, -0.40740418434143066, -0.4265691936016083, -0.4457625150680542, -0.4649401903152466, -0.48413559794425964, -0.5033107399940491]","[0.007032780442386866, 0.021903056651353836, 0.009589621797204018, 0.0020811427384614944, 0.0012303856201469898, 0.0008398208883590996, 0.0006867872434668243, 0.0007004800718277693, 0.0007343958131968975, 0.0007148222648538649, 0.0006620125495828688, 0.0006167722167447209, 0.0006085390341468155, 0.0006226002587936819, 0.0006342771230265498, 0.000627198547590524, 0.0006080418825149536, 0.0005922233685851097, 0.0005887092556804419, 0.0005930296611040831, 0.0005961837014183402, 0.000593442062381655, 0.0005867663421668112, 0.0005805370165035129, 0.0005789669812656939, 0.0005818678764626384, 0.0005830386653542519, 0.000587180838920176, 0.0005772025906480849, 0.0005749237025156617, 0.0005731363198719919, 0.00057150365319103, 0.0005695362924598157, 0.00056779122678563, 0.0005686829681508243, 0.0005685050855390728, 0.0005676878499798477, 0.0005671172984875739, 0.0005671107210218906, 0.0005678568850271404, 0.0005665093776769936, 0.0005652305553667247, 0.0005644594202749431, 0.0005638283910229802, 0.0005636736750602722, 0.0005627836799249053, 0.0005627493374049664, 0.0005625352496281266, 0.0005635193083435297, 0.0005624431651085615, 0.0005610754597000778, 0.0005609646323136985, 0.0005607397761195898, 0.0005601567099802196, 0.0005604015314020216, 0.0005603880854323506, 0.000560021901037544, 0.0005598841817118227, 0.0005601503071375191, 0.0005602487362921238, 0.0005595909315161407, 0.0005600346485152841, 0.0005592529196292162, 0.0005600674194283783, 0.0005604455363936722, 0.0005593390087597072, 0.0005602030432783067, 0.0005605601472780108, 0.0005600157892331481, 0.0005607767961919308, 0.0005631670937873423, 0.00056492630392313, 0.0005625314079225063]",COMPLETE,0.0020811427384614,0.0007148222648538,0.0005871808389201,,
287.0,r1_08_BPV,1.0,5.0,0.0006022029556334,2022-10-16 13:52:16.236323,2022-10-16 13:53:37.786963,0 days 00:01:21.550640,751.0,5.0,2.0,0.0,constant,matern1.5,,0.0007303330447503,154.0,0.0,14.0,"[0.7486652731895447, 0.7372151017189026, 0.7360568046569824, 0.7357755303382874, 0.7354352474212646, 0.7351111173629761, 0.7348341345787048, 0.7345589399337769, 0.7342719435691833, 0.7340046763420105, 0.733738124370575, 0.7334733605384827, 0.7331884503364563, 0.7329192757606506, 0.7326632738113403, 0.7323967218399048, 0.7321342825889587, 0.7318740487098694, 0.7316036820411682, 0.7313371896743774, 0.7310730814933777, 0.7308151721954346, 0.7305482029914856, 0.7302861213684082]","[0.006080952938646078, 0.0010643071727827191, 0.000906389148440212, 0.0008198259165510535, 0.0007171313627623022, 0.0006972069968469441, 0.0006684748223051429, 0.0006449944339692593, 0.0006427921471185982, 0.0006396647077053785, 0.000630768365226686, 0.000621930870693177, 0.0006121573969721794, 0.0006022029556334019, 0.0006092065013945103, 0.0006210347637534142, 0.0006290781893767416, 0.000620294245891273, 0.0006202810327522457, 0.0006219529313966632, 0.000622525520157069, 0.0006181802018545568, 0.0006195916794240475, 0.0006194329471327364]",COMPLETE,0.000819825916551,0.0006396647077053,,,
287.0,r1_08_BPV,1.0,6.0,0.0015023656887933,2022-10-16 13:53:37.787709,2022-10-16 13:54:32.676281,0 days 00:00:54.888572,553.0,4.0,2.0,0.0,linear,matern0.5,,0.001014896639604,147.0,1.0,,,,PRUNED,0.0015023656887933,,,,
287.0,r1_08_BPV,1.0,7.0,0.000562023720704,2022-10-16 13:54:32.676633,2022-10-16 13:59:57.903409,0 days 00:05:25.226776,408.0,4.0,2.0,0.0,constant,rbf,,0.0138064374566167,238.0,1.0,70.0,"[0.7362281084060669, 0.7355499267578125, 0.7271133065223694, 0.7213931679725647, 0.7165197134017944, 0.7112865447998047, 0.7062021493911743, 0.7011500000953674, 0.6960512399673462, 0.690912127494812, 0.6857674717903137, 0.6806129217147827, 0.6754471063613892, 0.670271098613739, 0.6650803089141846, 0.6598659157752991, 0.654631495475769, 0.6493819355964661, 0.6441178321838379, 0.6388357877731323, 0.6335321068763733, 0.628212571144104, 0.6228786110877991, 0.6175256371498108, 0.6121534705162048, 0.6067618727684021, 0.6013534069061279, 0.5959262847900391, 0.590480387210846, 0.5850166082382202, 0.579533576965332, 0.5740319490432739, 0.5685124397277832, 0.5629740357398987, 0.557416558265686, 0.5518405437469482, 0.5462446808815002, 0.5406298041343689, 0.5349974632263184, 0.5293487310409546, 0.5236822366714478, 0.5179866552352905, 0.5122833847999573, 0.5065666437149048, 0.5008242726325989, 0.49505412578582764, 0.4892733693122864, 0.48348450660705566, 0.4776744544506073, 0.47183358669281006, 0.46598273515701294, 0.46011650562286377, 0.45422881841659546, 0.4483274221420288, 0.4424075186252594, 0.43646833300590515, 0.4305078983306885, 0.42453229427337646, 0.41854241490364075, 0.41253381967544556, 0.4065088629722595, 0.4004732370376587, 0.394415020942688, 0.3883354663848877, 0.382245272397995, 0.37613755464553833, 0.3700139820575714, 0.36387860774993896, 0.35772326588630676, 0.351550430059433, 0.3453647196292877, 0.33916571736335754, 0.3329516649246216, 0.326720654964447, 0.3204750418663025, 0.31421175599098206, 0.3079393208026886, 0.3016515076160431, 0.2953457832336426, 0.28902432322502136]","[0.019838998094201088, 0.0017111737979575992, 0.0007665533921681345, 0.0009727398282848299, 0.0007417043088935316, 0.0007374535780400038, 0.0007659490802325308, 0.0007416795124299824, 0.0006991862319409847, 0.0006676405901089311, 0.0006413461524061859, 0.0006254423642531037, 0.0006209193379618227, 0.000620524981059134, 0.0006100476603023708, 0.0005992636433802545, 0.0005927914171479642, 0.0005931318737566471, 0.000592031457927078, 0.0005869045271538198, 0.0005839203950017691, 0.0005845380364917219, 0.0005840340745635331, 0.0005824321415275335, 0.00057978619588539, 0.0005789588904008269, 0.0005775383324362338, 0.0005762611981481314, 0.0005753689911216497, 0.0005736979655921459, 0.0005720950430259109, 0.0005716322921216488, 0.0005718336906284094, 0.0005707665695808828, 0.0005701559712179005, 0.0005697119631804526, 0.0005691139376722276, 0.0005697349552065134, 0.0005724536604247987, 0.0005763316294178367, 0.0005693718558177352, 0.0005708868848159909, 0.0005770107381977141, 0.0005769868148490787, 0.0005698633030988276, 0.0005688215605914593, 0.000574543490074575, 0.0005776226171292365, 0.0005702503840439022, 0.0005698566674254835, 0.0005708382232114673, 0.0005689525278285146, 0.0005704755312763155, 0.0005715925944969058, 0.0005713086575269699, 0.000567564507946372, 0.0005654683918692172, 0.000566104135941714, 0.0005656863213516772, 0.0005661699105985463, 0.0005702377529814839, 0.0005696341395378113, 0.000564868503715843, 0.0005646552890539169, 0.0005635204142890871, 0.0005635677953250706, 0.0005658490699715912, 0.0005649419035762548, 0.0005625683115795255, 0.0005620237207040191, 0.0005628653452731669, 0.000563745095860213, 0.000564192479941994, 0.0005651654792018235, 0.0005636757705360651, 0.0005654849228449166, 0.000566031550988555, 0.0005657152505591512, 0.000565244525205344, 0.0005683996132574975]",COMPLETE,0.0005762611981481,,,,
287.0,r1_08_BPV,1.0,8.0,0.0012185729574412,2022-10-16 13:59:57.904122,2022-10-16 14:00:33.959430,0 days 00:00:36.055308,152.0,5.0,2.0,0.0,linear,matern0.5,,0.0003417272209845,15.0,0.0,,,,PRUNED,0.0012185729574412,,,,
287.0,r1_08_BPV,1.0,9.0,0.0019941637292504,2022-10-16 14:00:33.959777,2022-10-16 14:01:30.742695,0 days 00:00:56.782918,255.0,4.0,2.0,0.0,constant,matern0.5,,0.0010930367652203,300.0,1.0,,,,PRUNED,0.0019941637292504,,,,
