dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,r1_08_PPV,1.0,0.0,0.0001453349104849,2022-11-06 20:00:07.563851,2022-11-06 20:02:22.196105,0 days 00:02:14.632254,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,13.0,"[0.7774593830108643, 0.7396467328071594, 0.7502148747444153, 0.7310936450958252, 0.7230743169784546, 0.7194311022758484, 0.7150375843048096, 0.7107878923416138, 0.7072224020957947, 0.7038369178771973, 0.7001344561576843, 0.6961377859115601, 0.6921047568321228, 0.6882157921791077, 0.6844991445541382, 0.6808565258979797, 0.6771783232688904, 0.6734166145324707]","[0.0500313825905323, 0.05987893044948578, 0.021573958918452263, 0.004002345725893974, 0.0026157323736697435, 0.0014328844845294952, 0.0006169520202092826, 0.0007525361725129187, 0.0011429964797571301, 0.0011321469210088253, 0.0007552516763098538, 0.00034934395807795227, 0.00014533491048496217, 0.0001789000234566629, 0.000308647082420066, 0.0004022281791549176, 0.00040652835741639137, 0.0003393629449419677]",COMPLETE,0.0011321469210088,,,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}",
44027.0,r1_08_PPV,1.0,1.0,4.65297453047242e-05,2022-11-06 20:02:22.196698,2022-11-06 20:04:16.879917,0 days 00:01:54.683219,85.0,4.0,2.0,0.0,linear,matern1.5,,0.0095131341726949,299.0,1.0,26.0,"[0.7359256148338318, 0.7395338416099548, 0.7292860150337219, 0.7270703315734863, 0.7228696942329407, 0.7191447019577026, 0.7160127758979797, 0.7119612693786621, 0.7084871530532837, 0.705175518989563, 0.7015361189842224, 0.6978389620780945, 0.6942981481552124, 0.6908446550369263, 0.6873305439949036, 0.6837241649627686, 0.6801133155822754, 0.6765503287315369, 0.6730168461799622, 0.6694364547729492, 0.6658225059509277, 0.6622051000595093, 0.6585962772369385, 0.654998779296875, 0.6513675451278687, 0.6477158665657043, 0.6440510153770447, 0.6403969526290894, 0.636751115322113, 0.6330859661102295, 0.6294022798538208]","[0.011924969963729382, 0.000351900263922289, 0.0020137266255915165, 0.000947199237998575, 0.0007636221125721931, 0.00106921570841223, 0.0003003228921443224, 0.000290820054942742, 0.0005374624161049724, 0.0003702796238940209, 0.00015591799456160516, 0.00012815013178624213, 0.00021513468527700752, 0.00023874205362517387, 0.00015800431719981134, 7.897548493929207e-05, 8.501252887072042e-05, 0.00012828916078433394, 0.00013053901784587651, 9.619164484320208e-05, 6.868130731163546e-05, 7.171356264734641e-05, 8.489316678605974e-05, 8.337620965903625e-05, 6.395490345312282e-05, 4.65297453047242e-05, 4.707432890427299e-05, 6.200907228048891e-05, 7.081542571540922e-05, 6.09504095336888e-05, 4.886121678282507e-05]",COMPLETE,0.0009471992379985,0.000370279623894,6.200907228048891e-05,,
44027.0,r1_08_PPV,1.0,2.0,1.936695480253548e-05,2022-11-06 20:04:16.880543,2022-11-06 20:06:42.271016,0 days 00:02:25.390473,366.0,3.0,2.0,0.0,constant,matern1.5,,0.0963593275291749,138.0,1.0,38.0,"[0.771169126033783, 0.7067582607269287, 0.6715196967124939, 0.640349805355072, 0.5933502912521362, 0.5555107593536377, 0.5163025856018066, 0.47603777050971985, 0.4359380304813385, 0.39558663964271545, 0.35443055629730225, 0.31253111362457275, 0.2699933648109436, 0.2269066870212555, 0.1833990514278412, 0.13954834640026093, 0.09528593719005585, 0.05046927183866501, 0.005130468867719173, -0.04055972397327423, -0.08647473901510239, -0.13267101347446442, -0.17922769486904144, -0.22613012790679932, -0.27333447337150574, -0.3206906318664551, -0.3681090176105499, -0.41586676239967346, -0.4639529585838318, -0.5119071006774902, -0.5600399374961853, -0.6084794998168945, -0.6568187475204468, -0.7053385376930237, -0.7538381814956665, -0.8025555610656738, -0.8510597348213196, -0.8998290300369263, -0.9484595656394958, -0.9970960021018982, -1.0458261966705322, -1.0944066047668457]","[0.027561035007238388, 0.05340525880455971, 0.015889963135123253, 0.002981036901473999, 0.0023380310740321875, 0.001554169342853129, 0.0006583267240785062, 0.0005349541315808892, 0.0006544937496073544, 0.0006475980044342577, 0.0005441002431325614, 0.0004001697525382042, 0.00028241329709999263, 0.00022281611745711416, 0.000219306573853828, 0.00023230205988511443, 0.00020360237977001816, 0.00014675398415420204, 0.00010263794683851302, 9.899304859573022e-05, 0.0001057611734722741, 0.00010133472096640617, 8.364238601643592e-05, 6.121181650087237e-05, 5.638189395540394e-05, 7.464635564247146e-05, 6.577370368177071e-05, 3.684650801005773e-05, 4.52914900961332e-05, 4.7703761083539575e-05, 3.2935262424871325e-05, 3.8135120121296495e-05, 3.3453747164458036e-05, 3.45878979715053e-05, 2.3947372028487734e-05, 3.0690069252159446e-05, 2.0899795345030725e-05, 3.01789023069432e-05, 2.2875834474689327e-05, 1.9366954802535474e-05, 2.1542080503422767e-05, 2.9401826395769604e-05]",COMPLETE,0.0006475980044342,3.684650801005773e-05,,,
44027.0,r1_08_PPV,1.0,3.0,4.426574832905317e-06,2022-11-06 20:06:42.271657,2022-11-06 20:11:06.068198,0 days 00:04:23.796541,182.0,2.0,2.0,0.0,linear,rbf,,0.0249672464432029,141.0,0.0,92.0,"[0.774070143699646, 0.7444071173667908, 0.7225795984268188, 0.710096538066864, 0.7012439370155334, 0.6913793683052063, 0.6812381744384766, 0.6716552376747131, 0.6624724864959717, 0.6530813574790955, 0.6434658765792847, 0.6337504982948303, 0.6239932179450989, 0.614261269569397, 0.6045711040496826, 0.5948504209518433, 0.5850194692611694, 0.5750593543052673, 0.5650231242179871, 0.5549622178077698, 0.5448920726776123, 0.5348024964332581, 0.524657666683197, 0.5144287347793579, 0.5041096210479736, 0.49373239278793335, 0.4833214581012726, 0.4728693962097168, 0.46236535906791687, 0.4518132507801056, 0.44120368361473083, 0.4305267930030823, 0.4197852611541748, 0.4089965224266052, 0.3981701135635376, 0.38730016350746155, 0.37637341022491455, 0.36538779735565186, 0.35434654355049133, 0.3432556390762329, 0.33212560415267944, 0.32095301151275635, 0.3097259998321533, 0.29844528436660767, 0.287117063999176, 0.27574214339256287, 0.26432204246520996, 0.25286251306533813, 0.2413569837808609, 0.22980082035064697, 0.21820199489593506, 0.20656567811965942, 0.19488875567913055, 0.18317092955112457, 0.17141197621822357, 0.1596134603023529, 0.14777803421020508, 0.13590268790721893, 0.12399288266897202, 0.11204557120800018, 0.10006111115217209, 0.08804522454738617, 0.07599366456270218, 0.06391067802906036, 0.05179679021239281, 0.039651475846767426, 0.027476737275719643, 0.015269878320395947, 0.0030324652325361967, -0.009229947812855244, -0.021521788090467453, -0.0338415801525116, -0.04618680477142334, -0.05855894088745117, -0.0709531232714653, -0.08337587118148804, -0.09581762552261353, -0.1082853302359581, -0.12077318131923676, -0.13328324258327484, -0.1458093822002411, -0.158359557390213, -0.1709263026714325, -0.1835094690322876, -0.19611120223999023, -0.2087283879518509, -0.2213614583015442, -0.23401276767253876, -0.24667717516422272, -0.25935667753219604, -0.2720494866371155, -0.2847559154033661, -0.2974761426448822, -0.31020522117614746, -0.32294878363609314, -0.33570346236228943, -0.3484649360179901]","[0.03192199766635895, 0.006751100532710552, 0.0021075489930808544, 0.0024607377126812935, 0.0016170182498171926, 0.0005448086885735393, 0.0002592987730167806, 0.0005334751331247389, 0.000612746283877641, 0.0004935066099278629, 0.00032508178264833987, 0.00017593947995919734, 0.00012079730367986485, 0.00017076314543373883, 0.00025035004364326596, 0.00025550738791935146, 0.00019411595712881535, 0.00011321611964376643, 6.433355156332254e-05, 6.081433821236715e-05, 9.083728946279734e-05, 0.00011818336497526616, 0.00011916163202840835, 9.000243881018832e-05, 5.880404933122918e-05, 4.583784539136104e-05, 4.486881152843125e-05, 4.874213846051134e-05, 5.576729017775506e-05, 5.7454770285403356e-05, 4.792367326444946e-05, 3.206381370546296e-05, 2.3384067389997654e-05, 2.29310189752141e-05, 2.8916052542626858e-05, 3.1748346373206005e-05, 2.9523498596972786e-05, 2.2768135750084184e-05, 1.6469695765408687e-05, 1.623540993023198e-05, 2.0315195797593333e-05, 2.120164208463393e-05, 1.8640726921148598e-05, 1.609524952073116e-05, 1.3629394743475132e-05, 1.2384304682200309e-05, 1.4368399206432514e-05, 1.5683670426369645e-05, 1.3287448382470757e-05, 1.0837875379365869e-05, 1.0894286788243335e-05, 1.1472454389149789e-05, 1.1974097105849069e-05, 1.0597995242278557e-05, 9.715570740809198e-06, 9.906391824188177e-06, 9.434877028979827e-06, 9.724978554004338e-06, 9.346986189484596e-06, 8.38218693388626e-06, 8.976940989668947e-06, 8.703160347067751e-06, 8.424824955000076e-06, 8.200829142879229e-06, 8.095402336039115e-06, 8.156318472174462e-06, 7.725750037934631e-06, 7.18305727787083e-06, 7.4360677899676375e-06, 7.331720098591177e-06, 6.8119111347186845e-06, 6.961979579500621e-06, 6.62609363644151e-06, 6.925457000761526e-06, 6.215539997356245e-06, 6.484523964900291e-06, 6.19359161646571e-06, 6.208894774317741e-06, 5.910337222303497e-06, 6.439966909965733e-06, 5.85780890105525e-06, 5.6936901273729745e-06, 5.768750725110294e-06, 5.456683993543265e-06, 5.177297225600341e-06, 5.365180641092593e-06, 4.9405584832129534e-06, 4.835101663047681e-06, 4.870926204603165e-06, 4.984889983461471e-06, 4.868099040322704e-06, 4.426574832905317e-06, 4.68532880404382e-06, 4.625276233127806e-06, 4.659611022361787e-06, 5.162858087714994e-06, 4.900975454802392e-06]",COMPLETE,4.874213846051134e-05,5.693690127372975e-06,,,
44027.0,r1_08_PPV,1.0,4.0,1.8781545804813504e-05,2022-11-06 20:11:06.068990,2022-11-06 20:11:43.809612,0 days 00:00:37.740622,94.0,2.0,2.0,0.0,linear,matern1.5,,0.0002463482105335,19.0,1.0,2.0,"[0.735916256904602, 0.7358195185661316, 0.735733151435852, 0.735643744468689, 0.7355585098266602, 0.7354745864868164, 0.735379159450531]","[1.8866523532778956e-05, 1.8781545804813504e-05, 2.0522364138741978e-05, 1.9035580407944508e-05, 1.8978220396093093e-05, 2.0123543436056934e-05, 1.8780463506118394e-05]",COMPLETE,1.9035580407944508e-05,,,,
44027.0,r1_08_PPV,1.0,5.0,0.0036079583223909,2022-11-06 20:11:43.810391,2022-11-06 20:12:00.661263,0 days 00:00:16.850872,935.0,4.0,2.0,0.0,linear,matern0.5,,0.0015469301183787,203.0,0.0,,,,PRUNED,0.0036079583223909,,,,
44027.0,r1_08_PPV,1.0,6.0,0.0034984708763659,2022-11-06 20:12:00.661612,2022-11-06 20:12:13.419561,0 days 00:00:12.757949,968.0,2.0,2.0,0.0,linear,matern1.5,,0.00090609103218,118.0,0.0,,,,PRUNED,0.0034984708763659,,,,
44027.0,r1_08_PPV,1.0,7.0,9.082861652132124e-06,2022-11-06 20:12:13.419904,2022-11-06 20:17:13.639669,0 days 00:05:00.219765,992.0,4.0,2.0,0.0,constant,matern1.5,,0.0401705611083569,184.0,1.0,35.0,"[0.7627751231193542, 0.7443965077400208, 0.7081668972969055, 0.6926772594451904, 0.6774020195007324, 0.6619995832443237, 0.6467645168304443, 0.6314495801925659, 0.6158763766288757, 0.6002341508865356, 0.5844451189041138, 0.5685616135597229, 0.552553653717041, 0.5363765954971313, 0.5200753211975098, 0.5036776661872864, 0.48714402318000793, 0.470436155796051, 0.4536345601081848, 0.4367159307003021, 0.41966068744659424, 0.4024756848812103, 0.38517895340919495, 0.36775872111320496, 0.35019904375076294, 0.3325253427028656, 0.31474462151527405, 0.29685065150260925, 0.2788323760032654, 0.26070013642311096, 0.24249649047851562, 0.22413182258605957, 0.20568159222602844, 0.18713515996932983, 0.16846778988838196, 0.14970608055591583, 0.1308608502149582, 0.11191961914300919, 0.09288697689771652, 0.07377985864877701]","[0.05987334996461868, 0.019719991832971573, 0.002855452476069331, 0.0010830170940607786, 0.00035003689117729664, 0.0002505507436580956, 0.00027608973323367536, 0.00017476626089774072, 0.00014219633885659277, 9.56440853769891e-05, 9.343102283310145e-05, 9.656821930548176e-05, 6.24990279902704e-05, 3.7412199162645265e-05, 6.051214222679846e-05, 5.955247979727574e-05, 3.3745422115316615e-05, 2.7013771614292637e-05, 3.750524410861544e-05, 3.3839827665360644e-05, 2.9996521334396675e-05, 3.160995402140543e-05, 2.5495000954833813e-05, 2.4050717911450192e-05, 2.3638434868189506e-05, 1.9089995475951582e-05, 1.9941257050959393e-05, 1.6721463907742873e-05, 1.4947985619073734e-05, 2.297002174600493e-05, 1.8384298527962528e-05, 1.6151754607562907e-05, 1.6688240066287108e-05, 1.4210764675226528e-05, 9.082861652132124e-06, 1.415134101989679e-05, 1.2139682439737953e-05, 1.0897024367295671e-05, 1.718115345283877e-05, 1.7963435311685316e-05]",COMPLETE,9.56440853769891e-05,1.6721463907742873e-05,,,
44027.0,r1_08_PPV,1.0,8.0,520.2313842773438,2022-11-06 20:17:13.640457,2022-11-06 20:23:46.107760,0 days 00:06:32.467303,562.0,4.0,2.0,0.0,linear,spectral,2.0,0.0004138695257184,299.0,1.0,3.0,"[-0.48265373706817627, 117.96382141113281, -1.8403682708740234, 16.314897537231445, -0.9515146017074585, 0.2970465421676636, 17.123783111572266, 1364.5130615234375]","[34101.19140625, 48179.91796875, 520.2313842773438, 1689981.25, 2325675.25, 9123.8447265625, 15644.8603515625, 91314.21875]",COMPLETE,,,,,
44027.0,r1_08_PPV,1.0,9.0,0.0002481027622707,2022-11-06 20:23:46.108547,2022-11-06 20:24:47.149289,0 days 00:01:01.040742,876.0,3.0,2.0,0.0,linear,matern1.5,,0.0893448823183415,226.0,0.0,,,,PRUNED,0.0002481027622707,,,,
44027.0,r1_08_PPV,1.0,10.0,0.0001375533465761,2022-11-06 20:24:47.149624,2022-11-06 20:25:38.000642,0 days 00:00:50.851018,152.0,4.0,2.0,0.0,constant,rbf,,0.0160629511389659,138.0,0.0,12.0,"[0.7773870825767517, 0.7375372648239136, 0.7280780076980591, 0.7191148400306702, 0.7138195633888245, 0.7075383067131042, 0.7010060548782349, 0.6949256658554077, 0.6891177296638489, 0.6831983923912048, 0.6770873069763184, 0.6708832383155823, 0.664726734161377, 0.6586679816246033, 0.6526115536689758, 0.6464900374412537, 0.6403092741966248]","[0.01922282762825489, 0.007548684719949961, 0.0014438764192163944, 0.002653139876201749, 0.0015314685879275203, 0.0006031814846210182, 0.0003818473487626761, 0.0005234650452621281, 0.0005935707595199347, 0.00046517085866071284, 0.00025686610024422407, 0.00013755334657616913, 0.0001689740311121568, 0.00022753897064831108, 0.00023319975298363715, 0.00019992465968243778, 0.00014295487198978662]",COMPLETE,,,,,
44027.0,r1_08_PPV,1.0,11.0,0.0033475107047706,2022-11-06 20:25:38.001480,2022-11-06 20:26:07.387340,0 days 00:00:29.385860,607.0,2.0,2.0,0.0,constant,matern0.5,,0.014393249578829,231.0,1.0,,,,PRUNED,0.0033475107047706,,,,
44027.0,r1_08_PPV,1.0,12.0,117.76286315917967,2022-11-06 20:26:07.387684,2022-11-06 20:30:53.175245,0 days 00:04:45.787561,724.0,2.0,2.0,0.0,constant,spectral,6.0,0.0196278893785641,212.0,1.0,1.0,"[0.18171285092830658, -0.0744415819644928, -1.5169717073440552, -1.9163697957992554, -2.052490234375, -1.21156907081604]","[117.76286315917969, 1208347.5, 23840.623046875, 470950.65625, 10434.4912109375, 2697.862548828125]",COMPLETE,,,,,
44027.0,r1_08_PPV,1.0,13.0,0.0354634560644626,2022-11-06 20:30:53.176031,2022-11-06 20:31:05.817527,0 days 00:00:12.641496,368.0,2.0,2.0,0.0,linear,matern1.5,,0.0001401058824368,144.0,0.0,,,,PRUNED,0.0354634560644626,,,,
44027.0,r1_08_PPV,1.0,14.0,11.950220108032228,2022-11-06 20:31:05.817868,2022-11-06 20:34:06.662951,0 days 00:03:00.845083,350.0,3.0,2.0,0.0,linear,spectral,8.0,0.000118238176843,85.0,0.0,,,,PRUNED,11.950220108032228,,,,
44027.0,r1_08_PPV,1.0,15.0,11582.8330078125,2022-11-06 20:34:06.663282,2022-11-06 20:36:46.712173,0 days 00:02:40.048891,568.0,4.0,2.0,0.0,linear,spectral,6.0,0.0010741776758207,121.0,0.0,,,,PRUNED,11582.8330078125,,,,
44027.0,r1_08_PPV,1.0,16.0,18590.173828125,2022-11-06 20:36:46.712510,2022-11-06 20:39:47.421891,0 days 00:03:00.709381,206.0,3.0,2.0,0.0,constant,spectral,5.0,0.0056529331592318,191.0,0.0,,,,PRUNED,18590.173828125,,,,
44027.0,r1_08_PPV,1.0,17.0,0.0007809751550666,2022-11-06 20:39:47.422243,2022-11-06 20:40:10.128783,0 days 00:00:22.706540,612.0,4.0,2.0,0.0,linear,rbf,,0.0001523839622405,21.0,0.0,,,,PRUNED,0.0026784748770296,0.0007809751550666,,,
