dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
287.0,wine_quality,1.0,0.0,0.0149673903360962,2022-10-12 07:12:01.836221,2022-10-12 07:13:37.591654,0 days 00:01:35.755433,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,26.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
287.0,wine_quality,1.0,1.0,0.0152398094069212,2022-10-12 07:13:37.592226,2022-10-12 07:15:26.043606,0 days 00:01:48.451380,557.0,5.0,3.0,0.0,constant,matern0.5,,0.0021170805296679,42.0,0.0,23.0,,,COMPLETE,
287.0,wine_quality,1.0,2.0,0.0152012314647436,2022-10-12 07:15:26.044201,2022-10-12 07:17:36.991745,0 days 00:02:10.947544,560.0,4.0,3.0,0.0,constant,matern0.5,,0.0670429791190036,36.0,1.0,32.0,,,COMPLETE,
287.0,wine_quality,1.0,3.0,0.0155779891647398,2022-10-12 07:17:36.992315,2022-10-12 07:18:59.650850,0 days 00:01:22.658535,129.0,3.0,2.0,0.0,linear,matern0.5,,0.0002785342726782,74.0,0.0,36.0,,,COMPLETE,
287.0,wine_quality,1.0,4.0,0.0138386292383074,2022-10-12 07:18:59.651444,2022-10-12 07:22:01.151035,0 days 00:03:01.499591,607.0,4.0,3.0,0.0,linear,rbf,,0.0013473416693732,50.0,1.0,60.0,,,COMPLETE,
287.0,wine_quality,1.0,5.0,0.0145913281012326,2022-10-12 07:22:01.151604,2022-10-12 07:24:52.551333,0 days 00:02:51.399729,634.0,2.0,3.0,0.0,constant,matern0.5,,0.0204408682524715,30.0,1.0,61.0,,,COMPLETE,
287.0,wine_quality,1.0,6.0,0.0148535268381237,2022-10-12 07:24:52.551894,2022-10-12 07:29:34.441967,0 days 00:04:41.890073,988.0,5.0,4.0,0.0,linear,matern0.5,,0.0001126541516041,14.0,1.0,65.0,,,COMPLETE,
287.0,wine_quality,1.0,7.0,0.0146902462001889,2022-10-12 07:29:34.442591,2022-10-12 07:31:28.625063,0 days 00:01:54.182472,353.0,2.0,3.0,0.0,linear,matern1.5,,0.0315969378939392,38.0,0.0,39.0,,,COMPLETE,
287.0,wine_quality,1.0,8.0,0.0161627358756959,2022-10-12 07:31:28.625640,2022-10-12 07:35:28.608034,0 days 00:03:59.982394,166.0,4.0,4.0,0.0,constant,spectral,2.0,0.0347286714013843,19.0,1.0,43.0,,,COMPLETE,
287.0,wine_quality,1.0,9.0,0.0142169396858662,2022-10-12 07:35:28.608604,2022-10-12 07:37:21.861317,0 days 00:01:53.252713,412.0,5.0,4.0,0.0,linear,rbf,,0.0001679083204908,17.0,0.0,24.0,,,COMPLETE,
287.0,wine_quality,1.0,10.0,0.0143817919306457,2022-10-12 07:37:21.861869,2022-10-12 07:38:53.173332,0 days 00:01:31.311463,830.0,3.0,2.0,0.0,linear,rbf,,0.0012866347921709,158.0,1.0,41.0,,,COMPLETE,
287.0,wine_quality,1.0,11.0,0.0147344258148223,2022-10-12 07:38:53.173908,2022-10-12 07:40:18.889615,0 days 00:01:25.715707,365.0,5.0,4.0,0.0,linear,rbf,,0.0006225600924697,18.0,0.0,14.0,,,COMPLETE,
287.0,wine_quality,1.0,12.0,0.0144294362980872,2022-10-12 07:40:18.890186,2022-10-12 07:43:14.951813,0 days 00:02:56.061627,372.0,5.0,4.0,0.0,linear,rbf,,0.0055811060968253,18.0,0.0,43.0,,,COMPLETE,
287.0,wine_quality,1.0,13.0,0.0142135636415332,2022-10-12 07:43:14.952418,2022-10-12 07:46:52.058593,0 days 00:03:37.106175,725.0,4.0,3.0,0.0,linear,rbf,,0.0001239092822248,28.0,1.0,98.0,,,COMPLETE,
287.0,wine_quality,1.0,14.0,0.0727524259127676,2022-10-12 07:46:52.059178,2022-10-12 07:47:25.760845,0 days 00:00:33.701667,742.0,3.0,3.0,0.0,linear,spectral,8.0,0.0005211395274004,25.0,1.0,3.0,,,COMPLETE,
287.0,wine_quality,1.0,15.0,0.0134321157820522,2022-10-12 07:47:25.761430,2022-10-12 07:52:59.184781,0 days 00:05:33.423351,768.0,4.0,3.0,0.0,linear,matern1.5,,0.0010387981656458,27.0,1.0,140.0,,,COMPLETE,
287.0,wine_quality,1.0,16.0,0.0157917169854044,2022-10-12 07:52:59.185362,2022-10-12 07:54:56.660045,0 days 00:01:57.474683,869.0,4.0,2.0,0.0,linear,matern1.5,,0.001241641389562,121.0,1.0,29.0,,,COMPLETE,
287.0,wine_quality,1.0,17.0,0.0140070158522576,2022-10-12 07:54:56.660616,2022-10-12 07:57:49.311258,0 days 00:02:52.650642,692.0,3.0,3.0,0.0,linear,matern1.5,,0.0035483253526342,35.0,1.0,60.0,,,COMPLETE,
287.0,wine_quality,1.0,18.0,0.0141427838243544,2022-10-12 07:57:49.311841,2022-10-12 08:01:42.071079,0 days 00:03:52.759238,459.0,4.0,3.0,0.0,linear,matern1.5,,0.0006729623246929,45.0,1.0,67.0,,,COMPLETE,
287.0,wine_quality,1.0,19.0,0.0159480657894164,2022-10-12 08:01:42.071739,2022-10-12 08:02:18.157100,0 days 00:00:36.085361,855.0,3.0,2.0,0.0,linear,matern1.5,,0.0042096722640871,257.0,1.0,4.0,,,COMPLETE,
287.0,wine_quality,1.0,20.0,0.0505353100597858,2022-10-12 08:02:18.157653,2022-10-12 08:03:16.338069,0 days 00:00:58.180416,608.0,4.0,3.0,0.0,linear,spectral,5.0,0.0016562301685788,10.0,1.0,11.0,,,COMPLETE,
