dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,year,1.0,0.0,0.0122393434867262,2022-11-02 19:22:39.000358,2022-11-02 19:34:42.840725,0 days 00:12:03.840367,1024.0,4.0,2.0,0.0,constant,rbf,,0.01,300.0,0.0,6.0,"[0.7461609840393066, 0.7419729232788086, 0.7390608191490173, 0.734373152256012, 0.7313764691352844, 0.7271709442138672, 0.7231923341751099, 0.719365119934082, 0.7158852219581604, 0.7122766971588135, 0.708549439907074]","[0.015002558007836342, 0.015057183802127838, 0.015013309195637703, 0.015001500956714153, 0.015227356925606728, 0.012239343486726284, 0.01302636880427599, 0.015007911249995232, 0.015285241417586803, 0.015187804587185383, 0.027448615059256554]",COMPLETE,0.0150015009567141,0.0151878045871853,,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'grid_size': 300, 'initialize_fe': False}"
44027.0,year,1.0,1.0,0.0111325038596987,2022-11-02 19:34:42.841370,2022-11-02 19:42:29.221951,0 days 00:07:46.380581,648.0,3.0,2.0,0.0,constant,matern1.5,,0.0144161015417349,228.0,0.0,6.0,"[0.7462103962898254, 0.7399957180023193, 0.735038697719574, 0.728877604007721, 0.7235327363014221, 0.7182693481445312, 0.7129163146018982, 0.7077504992485046, 0.7024434804916382, 0.6975499987602234, 0.691953718662262]","[0.015092646703124046, 0.015002664178609848, 0.014971439726650715, 0.012126585468649864, 0.014879913069307804, 0.011132503859698772, 0.015028737485408783, 0.014953051693737507, 0.015001343563199043, 0.012202837504446507, 0.014083942398428917]",COMPLETE,,,,
44027.0,year,1.0,2.0,0.0340217985212802,2022-11-02 19:42:29.222514,2022-11-02 19:45:00.362404,0 days 00:02:31.139890,895.0,5.0,2.0,0.0,constant,matern0.5,,0.0014484509924964,134.0,1.0,,,,PRUNED,0.0340217985212802,,,
44027.0,year,1.0,3.0,0.0109096346423029,2022-11-02 19:45:00.362791,2022-11-02 19:46:23.010888,0 days 00:01:22.648097,724.0,2.0,2.0,0.0,linear,rbf,,0.0168603871805269,154.0,1.0,21.0,"[0.7466620206832886, 0.7394575476646423, 0.7327936291694641, 0.7265077829360962, 0.720256507396698, 0.7141929864883423, 0.707994818687439, 0.7018731832504272, 0.6955851316452026, 0.6893867254257202, 0.6832233667373657, 0.6768612861633301, 0.6707285046577454, 0.6644788384437561, 0.6581472754478455, 0.6517148017883301, 0.6453698873519897, 0.6390693783760071, 0.6326571106910706, 0.626178503036499, 0.6197094917297363, 0.6132881045341492, 0.6068026423454285, 0.6002684831619263, 0.5936976075172424, 0.5871632695198059]","[0.01354139856994152, 0.012380058877170086, 0.011948865838348866, 0.01171967014670372, 0.015029119327664375, 0.011507732793688774, 0.011612601578235626, 0.011465675197541714, 0.01123896986246109, 0.011256195604801178, 0.011879867874085903, 0.013226652517914772, 0.01119572389870882, 0.01162357535213232, 0.011389452032744884, 0.011123898439109325, 0.013075708411633968, 0.011048159562051296, 0.011204023845493793, 0.011168507859110832, 0.01090963464230299, 0.011131803505122662, 0.01128175389021635, 0.011067098006606102, 0.010990869253873825, 0.010913876816630363]",COMPLETE,0.0117196701467037,0.0112561956048011,,
44027.0,year,1.0,4.0,33828.3125,2022-11-02 19:46:23.011492,2022-11-02 19:52:47.114247,0 days 00:06:24.102755,414.0,3.0,2.0,0.0,linear,spectral,4.0,0.0844813541884333,273.0,1.0,,,,PRUNED,33828.3125,,,
44027.0,year,1.0,5.0,0.0207391455769538,2022-11-02 19:52:47.114613,2022-11-02 19:55:21.247912,0 days 00:02:34.133299,677.0,4.0,2.0,0.0,constant,spectral,2.0,0.0010841991227032,52.0,1.0,,,,PRUNED,0.0207391455769538,,,
44027.0,year,1.0,6.0,0.0137536004185676,2022-11-02 19:55:21.248255,2022-11-02 20:06:34.220087,0 days 00:11:12.971832,965.0,5.0,2.0,0.0,constant,matern0.5,,0.0092687021626193,232.0,1.0,3.0,"[0.7442650198936462, 0.7434374690055847, 0.7398174405097961, 0.7360090017318726, 0.7329662442207336, 0.7297487854957581, 0.7264217734336853, 0.7229783535003662]","[0.014864121563732624, 0.015004622749984264, 0.013753600418567657, 0.01500565093010664, 0.01501386146992445, 0.015008095651865005, 0.01500246487557888, 0.015015893615782261]",COMPLETE,,,,
44027.0,year,1.0,7.0,0.0114230597391724,2022-11-02 20:06:34.220670,2022-11-02 20:07:23.442756,0 days 00:00:49.222086,347.0,3.0,2.0,0.0,constant,matern0.5,,0.0079657191259144,22.0,1.0,,,,PRUNED,0.0114359958097338,0.0114230597391724,,
44027.0,year,1.0,8.0,0.0150166703388094,2022-11-02 20:07:23.443109,2022-11-02 20:12:46.277458,0 days 00:05:22.834349,898.0,3.0,2.0,0.0,constant,matern1.5,,0.0125805664634655,62.0,0.0,,,,PRUNED,0.0150166703388094,,,
44027.0,year,1.0,9.0,0.0130793619900941,2022-11-02 20:12:46.277827,2022-11-02 20:14:00.718280,0 days 00:01:14.440453,951.0,3.0,2.0,0.0,constant,matern0.5,,0.0016732952496434,70.0,0.0,,,,PRUNED,0.0130793619900941,,,
