dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
42225.0,diamonds,1.0,0.0,0.002471181214787,2022-11-01 08:00:16.283431,2022-11-01 08:23:18.929928,0 days 00:23:02.646497,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,192.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
42225.0,diamonds,1.0,1.0,0.0018961182213388,2022-11-01 08:23:18.930552,2022-11-01 08:32:35.739138,0 days 00:09:16.808586,2.0,1.0,1024.0,0.0012541075028042,52.0,5.0,1.0,125.0,,,COMPLETE,
42225.0,diamonds,1.0,2.0,0.0015041240258142,2022-11-01 08:32:35.739635,2022-11-01 08:57:36.195532,0 days 00:25:00.455897,2.0,1.0,512.0,0.0007408801136184,788.0,10.0,0.01,77.0,,,COMPLETE,
42225.0,diamonds,1.0,3.0,0.0016102483496069,2022-11-01 08:57:36.196046,2022-11-01 09:15:13.234913,0 days 00:17:37.038867,3.0,4.0,256.0,0.0013800244095585,91.0,9.0,1.0,50.0,,,COMPLETE,
42225.0,diamonds,1.0,4.0,0.0020812624716199,2022-11-01 09:15:13.235471,2022-11-01 09:40:16.858168,0 days 00:25:03.622697,3.0,1.0,1024.0,0.0006102140269505,52.0,9.0,0.2,251.0,,,COMPLETE,
42225.0,diamonds,1.0,5.0,0.0035759832244366,2022-11-01 09:40:16.858699,2022-11-01 09:40:41.365676,0 days 00:00:24.506977,1.0,2.0,1024.0,0.0543193751589784,156.0,9.0,0.01,2.0,,,COMPLETE,
42225.0,diamonds,1.0,6.0,0.0011718912865035,2022-11-01 09:40:41.366182,2022-11-01 09:47:38.920311,0 days 00:06:57.554129,1.0,4.0,256.0,0.0050254998523842,504.0,8.0,0.2,22.0,,,COMPLETE,
42225.0,diamonds,1.0,7.0,0.0019510035635903,2022-11-01 09:47:38.920810,2022-11-01 09:48:46.715845,0 days 00:01:07.795035,1.0,3.0,256.0,0.0855916672091999,105.0,5.0,0.05,2.0,,,COMPLETE,
42225.0,diamonds,1.0,8.0,0.0015158904716372,2022-11-01 09:48:46.716369,2022-11-01 10:13:54.042890,0 days 00:25:07.326521,3.0,2.0,256.0,0.0013709317737636,676.0,7.0,0.01,30.0,,,COMPLETE,
42225.0,diamonds,1.0,9.0,0.0018461659783497,2022-11-01 10:13:54.043452,2022-11-01 10:31:25.295892,0 days 00:17:31.252440,4.0,2.0,512.0,0.0018034597805534,63.0,6.0,1.0,82.0,,,COMPLETE,
