dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,elevators,1.0,0.0,0.0015024747699499,2022-10-26 23:27:55.109663,2022-10-26 23:41:57.539043,0 days 00:14:02.429380,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,352.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
216.0,elevators,1.0,1.0,0.0099665569141507,2022-10-26 23:41:57.539649,2022-10-26 23:42:27.433754,0 days 00:00:29.894105,1.0,1.0,256.0,0.0022440585444111,551.0,6.0,0.05,2.0,,,COMPLETE,
216.0,elevators,1.0,2.0,0.0063620288856327,2022-10-26 23:42:27.434318,2022-10-26 23:57:28.794846,0 days 00:15:01.360528,2.0,1.0,512.0,0.0002337232600717,519.0,5.0,0.2,260.0,,,COMPLETE,
216.0,elevators,1.0,3.0,0.0025005153147503,2022-10-26 23:57:28.795431,2022-10-26 23:59:30.899167,0 days 00:02:02.103736,3.0,1.0,512.0,0.0137980697826108,115.0,9.0,0.2,34.0,,,COMPLETE,
216.0,elevators,1.0,4.0,0.0030895767267793,2022-10-26 23:59:30.899767,2022-10-27 00:00:42.493849,0 days 00:01:11.594082,1.0,2.0,1024.0,0.0077829370648355,75.0,8.0,0.01,56.0,,,COMPLETE,
216.0,elevators,1.0,5.0,0.0068459308240562,2022-10-27 00:00:42.494415,2022-10-27 00:07:11.876195,0 days 00:06:29.381780,3.0,2.0,1024.0,0.0001579124928645,64.0,9.0,0.01,172.0,,,COMPLETE,
216.0,elevators,1.0,6.0,0.0016496619791723,2022-10-27 00:07:11.876761,2022-10-27 00:09:12.505984,0 days 00:02:00.629223,1.0,3.0,256.0,0.0162033914760988,57.0,5.0,0.2,36.0,,,COMPLETE,
216.0,elevators,1.0,7.0,0.0022938859183341,2022-10-27 00:09:12.506580,2022-10-27 00:24:16.010810,0 days 00:15:03.504230,2.0,2.0,256.0,0.0001927748760027,285.0,8.0,0.01,158.0,,,COMPLETE,
216.0,elevators,1.0,8.0,0.0012363099958747,2022-10-27 00:24:16.011436,2022-10-27 00:39:18.299492,0 days 00:15:02.288056,1.0,1.0,256.0,0.0008714427634766,792.0,5.0,1.0,168.0,,,COMPLETE,
216.0,elevators,1.0,9.0,0.0013268728507682,2022-10-27 00:39:18.300012,2022-10-27 00:48:08.107849,0 days 00:08:49.807837,1.0,2.0,1024.0,0.0005852237070817,252.0,9.0,0.05,400.0,,,COMPLETE,
216.0,elevators,1.0,10.0,0.0059132801834493,2022-10-27 00:48:08.108403,2022-10-27 00:49:54.049416,0 days 00:01:45.941013,2.0,5.0,256.0,0.0664690249714584,784.0,6.0,1.0,2.0,,,COMPLETE,
216.0,elevators,1.0,11.0,0.0076829355675727,2022-10-27 00:49:54.049958,2022-10-27 00:51:01.731999,0 days 00:01:07.682041,1.0,3.0,1024.0,0.0007834322895901,308.0,10.0,1.0,40.0,,,COMPLETE,
216.0,elevators,1.0,12.0,0.0018800179823301,2022-10-27 00:51:01.732521,2022-10-27 00:55:47.499471,0 days 00:04:45.766950,1.0,3.0,1024.0,0.0008624757400102,129.0,7.0,1.0,224.0,,,COMPLETE,
216.0,elevators,1.0,13.0,0.0058437183033674,2022-10-27 00:55:47.500059,2022-10-27 01:04:01.382820,0 days 00:08:13.882761,2.0,5.0,256.0,0.0029359765531675,370.0,10.0,0.05,50.0,,,COMPLETE,
216.0,elevators,1.0,14.0,0.0033250702545046,2022-10-27 01:04:01.383401,2022-10-27 01:19:02.383896,0 days 00:15:01.000495,4.0,2.0,512.0,0.0006392747825437,179.0,7.0,1.0,195.0,,,COMPLETE,
216.0,elevators,1.0,15.0,0.0014909817255102,2022-10-27 01:19:02.384529,2022-10-27 01:34:06.645011,0 days 00:15:04.260482,1.0,1.0,256.0,0.0003721618436654,776.0,9.0,0.05,156.0,,,COMPLETE,
216.0,elevators,1.0,16.0,0.007639123359695,2022-10-27 01:34:06.645527,2022-10-27 01:34:36.375785,0 days 00:00:29.730258,1.0,3.0,1024.0,0.0018137635426762,441.0,6.0,1.0,14.0,,,COMPLETE,
216.0,elevators,1.0,17.0,0.0013227410381659,2022-10-27 01:34:36.376321,2022-10-27 01:39:57.882809,0 days 00:05:21.506488,2.0,4.0,256.0,0.005420361535077,230.0,7.0,0.05,54.0,,,COMPLETE,
216.0,elevators,1.0,18.0,0.0059943838859908,2022-10-27 01:39:57.883385,2022-10-27 01:46:37.218011,0 days 00:06:39.334626,4.0,4.0,256.0,0.0050638506357334,124.0,5.0,1.0,48.0,,,COMPLETE,
