dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_BPV,1.0,0.0,0.0003792648603848,2022-10-19 16:56:09.788981,2022-10-19 17:01:58.098693,0 days 00:05:48.309712,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,142.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
216.0,k2204_BPV,1.0,1.0,6.027774452377344e-05,2022-10-19 17:01:58.099315,2022-10-19 17:06:28.274271,0 days 00:04:30.174956,1.0,2.0,256.0,0.0015449618657659,241.0,8.0,0.2,77.0,,,COMPLETE,
216.0,k2204_BPV,1.0,2.0,0.0258188085863366,2022-10-19 17:06:28.274885,2022-10-19 17:21:31.929902,0 days 00:15:03.655017,2.0,3.0,256.0,0.0001030705871787,461.0,10.0,1.0,104.0,,,COMPLETE,
216.0,k2204_BPV,1.0,3.0,5.487513044499792e-05,2022-10-19 17:21:31.930472,2022-10-19 17:24:57.282112,0 days 00:03:25.351640,1.0,2.0,512.0,0.0016785739759343,233.0,10.0,0.05,105.0,,,COMPLETE,
216.0,k2204_BPV,1.0,4.0,0.0035468854184728,2022-10-19 17:24:57.282683,2022-10-19 17:27:01.805502,0 days 00:02:04.522819,4.0,1.0,1024.0,0.0094015389756191,62.0,5.0,0.05,46.0,,,COMPLETE,
216.0,k2204_BPV,1.0,5.0,9.2473863332998e-05,2022-10-19 17:27:01.806031,2022-10-19 17:39:29.940400,0 days 00:12:28.134369,3.0,3.0,512.0,0.0004974724926888,85.0,7.0,0.01,241.0,,,COMPLETE,
216.0,k2204_BPV,1.0,6.0,0.0011922311023226,2022-10-19 17:39:29.940924,2022-10-19 17:40:55.617711,0 days 00:01:25.676787,1.0,1.0,1024.0,0.0136657670601495,124.0,6.0,1.0,64.0,,,COMPLETE,
216.0,k2204_BPV,1.0,7.0,0.000234813462157,2022-10-19 17:40:55.618256,2022-10-19 17:48:50.946070,0 days 00:07:55.327814,1.0,3.0,1024.0,0.0003290979177861,88.0,10.0,1.0,400.0,,,COMPLETE,
216.0,k2204_BPV,1.0,8.0,0.0001978776163014,2022-10-19 17:48:50.946664,2022-10-19 17:56:09.802127,0 days 00:07:18.855463,2.0,1.0,512.0,0.00163893127645,68.0,8.0,1.0,192.0,,,COMPLETE,
216.0,k2204_BPV,1.0,9.0,0.0009201157517964,2022-10-19 17:56:09.802748,2022-10-19 18:10:53.235069,0 days 00:14:43.432321,4.0,4.0,512.0,0.0298578440346487,563.0,7.0,0.01,76.0,,,COMPLETE,
