dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,0.0,0.0009563656058162,2022-10-23 15:57:48.231607,2022-10-23 16:00:33.747264,0 days 00:02:45.515657,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,147.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
216.0,k2204_PPV,1.0,1.0,7.080390787450597e-05,2022-10-23 16:00:33.747861,2022-10-23 16:04:31.256666,0 days 00:03:57.508805,1.0,2.0,512.0,0.0004273949436997,104.0,9.0,0.05,310.0,,,COMPLETE,
216.0,k2204_PPV,1.0,2.0,1.9737309230549727e-05,2022-10-23 16:04:31.257205,2022-10-23 16:09:47.256203,0 days 00:05:15.998998,1.0,2.0,512.0,0.0002523377771647,523.0,6.0,0.01,297.0,,,COMPLETE,
216.0,k2204_PPV,1.0,3.0,0.000709214786184,2022-10-23 16:09:47.256725,2022-10-23 16:10:14.021978,0 days 00:00:26.765253,1.0,3.0,256.0,0.0481284801181262,84.0,6.0,0.2,16.0,,,COMPLETE,
216.0,k2204_PPV,1.0,4.0,0.0009063060279004,2022-10-23 16:10:14.022510,2022-10-23 16:10:34.940515,0 days 00:00:20.918005,1.0,5.0,1024.0,0.006673584807869,300.0,10.0,0.05,24.0,,,COMPLETE,
216.0,k2204_PPV,1.0,5.0,6.839314482931513e-05,2022-10-23 16:10:34.941016,2022-10-23 16:13:43.931092,0 days 00:03:08.990076,1.0,1.0,512.0,0.0009518885536954,601.0,7.0,0.05,170.0,,,COMPLETE,
216.0,k2204_PPV,1.0,6.0,0.0043671771418303,2022-10-23 16:13:43.931658,2022-10-23 16:13:59.693210,0 days 00:00:15.761552,2.0,1.0,256.0,0.0591120247775124,90.0,6.0,0.01,4.0,,,COMPLETE,
216.0,k2204_PPV,1.0,7.0,0.0004823250492336,2022-10-23 16:13:59.693745,2022-10-23 16:16:02.366543,0 days 00:02:02.672798,2.0,1.0,512.0,0.0017411268408456,60.0,8.0,0.2,120.0,,,COMPLETE,
216.0,k2204_PPV,1.0,8.0,0.025095488759689,2022-10-23 16:16:02.367059,2022-10-23 16:17:53.931974,0 days 00:01:51.564915,2.0,2.0,256.0,0.0005257878551671,107.0,10.0,1.0,57.0,,,COMPLETE,
216.0,k2204_PPV,1.0,9.0,0.0095253497129306,2022-10-23 16:17:53.932475,2022-10-23 16:19:16.036232,0 days 00:01:22.103757,3.0,1.0,1024.0,0.0029812746626029,450.0,7.0,1.0,56.0,,,COMPLETE,
216.0,k2204_PPV,1.0,10.0,0.1752614453434944,2022-10-23 16:19:16.036770,2022-10-23 16:29:16.618368,0 days 00:10:00.581598,4.0,4.0,512.0,0.0001158071977332,772.0,5.0,0.01,95.0,,,COMPLETE,
216.0,k2204_PPV,1.0,11.0,0.0001938565110322,2022-10-23 16:29:16.618941,2022-10-23 16:38:36.353769,0 days 00:09:19.734828,1.0,2.0,512.0,0.0001098118621669,790.0,6.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,12.0,6.034447869751602e-05,2022-10-23 16:38:36.354323,2022-10-23 16:43:49.711644,0 days 00:05:13.357321,1.0,3.0,512.0,0.0002947280227906,455.0,7.0,0.05,292.0,,,COMPLETE,
216.0,k2204_PPV,1.0,13.0,6.032559940649662e-05,2022-10-23 16:43:49.712194,2022-10-23 16:47:37.420977,0 days 00:03:47.708783,1.0,3.0,512.0,0.0002756093371097,365.0,5.0,0.01,245.0,,,COMPLETE,
216.0,k2204_PPV,1.0,14.0,0.0008037618827074,2022-10-23 16:47:37.421529,2022-10-23 16:48:08.828825,0 days 00:00:31.407296,2.0,3.0,512.0,0.0080778650638273,269.0,5.0,0.01,20.0,,,COMPLETE,
216.0,k2204_PPV,1.0,15.0,5.004351078241598e-05,2022-10-23 16:48:08.829386,2022-10-23 16:52:12.361552,0 days 00:04:03.532166,1.0,4.0,512.0,0.0002084962266966,327.0,5.0,0.01,262.0,,,COMPLETE,
216.0,k2204_PPV,1.0,16.0,0.0352299036458134,2022-10-23 16:52:12.362103,2022-10-23 17:00:19.502835,0 days 00:08:07.140732,2.0,5.0,512.0,0.0001886113516293,168.0,6.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,17.0,0.0015556384751107,2022-10-23 17:00:19.503423,2022-10-23 17:01:00.799798,0 days 00:00:41.296375,3.0,4.0,512.0,0.0099090213371286,206.0,5.0,0.01,21.0,,,COMPLETE,
216.0,k2204_PPV,1.0,18.0,3.424249098316068e-05,2022-10-23 17:01:00.800343,2022-10-23 17:03:39.187879,0 days 00:02:38.387536,1.0,2.0,256.0,0.000745423725142,526.0,6.0,0.01,82.0,,,COMPLETE,
216.0,k2204_PPV,1.0,19.0,0.0005995722895022,2022-10-23 17:03:39.188424,2022-10-23 17:09:42.867219,0 days 00:06:03.678795,4.0,2.0,256.0,0.0009282651504359,525.0,6.0,1.0,68.0,,,COMPLETE,
216.0,k2204_PPV,1.0,20.0,0.0004068196431035,2022-10-23 17:09:42.867827,2022-10-23 17:12:47.646830,0 days 00:03:04.779003,2.0,2.0,256.0,0.002620820405959,602.0,8.0,0.2,49.0,,,COMPLETE,
216.0,k2204_PPV,1.0,21.0,4.1104589399765246e-05,2022-10-23 17:12:47.647418,2022-10-23 17:14:48.335239,0 days 00:02:00.687821,1.0,4.0,256.0,0.0005531063950756,331.0,5.0,0.01,72.0,,,COMPLETE,
216.0,k2204_PPV,1.0,22.0,5.4074344006949104e-05,2022-10-23 17:14:48.335829,2022-10-23 17:17:18.016804,0 days 00:02:29.680975,1.0,3.0,256.0,0.0006064437258411,414.0,6.0,0.01,84.0,,,COMPLETE,
216.0,k2204_PPV,1.0,23.0,8.842576426104642e-05,2022-10-23 17:17:18.017353,2022-10-23 17:18:33.969614,0 days 00:01:15.952261,1.0,4.0,256.0,0.0016040500472418,265.0,7.0,0.01,43.0,,,COMPLETE,
216.0,k2204_PPV,1.0,24.0,2.235135980299674e-05,2022-10-23 17:18:33.970158,2022-10-23 17:22:38.264365,0 days 00:04:04.294207,1.0,2.0,256.0,0.0004576998955058,619.0,5.0,0.01,124.0,,,COMPLETE,
216.0,k2204_PPV,1.0,25.0,2.385206698818365e-05,2022-10-23 17:22:38.264909,2022-10-23 17:27:19.264143,0 days 00:04:40.999234,1.0,2.0,256.0,0.0003442601922437,640.0,6.0,0.01,141.0,,,COMPLETE,
216.0,k2204_PPV,1.0,26.0,2.385568632234936e-05,2022-10-23 17:27:19.264678,2022-10-23 17:37:19.507641,0 days 00:10:00.242963,1.0,2.0,256.0,0.000167290660862,662.0,7.0,0.01,257.0,,,COMPLETE,
216.0,k2204_PPV,1.0,27.0,5.273645183478948e-05,2022-10-23 17:37:19.508229,2022-10-23 17:41:16.385122,0 days 00:03:56.876893,1.0,3.0,1024.0,0.0003256858086927,676.0,5.0,0.01,255.0,,,COMPLETE,
216.0,k2204_PPV,1.0,28.0,0.0002087556422338,2022-10-23 17:41:16.385663,2022-10-23 17:42:26.087067,0 days 00:01:09.701404,2.0,2.0,256.0,0.0016107623372565,157.0,6.0,0.2,32.0,,,COMPLETE,
216.0,k2204_PPV,1.0,29.0,0.0088321457151323,2022-10-23 17:42:26.087664,2022-10-23 17:43:28.062583,0 days 00:01:01.974919,3.0,3.0,1024.0,0.0319433838922257,518.0,9.0,1.0,19.0,,,COMPLETE,
216.0,k2204_PPV,1.0,30.0,0.000647597014904,2022-10-23 17:43:28.063142,2022-10-23 17:44:49.459868,0 days 00:01:21.396726,4.0,2.0,256.0,0.0046888953518962,218.0,5.0,0.01,21.0,,,COMPLETE,
216.0,k2204_PPV,1.0,31.0,1.9217289263906423e-05,2022-10-23 17:44:49.460459,2022-10-23 17:54:51.750300,0 days 00:10:02.289841,1.0,2.0,256.0,0.0001711816429863,663.0,7.0,0.01,258.0,,,COMPLETE,
216.0,k2204_PPV,1.0,32.0,4.299733518564608e-05,2022-10-23 17:54:51.750883,2022-10-23 18:00:23.559484,0 days 00:05:31.808601,1.0,2.0,256.0,0.0004032423067638,684.0,7.0,0.01,139.0,,,COMPLETE,
216.0,k2204_PPV,1.0,33.0,2.956621301564155e-05,2022-10-23 18:00:23.560037,2022-10-23 18:09:57.040325,0 days 00:09:33.480288,1.0,2.0,256.0,0.0001535294752886,390.0,6.0,0.01,353.0,,,COMPLETE,
216.0,k2204_PPV,1.0,34.0,0.0001951100857695,2022-10-23 18:09:57.040869,2022-10-23 18:19:58.479340,0 days 00:10:01.438471,1.0,3.0,256.0,0.0001004812141059,534.0,8.0,0.05,292.0,,,COMPLETE,
216.0,k2204_PPV,1.0,35.0,1.3507419225788908e-05,2022-10-23 18:19:58.479901,2022-10-23 18:29:04.672135,0 days 00:09:06.192234,1.0,2.0,256.0,0.0002406163756941,788.0,7.0,0.01,205.0,,,COMPLETE,
216.0,k2204_PPV,1.0,36.0,0.0003865457474603,2022-10-23 18:29:04.672672,2022-10-23 18:36:56.133329,0 days 00:07:51.460657,1.0,3.0,1024.0,0.0002393549090728,799.0,9.0,0.2,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,37.0,0.0051981884753331,2022-10-23 18:36:56.133879,2022-10-23 18:38:00.524306,0 days 00:01:04.390427,1.0,1.0,256.0,0.0152245427742759,466.0,7.0,0.05,34.0,,,COMPLETE,
216.0,k2204_PPV,1.0,38.0,7.67485544201918e-05,2022-10-23 18:38:00.524850,2022-10-23 18:39:15.410889,0 days 00:01:14.886039,1.0,2.0,256.0,0.0012000319141913,576.0,7.0,0.01,35.0,,,COMPLETE,
216.0,k2204_PPV,1.0,39.0,9.853730807662942e-05,2022-10-23 18:39:15.411467,2022-10-23 18:44:14.093516,0 days 00:04:58.682049,1.0,2.0,1024.0,0.0004692092652374,705.0,8.0,0.01,292.0,,,COMPLETE,
216.0,k2204_PPV,1.0,40.0,0.0145864095538854,2022-10-23 18:44:14.094057,2022-10-23 18:54:14.404105,0 days 00:10:00.310048,2.0,5.0,256.0,0.0001523702995249,60.0,7.0,1.0,332.0,,,COMPLETE,
216.0,k2204_PPV,1.0,41.0,2.604796645755414e-05,2022-10-23 18:54:14.404650,2022-10-23 18:58:27.489902,0 days 00:04:13.085252,1.0,2.0,256.0,0.0003342756293364,615.0,6.0,0.01,124.0,,,COMPLETE,
216.0,k2204_PPV,1.0,42.0,5.20630110258935e-05,2022-10-23 18:58:27.490458,2022-10-23 19:01:44.969617,0 days 00:03:17.479159,1.0,2.0,256.0,0.0007235711795876,716.0,6.0,0.01,82.0,,,COMPLETE,
216.0,k2204_PPV,1.0,43.0,3.872888464684365e-05,2022-10-23 19:01:44.970164,2022-10-23 19:05:48.941956,0 days 00:04:03.971792,1.0,2.0,256.0,0.0003812747947948,468.0,8.0,0.01,129.0,,,COMPLETE,
216.0,k2204_PPV,1.0,44.0,3.12925512844231e-05,2022-10-23 19:05:48.942555,2022-10-23 19:11:58.025548,0 days 00:06:09.082993,1.0,3.0,256.0,0.0002316129927445,582.0,6.0,0.01,181.0,,,COMPLETE,
216.0,k2204_PPV,1.0,45.0,0.009463395923376,2022-10-23 19:11:58.026131,2022-10-23 19:20:42.579353,0 days 00:08:44.553222,1.0,1.0,512.0,0.0001423622721967,784.0,7.0,0.05,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,46.0,2.9899757464590948e-05,2022-10-23 19:20:42.579912,2022-10-23 19:26:13.825377,0 days 00:05:31.245465,1.0,2.0,256.0,0.0002464852096709,123.0,6.0,0.01,249.0,,,COMPLETE,
216.0,k2204_PPV,1.0,47.0,0.000117370942462,2022-10-23 19:26:13.825917,2022-10-23 19:28:22.433174,0 days 00:02:08.607257,1.0,2.0,512.0,0.0011415738474463,645.0,9.0,0.2,91.0,,,COMPLETE,
216.0,k2204_PPV,1.0,48.0,3.115875369985588e-05,2022-10-23 19:28:22.433749,2022-10-23 19:31:31.287665,0 days 00:03:08.853916,1.0,3.0,256.0,0.0004507855567694,414.0,5.0,0.01,110.0,,,COMPLETE,
216.0,k2204_PPV,1.0,49.0,0.0059828975645359,2022-10-23 19:31:31.288216,2022-10-23 19:37:41.833114,0 days 00:06:10.544898,1.0,2.0,512.0,0.0001272827683311,356.0,7.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,50.0,0.0011462580878287,2022-10-23 19:37:41.833656,2022-10-23 19:37:58.059072,0 days 00:00:16.225416,1.0,3.0,256.0,0.0855336398754998,491.0,6.0,0.01,4.0,,,COMPLETE,
216.0,k2204_PPV,1.0,51.0,1.7832997400546446e-05,2022-10-23 19:37:58.059680,2022-10-23 19:47:30.759372,0 days 00:09:32.699692,1.0,2.0,256.0,0.0001739469200197,650.0,7.0,0.01,248.0,,,COMPLETE,
216.0,k2204_PPV,1.0,52.0,4.50467396149179e-05,2022-10-23 19:47:30.759980,2022-10-23 19:55:22.697208,0 days 00:07:51.937228,1.0,2.0,256.0,0.0001954396980352,50.0,7.0,0.01,379.0,,,COMPLETE,
216.0,k2204_PPV,1.0,53.0,2.00671993297874e-05,2022-10-23 19:55:22.697751,2022-10-23 20:01:10.842056,0 days 00:05:48.144305,1.0,2.0,256.0,0.0003040783324529,572.0,7.0,0.01,174.0,,,COMPLETE,
216.0,k2204_PPV,1.0,54.0,1.811934043871588e-05,2022-10-23 20:01:10.842665,2022-10-23 20:08:53.959980,0 days 00:07:43.117315,1.0,2.0,256.0,0.0002650104583156,574.0,8.0,0.01,224.0,,,COMPLETE,
216.0,k2204_PPV,1.0,55.0,0.0374461882747709,2022-10-23 20:08:53.960522,2022-10-23 20:18:55.969762,0 days 00:10:02.009240,3.0,2.0,512.0,0.0001011805486171,544.0,8.0,1.0,230.0,,,COMPLETE,
216.0,k2204_PPV,1.0,56.0,2.37191752603394e-05,2022-10-23 20:18:55.970329,2022-10-23 20:26:10.069048,0 days 00:07:14.098719,1.0,2.0,256.0,0.0002000874430899,430.0,8.0,0.01,244.0,,,COMPLETE,
216.0,k2204_PPV,1.0,57.0,6.36085715086665e-05,2022-10-23 20:26:10.069618,2022-10-23 20:29:08.006785,0 days 00:02:57.937167,1.0,3.0,512.0,0.0007408423976694,730.0,7.0,0.01,119.0,,,COMPLETE,
216.0,k2204_PPV,1.0,58.0,2.805503572744783e-05,2022-10-23 20:29:08.007374,2022-10-23 20:34:55.012807,0 days 00:05:47.005433,1.0,2.0,256.0,0.0002724926103669,275.0,8.0,0.01,218.0,,,COMPLETE,
216.0,k2204_PPV,1.0,59.0,0.0363666471093893,2022-10-23 20:34:55.013383,2022-10-23 20:44:56.677203,0 days 00:10:01.663820,2.0,2.0,1024.0,0.0001377707613786,799.0,10.0,0.01,256.0,,,COMPLETE,
216.0,k2204_PPV,1.0,60.0,4.4000054913340136e-05,2022-10-23 20:44:56.677760,2022-10-23 20:48:31.745043,0 days 00:03:35.067283,1.0,4.0,256.0,0.0006227837542604,573.0,7.0,0.05,97.0,,,COMPLETE,
216.0,k2204_PPV,1.0,61.0,2.638648584252224e-05,2022-10-23 20:48:31.745591,2022-10-23 20:56:37.154630,0 days 00:08:05.409039,1.0,2.0,256.0,0.0001966096548412,623.0,7.0,0.01,231.0,,,COMPLETE,
216.0,k2204_PPV,1.0,62.0,3.0117150345176924e-05,2022-10-23 20:56:37.155206,2022-10-23 21:01:18.328114,0 days 00:04:41.172908,1.0,2.0,256.0,0.0002893573135295,485.0,7.0,0.01,152.0,,,COMPLETE,
216.0,k2204_PPV,1.0,63.0,2.32184465858154e-05,2022-10-23 21:01:18.328662,2022-10-23 21:05:22.746610,0 days 00:04:04.417948,1.0,2.0,256.0,0.0004669330833793,702.0,8.0,0.01,96.0,,,COMPLETE,
216.0,k2204_PPV,1.0,64.0,2.4219015358539764e-05,2022-10-23 21:05:22.747171,2022-10-23 21:09:39.764594,0 days 00:04:17.017423,1.0,2.0,256.0,0.0002911787843819,571.0,7.0,0.01,127.0,,,COMPLETE,
216.0,k2204_PPV,1.0,65.0,2.6643786441127304e-05,2022-10-23 21:09:39.765148,2022-10-23 21:15:03.029074,0 days 00:05:23.263926,1.0,2.0,256.0,0.0003550200010193,509.0,8.0,0.01,168.0,,,COMPLETE,
216.0,k2204_PPV,1.0,66.0,5.09314031660324e-05,2022-10-23 21:15:03.029617,2022-10-23 21:24:44.308684,0 days 00:09:41.279067,1.0,2.0,256.0,0.0001767278976087,615.0,7.0,0.2,280.0,,,COMPLETE,
216.0,k2204_PPV,1.0,67.0,0.0011465963034424,2022-10-23 21:24:44.309236,2022-10-23 21:33:04.937689,0 days 00:08:20.628453,1.0,2.0,512.0,0.0001247791185085,742.0,5.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,68.0,0.0001649087498662,2022-10-23 21:33:04.938229,2022-10-23 21:41:29.760312,0 days 00:08:24.822083,1.0,3.0,256.0,0.0002367877671016,387.0,9.0,1.0,302.0,,,COMPLETE,
216.0,k2204_PPV,1.0,69.0,3.876145638059825e-05,2022-10-23 21:41:29.760861,2022-10-23 21:45:24.294624,0 days 00:03:54.533763,1.0,2.0,256.0,0.0005493552729625,664.0,8.0,0.01,94.0,,,COMPLETE,
216.0,k2204_PPV,1.0,70.0,0.0659198760986328,2022-10-23 21:45:24.295185,2022-10-23 21:55:24.769663,0 days 00:10:00.474478,4.0,5.0,256.0,0.000397962587341,436.0,6.0,0.01,92.0,,,COMPLETE,
216.0,k2204_PPV,1.0,71.0,4.235106825944968e-05,2022-10-23 21:55:24.770232,2022-10-23 21:56:43.872759,0 days 00:01:19.102527,1.0,2.0,256.0,0.002202556711499,706.0,8.0,0.01,27.0,,,COMPLETE,
216.0,k2204_PPV,1.0,72.0,0.0001265113778572,2022-10-23 21:56:43.873318,2022-10-23 22:06:44.541209,0 days 00:10:00.667891,1.0,2.0,256.0,0.0001606135099551,676.0,8.0,0.01,244.0,,,COMPLETE,
216.0,k2204_PPV,1.0,73.0,3.80034898626036e-05,2022-10-23 22:06:44.541757,2022-10-23 22:08:20.568972,0 days 00:01:36.027215,1.0,2.0,256.0,0.0040991189929029,555.0,8.0,0.01,43.0,,,COMPLETE,
216.0,k2204_PPV,1.0,74.0,6.686555570922792e-05,2022-10-23 22:08:20.569540,2022-10-23 22:13:06.560507,0 days 00:04:45.990967,1.0,2.0,1024.0,0.0004760817779445,730.0,7.0,0.01,287.0,,,COMPLETE,
216.0,k2204_PPV,1.0,75.0,7.20715734132682e-05,2022-10-23 22:13:06.561056,2022-10-23 22:15:45.839268,0 days 00:02:39.278212,1.0,2.0,256.0,0.0008436614200651,626.0,7.0,0.01,72.0,,,COMPLETE,
216.0,k2204_PPV,1.0,76.0,1.6560792573727667e-05,2022-10-23 22:15:45.839847,2022-10-23 22:23:29.004991,0 days 00:07:43.165144,1.0,2.0,256.0,0.0002152517462074,512.0,7.0,0.01,258.0,,,COMPLETE,
216.0,k2204_PPV,1.0,77.0,3.669593570521101e-05,2022-10-23 22:23:29.005553,2022-10-23 22:28:21.433593,0 days 00:04:52.428040,1.0,2.0,512.0,0.0003178600777854,513.0,7.0,0.01,269.0,,,COMPLETE,
216.0,k2204_PPV,1.0,78.0,3.537987868185155e-05,2022-10-23 22:28:21.434135,2022-10-23 22:34:14.237519,0 days 00:05:52.803384,1.0,2.0,256.0,0.0002399885777632,475.0,7.0,0.05,193.0,,,COMPLETE,
216.0,k2204_PPV,1.0,79.0,6.341343760141172e-05,2022-10-23 22:34:14.238077,2022-10-23 22:42:22.600121,0 days 00:08:08.362044,1.0,2.0,256.0,0.0001747099499042,237.0,6.0,0.2,337.0,,,COMPLETE,
216.0,k2204_PPV,1.0,80.0,2.309408773726318e-05,2022-10-23 22:42:22.600682,2022-10-23 22:52:19.778969,0 days 00:09:57.178287,1.0,3.0,256.0,0.0001221658965211,304.0,5.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,81.0,2.1514398213184904e-05,2022-10-23 22:52:19.779590,2022-10-23 23:02:21.387935,0 days 00:10:01.608345,1.0,3.0,256.0,0.0001099892926361,353.0,5.0,0.01,373.0,,,COMPLETE,
216.0,k2204_PPV,1.0,82.0,3.228174773539649e-05,2022-10-23 23:02:21.388483,2022-10-23 23:10:49.284523,0 days 00:08:27.896040,1.0,4.0,256.0,0.0001607504551895,594.0,5.0,0.01,247.0,,,COMPLETE,
216.0,k2204_PPV,1.0,83.0,3.595379530452192e-05,2022-10-23 23:10:49.285072,2022-10-23 23:15:58.610815,0 days 00:05:09.325743,1.0,3.0,256.0,0.0002168612801325,183.0,5.0,0.01,220.0,,,COMPLETE,
216.0,k2204_PPV,1.0,84.0,0.001572355726239,2022-10-23 23:15:58.611471,2022-10-23 23:25:59.914285,0 days 00:10:01.302814,1.0,2.0,256.0,0.0001089117780692,545.0,6.0,0.01,319.0,,,COMPLETE,
216.0,k2204_PPV,1.0,85.0,1.881638308987021e-05,2022-10-23 23:25:59.914836,2022-10-23 23:32:08.169526,0 days 00:06:08.254690,1.0,2.0,256.0,0.0002621336641835,353.0,5.0,0.01,234.0,,,COMPLETE,
216.0,k2204_PPV,1.0,86.0,2.5648325390648097e-05,2022-10-23 23:32:08.170084,2022-10-23 23:38:22.331297,0 days 00:06:14.161213,1.0,2.0,256.0,0.0002658826934992,341.0,5.0,0.01,239.0,,,COMPLETE,
216.0,k2204_PPV,1.0,87.0,0.0023196651891339,2022-10-23 23:38:22.331868,2022-10-23 23:45:17.309540,0 days 00:06:54.977672,1.0,4.0,512.0,0.0001301337621199,402.0,7.0,1.0,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,88.0,0.0006093421543482,2022-10-23 23:45:17.310094,2022-10-23 23:49:42.527399,0 days 00:04:25.217305,1.0,3.0,1024.0,0.0002032802688034,300.0,6.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,1.0,89.0,4.960197929904098e-05,2022-10-23 23:49:42.527954,2022-10-23 23:59:43.182259,0 days 00:10:00.654305,1.0,2.0,256.0,0.0001496039849826,452.0,7.0,0.01,337.0,,,COMPLETE,
216.0,k2204_PPV,1.0,90.0,0.0319341314898338,2022-10-23 23:59:43.182837,2022-10-24 00:09:45.848703,0 days 00:10:02.665866,3.0,5.0,256.0,0.0003681716786284,356.0,7.0,0.01,144.0,,,COMPLETE,
216.0,k2204_PPV,1.0,91.0,3.2013178497436456e-05,2022-10-24 00:09:45.849263,2022-10-24 00:15:40.679609,0 days 00:05:54.830346,1.0,2.0,256.0,0.000306057440437,660.0,5.0,0.01,165.0,,,COMPLETE,
216.0,k2204_PPV,1.0,92.0,2.364224837947404e-05,2022-10-24 00:15:40.680199,2022-10-24 00:24:30.479448,0 days 00:08:49.799249,1.0,2.0,256.0,0.0001776501869015,755.0,5.0,0.01,235.0,,,COMPLETE,
216.0,k2204_PPV,1.0,93.0,2.0354898424557177e-05,2022-10-24 00:24:30.480055,2022-10-24 00:29:31.414840,0 days 00:05:00.934785,1.0,2.0,256.0,0.000252783980745,515.0,5.0,0.01,167.0,,,COMPLETE,
216.0,k2204_PPV,1.0,94.0,0.0003987407690146,2022-10-24 00:29:31.415430,2022-10-24 00:29:58.530823,0 days 00:00:27.115393,1.0,2.0,256.0,0.022427980557797,493.0,5.0,0.01,11.0,,,COMPLETE,
216.0,k2204_PPV,1.0,95.0,2.2026121769158635e-05,2022-10-24 00:29:58.531424,2022-10-24 00:37:04.366905,0 days 00:07:05.835481,1.0,2.0,256.0,0.0002209395554954,384.0,5.0,0.01,274.0,,,COMPLETE,
216.0,k2204_PPV,1.0,96.0,2.000017957470845e-05,2022-10-24 00:37:04.367510,2022-10-24 00:41:49.189469,0 days 00:04:44.821959,1.0,2.0,256.0,0.0002723489961597,433.0,5.0,0.01,172.0,,,COMPLETE,
216.0,k2204_PPV,1.0,97.0,7.043002187856473e-05,2022-10-24 00:41:49.190039,2022-10-24 00:44:50.759246,0 days 00:03:01.569207,1.0,2.0,512.0,0.0006193465071916,429.0,6.0,0.05,183.0,,,COMPLETE,
216.0,k2204_PPV,1.0,98.0,2.3534980755357537e-05,2022-10-24 00:44:50.759831,2022-10-24 00:52:05.713939,0 days 00:07:14.954108,1.0,2.0,256.0,0.0002515880156366,517.0,7.0,0.01,226.0,,,COMPLETE,
216.0,k2204_PPV,1.0,99.0,7.489004929084331e-05,2022-10-24 00:52:05.714523,2022-10-24 00:57:02.648326,0 days 00:04:56.933803,1.0,2.0,256.0,0.0004173816545853,580.0,7.0,0.2,144.0,,,COMPLETE,
216.0,k2204_PPV,2.0,0.0,0.0075155616214033,2022-10-24 01:49:40.971766,2022-10-24 01:53:35.616816,0 days 00:03:54.645050,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,213.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
216.0,k2204_PPV,2.0,1.0,0.0005677342123817,2022-10-24 01:53:35.617365,2022-10-24 01:54:12.338221,0 days 00:00:36.720856,1.0,2.0,1024.0,0.0062271508458791,270.0,6.0,0.05,53.0,,,COMPLETE,
216.0,k2204_PPV,2.0,2.0,0.000793542159954,2022-10-24 01:54:12.338776,2022-10-24 01:55:22.468199,0 days 00:01:10.129423,2.0,1.0,256.0,0.0082335597191681,88.0,10.0,0.2,35.0,,,COMPLETE,
216.0,k2204_PPV,2.0,3.0,5.221188985160552e-05,2022-10-24 01:55:22.468772,2022-10-24 02:02:58.023543,0 days 00:07:35.554771,1.0,1.0,512.0,0.0003905531703505,729.0,9.0,0.01,344.0,,,COMPLETE,
216.0,k2204_PPV,2.0,4.0,0.047507326118648,2022-10-24 02:02:58.024080,2022-10-24 02:05:45.675796,0 days 00:02:47.651716,3.0,5.0,1024.0,0.0023537958942323,52.0,8.0,0.01,139.0,,,COMPLETE,
216.0,k2204_PPV,2.0,5.0,0.0006134115828899,2022-10-24 02:05:45.676364,2022-10-24 02:06:13.456632,0 days 00:00:27.780268,1.0,1.0,512.0,0.0101391645938534,59.0,5.0,0.01,34.0,,,COMPLETE,
216.0,k2204_PPV,2.0,6.0,0.0164799867197871,2022-10-24 02:06:13.457155,2022-10-24 02:10:41.346821,0 days 00:04:27.889666,1.0,1.0,1024.0,0.0002006792226212,318.0,10.0,0.01,400.0,,,COMPLETE,
216.0,k2204_PPV,2.0,7.0,0.0043176144235985,2022-10-24 02:10:41.347417,2022-10-24 02:15:20.916030,0 days 00:04:39.568613,1.0,1.0,512.0,0.0008318285092133,82.0,7.0,0.01,370.0,,,COMPLETE,
216.0,k2204_PPV,2.0,8.0,0.0079035743838176,2022-10-24 02:15:20.916577,2022-10-24 02:18:17.436458,0 days 00:02:56.519881,3.0,1.0,512.0,0.0022204850053233,622.0,9.0,1.0,67.0,,,COMPLETE,
216.0,k2204_PPV,2.0,9.0,0.0006113639537943,2022-10-24 02:18:17.436999,2022-10-24 02:19:45.423539,0 days 00:01:27.986540,1.0,1.0,1024.0,0.0019711105472191,246.0,9.0,1.0,140.0,,,COMPLETE,
216.0,k2204_PPV,2.0,10.0,0.012503704521805,2022-10-24 02:19:45.424091,2022-10-24 02:29:46.423666,0 days 00:10:00.999575,2.0,2.0,256.0,0.0001066946773271,781.0,7.0,0.2,135.0,,,COMPLETE,
