dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2
216.0,r1_08_BPV,1.0,0.0,0.0005636431160382,2022-10-30 08:38:07.062079,2022-10-30 08:48:26.765764,0 days 00:10:19.703685,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,10.0,,,COMPLETE,0.0005923022981733,0.0005636431160382,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}",
216.0,r1_08_BPV,1.0,1.0,0.000603991036769,2022-10-30 08:48:26.766334,2022-10-30 08:50:22.671241,0 days 00:01:55.904907,2.0,4.0,2048.0,0.0537321847716819,54.0,7.0,0.05,,,,PRUNED,0.000603991036769,,,
216.0,r1_08_BPV,1.0,2.0,0.0005696239531971,2022-10-30 08:50:22.671614,2022-10-30 09:00:18.667006,0 days 00:09:55.995392,2.0,1.0,1024.0,0.0009581147424819,55.0,6.0,1.0,19.0,,,COMPLETE,0.0007004583603702,,,
216.0,r1_08_BPV,1.0,3.0,0.0005634120316244,2022-10-30 09:00:18.667575,2022-10-30 09:03:49.777093,0 days 00:03:31.109518,1.0,2.0,2048.0,0.0190457083901267,95.0,6.0,0.05,10.0,,,COMPLETE,,,,
216.0,r1_08_BPV,1.0,4.0,0.0005638458533212,2022-10-30 09:03:49.777582,2022-10-30 09:20:53.868354,0 days 00:17:04.090772,3.0,1.0,512.0,0.0031515123575344,196.0,7.0,0.2,10.0,,,COMPLETE,0.0005638458533212,,,
216.0,r1_08_BPV,1.0,5.0,0.0195951797068119,2022-10-30 09:20:53.868851,2022-10-30 09:25:09.700905,0 days 00:04:15.832054,2.0,1.0,2048.0,0.0001171191643941,212.0,10.0,1.0,,,,PRUNED,0.0195951797068119,,,
216.0,r1_08_BPV,1.0,6.0,0.0020882056560367,2022-10-30 09:25:09.701279,2022-10-30 09:27:10.365750,0 days 00:02:00.664471,1.0,1.0,2048.0,0.0004453967814324,788.0,9.0,0.05,,,,PRUNED,0.0020882056560367,,,
216.0,r1_08_BPV,1.0,7.0,0.000644882384222,2022-10-30 09:27:10.366119,2022-10-30 09:29:17.101410,0 days 00:02:06.735291,1.0,3.0,1024.0,0.0017146849367287,604.0,6.0,1.0,,,,PRUNED,0.000644882384222,,,
216.0,r1_08_BPV,1.0,8.0,0.0006713151815347,2022-10-30 09:29:17.101839,2022-10-30 09:33:02.548672,0 days 00:03:45.446833,1.0,1.0,512.0,0.0004824916281388,635.0,10.0,0.05,,,,PRUNED,0.0006713151815347,,,
216.0,r1_08_BPV,1.0,9.0,0.0005660650203935,2022-10-30 09:33:02.549053,2022-10-30 09:40:55.091143,0 days 00:07:52.542090,2.0,1.0,1024.0,0.0079023200713668,618.0,7.0,0.01,,,,PRUNED,0.0006002646987326,0.0005660650203935,,
