dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,0.0,5.269030680210562e-06,2022-11-04 20:42:40.376009,2022-11-04 20:59:50.772220,0 days 00:17:10.396211,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,20.0,,,COMPLETE,,,,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
44027.0,r1_08_PPV,1.0,1.0,1.987324867513962e-05,2022-11-04 20:59:50.772759,2022-11-04 21:17:07.720012,0 days 00:17:16.947253,1.0,1.0,512.0,0.0007468774694297,105.0,6.0,0.2,29.0,,,COMPLETE,0.00015712538152,5.722135756514035e-05,2.3877020794316195e-05,
44027.0,r1_08_PPV,1.0,2.0,0.0017959104152396,2022-11-04 21:17:07.720540,2022-11-04 21:21:14.060280,0 days 00:04:06.339740,3.0,1.0,512.0,0.0002942967460085,107.0,8.0,0.2,,,,PRUNED,0.0017959104152396,,,
44027.0,r1_08_PPV,1.0,3.0,3.909739916707622e-06,2022-11-04 21:21:14.060722,2022-11-04 21:47:32.576565,0 days 00:26:18.515843,2.0,3.0,512.0,0.0003990538118178,217.0,9.0,0.05,22.0,,,COMPLETE,3.800479680649005e-05,3.119048778899014e-05,,
44027.0,r1_08_PPV,1.0,4.0,2.105865860357881e-05,2022-11-04 21:47:32.577133,2022-11-04 22:05:43.389650,0 days 00:18:10.812517,1.0,1.0,512.0,0.000852058753169,246.0,10.0,0.05,27.0,,,COMPLETE,7.677242683712393e-05,2.3892513127066195e-05,,
44027.0,r1_08_PPV,1.0,5.0,7.098620699252933e-05,2022-11-04 22:05:43.390238,2022-11-04 22:06:45.603649,0 days 00:01:02.213411,1.0,4.0,2048.0,0.0019731978416893,86.0,7.0,0.05,,,,PRUNED,7.098620699252933e-05,,,
44027.0,r1_08_PPV,1.0,6.0,0.0450420118868351,2022-11-04 22:06:45.604048,2022-11-04 22:08:47.798710,0 days 00:02:02.194662,1.0,1.0,1024.0,0.0001437249438028,534.0,9.0,0.01,,,,PRUNED,0.0450420118868351,,,
44027.0,r1_08_PPV,1.0,7.0,0.06077491492033,2022-11-04 22:08:47.799087,2022-11-04 22:09:49.346474,0 days 00:01:01.547387,1.0,1.0,2048.0,0.0003349401685128,159.0,9.0,0.05,,,,PRUNED,0.06077491492033,,,
44027.0,r1_08_PPV,1.0,8.0,0.0831801891326904,2022-11-04 22:09:49.346847,2022-11-04 22:12:44.593075,0 days 00:02:55.246228,2.0,1.0,2048.0,0.0001114039058983,780.0,8.0,0.2,,,,PRUNED,0.0831801891326904,,,
44027.0,r1_08_PPV,1.0,9.0,2.722631870710757e-05,2022-11-04 22:12:44.593463,2022-11-04 22:19:36.997217,0 days 00:06:52.403754,1.0,3.0,2048.0,0.000974990427539,139.0,5.0,0.05,,,,PRUNED,7.253678631968796e-05,2.722631870710757e-05,,
44027.0,r1_08_PPV,1.0,10.0,4.966563665220747e-06,2022-11-04 22:19:36.997580,2022-11-04 22:49:49.360716,0 days 00:30:12.363136,2.0,1.0,512.0,0.0001496288132126,531.0,9.0,0.01,18.0,,,COMPLETE,3.4466702345525846e-05,,,
