dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
287.0,wine_quality,1.0,0.0,0.0152434948831796,2022-10-25 17:22:13.601087,2022-10-25 17:27:09.395006,0 days 00:04:55.793919,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,261.0,,,COMPLETE,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
287.0,wine_quality,1.0,1.0,0.0153002766892313,2022-10-25 17:27:09.395645,2022-10-25 17:29:14.671813,0 days 00:02:05.276168,4.0,1.0,256.0,0.0207221350766132,78.0,8.0,0.2,34.0,,,COMPLETE,
287.0,wine_quality,1.0,2.0,0.015470684505999,2022-10-25 17:29:14.672386,2022-10-25 17:39:16.190168,0 days 00:10:01.517782,4.0,1.0,256.0,0.0004155804408273,61.0,5.0,0.01,201.0,,,COMPLETE,
287.0,wine_quality,1.0,3.0,0.0163493892177939,2022-10-25 17:39:16.190799,2022-10-25 17:49:17.651400,0 days 00:10:01.460601,2.0,3.0,512.0,0.0002269821251171,597.0,10.0,0.05,187.0,,,COMPLETE,
287.0,wine_quality,1.0,4.0,0.0157324220053851,2022-10-25 17:49:17.651969,2022-10-25 17:49:35.641399,0 days 00:00:17.989430,1.0,2.0,256.0,0.0540229977239231,149.0,8.0,0.2,7.0,,,COMPLETE,
287.0,wine_quality,1.0,5.0,0.0150303966365754,2022-10-25 17:49:35.641945,2022-10-25 17:52:31.709287,0 days 00:02:56.067342,2.0,1.0,256.0,0.0021301064913413,354.0,10.0,0.05,69.0,,,COMPLETE,
287.0,wine_quality,1.0,6.0,0.0170489316806197,2022-10-25 17:52:31.709833,2022-10-25 17:53:02.956096,0 days 00:00:31.246263,2.0,1.0,256.0,0.0669116497336013,51.0,8.0,1.0,12.0,,,COMPLETE,
287.0,wine_quality,1.0,7.0,0.0153457010164856,2022-10-25 17:53:02.956631,2022-10-25 17:54:22.643626,0 days 00:01:19.686995,2.0,4.0,512.0,0.0053233609885492,165.0,9.0,1.0,51.0,,,COMPLETE,
287.0,wine_quality,1.0,8.0,0.0151906870305538,2022-10-25 17:54:22.644205,2022-10-25 17:54:58.554700,0 days 00:00:35.910495,1.0,4.0,1024.0,0.0058426492445508,378.0,10.0,0.2,39.0,,,COMPLETE,
287.0,wine_quality,1.0,9.0,0.0174064040184021,2022-10-25 17:54:58.555275,2022-10-25 17:59:42.540982,0 days 00:04:43.985707,1.0,3.0,1024.0,0.0002890526821053,340.0,7.0,1.0,400.0,,,COMPLETE,
287.0,wine_quality,1.0,10.0,0.0146305779926478,2022-10-25 17:59:42.541532,2022-10-25 18:06:16.577610,0 days 00:06:34.036078,3.0,2.0,256.0,0.0019319873649603,720.0,6.0,0.05,66.0,,,COMPLETE,
287.0,wine_quality,1.0,11.0,0.0149204260669648,2022-10-25 18:06:16.578162,2022-10-25 18:11:22.531850,0 days 00:05:05.953688,3.0,2.0,256.0,0.0016285786047197,791.0,6.0,0.05,44.0,,,COMPLETE,
287.0,wine_quality,1.0,12.0,0.0152839580550789,2022-10-25 18:11:22.532419,2022-10-25 18:17:15.839022,0 days 00:05:53.306603,3.0,2.0,256.0,0.001269125264935,691.0,6.0,0.05,59.0,,,COMPLETE,
287.0,wine_quality,1.0,13.0,0.0236773695796728,2022-10-25 18:17:15.839688,2022-10-25 18:27:17.926054,0 days 00:10:02.086366,3.0,2.0,256.0,0.0001041885061517,774.0,6.0,0.05,93.0,,,COMPLETE,
287.0,wine_quality,1.0,14.0,0.014778149779886,2022-10-25 18:27:17.926617,2022-10-25 18:29:13.540774,0 days 00:01:55.614157,3.0,3.0,256.0,0.0115062251795087,481.0,5.0,0.01,22.0,,,COMPLETE,
287.0,wine_quality,1.0,15.0,0.0167388338595628,2022-10-25 18:29:13.541340,2022-10-25 18:30:56.941118,0 days 00:01:43.399778,4.0,5.0,512.0,0.0140977480603806,506.0,5.0,0.01,14.0,,,COMPLETE,
287.0,wine_quality,1.0,16.0,0.0151909794658422,2022-10-25 18:30:56.941675,2022-10-25 18:31:40.907355,0 days 00:00:43.965680,2.0,3.0,256.0,0.013731577197559,268.0,5.0,0.01,14.0,,,COMPLETE,
287.0,wine_quality,1.0,17.0,0.0142782074399292,2022-10-25 18:31:40.907954,2022-10-25 18:35:56.672884,0 days 00:04:15.764930,3.0,3.0,256.0,0.0059968292766231,474.0,7.0,0.01,48.0,,,COMPLETE,
287.0,wine_quality,1.0,18.0,0.0180688509717583,2022-10-25 18:35:56.673436,2022-10-25 18:37:36.659830,0 days 00:01:39.986394,4.0,5.0,512.0,0.0046164446931301,106.0,7.0,0.01,41.0,,,COMPLETE,
287.0,wine_quality,1.0,19.0,0.0167520977556705,2022-10-25 18:37:36.660428,2022-10-25 18:46:03.934720,0 days 00:08:27.274292,3.0,4.0,1024.0,0.000550501808014,235.0,7.0,0.01,321.0,,,COMPLETE,
287.0,wine_quality,1.0,20.0,0.0148994219489395,2022-10-25 18:46:03.935296,2022-10-25 18:48:31.044919,0 days 00:02:27.109623,2.0,2.0,256.0,0.0027637397486633,468.0,6.0,0.05,45.0,,,COMPLETE,
287.0,wine_quality,1.0,21.0,0.0147129432298243,2022-10-25 18:48:31.045471,2022-10-25 18:50:48.880330,0 days 00:02:17.834859,3.0,3.0,256.0,0.0079825463535348,504.0,5.0,0.01,27.0,,,COMPLETE,
287.0,wine_quality,1.0,22.0,0.0150887537747621,2022-10-25 18:50:48.880877,2022-10-25 18:53:36.246362,0 days 00:02:47.365485,3.0,3.0,256.0,0.0326879296376897,570.0,6.0,0.01,26.0,,,COMPLETE,
287.0,wine_quality,1.0,23.0,0.0177664328366518,2022-10-25 18:53:36.246938,2022-10-25 18:56:12.371894,0 days 00:02:36.124956,4.0,4.0,256.0,0.0056545423972911,418.0,7.0,0.01,20.0,,,COMPLETE,
287.0,wine_quality,1.0,24.0,0.0148923527449369,2022-10-25 18:56:12.372478,2022-10-25 18:57:39.057683,0 days 00:01:26.685205,3.0,3.0,256.0,0.0081802911685156,292.0,6.0,0.01,22.0,,,COMPLETE,
287.0,wine_quality,1.0,25.0,0.014897437300533,2022-10-25 18:57:39.058252,2022-10-25 19:02:29.989047,0 days 00:04:50.930795,4.0,2.0,256.0,0.00349394231693,625.0,5.0,0.01,45.0,,,COMPLETE,
287.0,wine_quality,1.0,26.0,0.0151722645387053,2022-10-25 19:02:29.989609,2022-10-25 19:07:32.666046,0 days 00:05:02.676437,2.0,4.0,256.0,0.0008374374946809,560.0,7.0,0.2,67.0,,,COMPLETE,
287.0,wine_quality,1.0,27.0,0.0209078676998615,2022-10-25 19:07:32.666622,2022-10-25 19:08:02.740106,0 days 00:00:30.073484,3.0,5.0,1024.0,0.0230103297416336,306.0,6.0,1.0,11.0,,,COMPLETE,
287.0,wine_quality,1.0,28.0,0.0145155126228928,2022-10-25 19:08:02.740663,2022-10-25 19:14:53.809041,0 days 00:06:51.068378,4.0,3.0,256.0,0.0023227919076025,435.0,9.0,0.01,58.0,,,COMPLETE,
287.0,wine_quality,1.0,29.0,0.0154639091342687,2022-10-25 19:14:53.809606,2022-10-25 19:22:58.981803,0 days 00:08:05.172197,4.0,2.0,512.0,0.0007674616892324,200.0,9.0,0.05,220.0,,,COMPLETE,
287.0,wine_quality,1.0,30.0,0.0176443047821521,2022-10-25 19:22:58.982389,2022-10-25 19:28:06.074830,0 days 00:05:07.092441,4.0,4.0,1024.0,0.0018975314733935,414.0,9.0,0.05,75.0,,,COMPLETE,
287.0,wine_quality,1.0,31.0,0.0147075857967138,2022-10-25 19:28:06.075421,2022-10-25 19:32:15.626408,0 days 00:04:09.550987,3.0,3.0,256.0,0.0031167227504435,463.0,9.0,0.01,41.0,,,COMPLETE,
287.0,wine_quality,1.0,32.0,0.0146127608604729,2022-10-25 19:32:15.626975,2022-10-25 19:37:35.208446,0 days 00:05:19.581471,3.0,3.0,256.0,0.0026738412523325,706.0,9.0,0.01,33.0,,,COMPLETE,
287.0,wine_quality,1.0,33.0,0.0147008970379829,2022-10-25 19:37:35.209020,2022-10-25 19:47:36.671478,0 days 00:10:01.462458,4.0,3.0,256.0,0.0014259334441646,692.0,8.0,0.01,53.0,,,COMPLETE,
287.0,wine_quality,1.0,34.0,0.0150173320434987,2022-10-25 19:47:36.672072,2022-10-25 19:57:41.159667,0 days 00:10:04.487595,4.0,4.0,256.0,0.00102091979043,659.0,9.0,0.01,45.0,,,COMPLETE,
287.0,wine_quality,1.0,35.0,0.0146392355673015,2022-10-25 19:57:41.160243,2022-10-25 20:05:37.421106,0 days 00:07:56.260863,4.0,2.0,256.0,0.002428607951461,768.0,8.0,0.2,52.0,,,COMPLETE,
287.0,wine_quality,1.0,36.0,0.0177632924169302,2022-10-25 20:05:37.421683,2022-10-25 20:10:36.366886,0 days 00:04:58.945203,3.0,5.0,256.0,0.0038201271942258,571.0,10.0,0.01,31.0,,,COMPLETE,
287.0,wine_quality,1.0,37.0,0.0144632114097476,2022-10-25 20:10:36.367470,2022-10-25 20:20:37.518506,0 days 00:10:01.151036,2.0,3.0,256.0,0.0005420644463332,406.0,8.0,0.01,189.0,,,COMPLETE,
287.0,wine_quality,1.0,38.0,0.0146875618956983,2022-10-25 20:20:37.519102,2022-10-25 20:26:49.452889,0 days 00:06:11.933787,2.0,4.0,256.0,0.0004283971763712,240.0,8.0,0.01,149.0,,,COMPLETE,
287.0,wine_quality,1.0,39.0,0.0176121303811669,2022-10-25 20:26:49.453432,2022-10-25 20:36:50.076722,0 days 00:10:00.623290,2.0,3.0,512.0,0.0001555713207009,356.0,9.0,0.01,309.0,,,COMPLETE,
287.0,wine_quality,1.0,40.0,0.0145338992588222,2022-10-25 20:36:50.077279,2022-10-25 20:42:40.186195,0 days 00:05:50.108916,2.0,5.0,256.0,0.000664702903647,118.0,8.0,0.01,157.0,,,COMPLETE,
287.0,wine_quality,1.0,41.0,0.0194488605484366,2022-10-25 20:42:40.186782,2022-10-25 20:44:31.595919,0 days 00:01:51.409137,2.0,5.0,256.0,0.0005950440746498,94.0,8.0,0.01,48.0,,,COMPLETE,
287.0,wine_quality,1.0,42.0,0.015109525527805,2022-10-25 20:44:31.596471,2022-10-25 20:50:06.969008,0 days 00:05:35.372537,2.0,4.0,256.0,0.0003621736305029,143.0,9.0,0.01,151.0,,,COMPLETE,
287.0,wine_quality,1.0,43.0,0.0149966832250356,2022-10-25 20:50:06.969550,2022-10-25 20:59:35.269335,0 days 00:09:28.299785,1.0,5.0,256.0,0.0002077195299019,68.0,8.0,0.01,400.0,,,COMPLETE,
287.0,wine_quality,1.0,44.0,0.0149603402242064,2022-10-25 20:59:35.269865,2022-10-25 21:04:40.845301,0 days 00:05:05.575436,2.0,1.0,256.0,0.0012190184042251,124.0,10.0,1.0,154.0,,,COMPLETE,
287.0,wine_quality,1.0,45.0,0.0149751030839979,2022-10-25 21:04:40.845852,2022-10-25 21:09:17.719277,0 days 00:04:36.873425,3.0,3.0,256.0,0.0007045967971757,173.0,8.0,0.01,91.0,,,COMPLETE,
287.0,wine_quality,1.0,46.0,0.0165760423988103,2022-10-25 21:09:17.719850,2022-10-25 21:10:18.666211,0 days 00:01:00.946361,2.0,4.0,1024.0,0.0082306723857109,411.0,9.0,0.2,28.0,,,COMPLETE,
287.0,wine_quality,1.0,47.0,0.0146997082047164,2022-10-25 21:10:18.666785,2022-10-25 21:18:04.378921,0 days 00:07:45.712136,1.0,3.0,256.0,0.0002954197615978,321.0,7.0,0.01,264.0,,,COMPLETE,
287.0,wine_quality,1.0,48.0,0.0187120167538523,2022-10-25 21:18:04.379523,2022-10-25 21:24:25.208218,0 days 00:06:20.828695,3.0,5.0,256.0,0.0004738793633849,85.0,8.0,0.01,135.0,,,COMPLETE,
287.0,wine_quality,1.0,49.0,0.0186300911009311,2022-10-25 21:24:25.208778,2022-10-25 21:30:40.116393,0 days 00:06:14.907615,4.0,4.0,512.0,0.0010638911150882,376.0,10.0,1.0,80.0,,,COMPLETE,
287.0,wine_quality,1.0,50.0,0.0206654351204633,2022-10-25 21:30:40.116978,2022-10-25 21:30:57.769800,0 days 00:00:17.652822,3.0,3.0,256.0,0.0958617158394846,59.0,9.0,0.01,2.0,,,COMPLETE,
287.0,wine_quality,1.0,51.0,0.0148087781853973,2022-10-25 21:30:57.770387,2022-10-25 21:36:11.479446,0 days 00:05:13.709059,3.0,2.0,256.0,0.0017755197112062,729.0,7.0,0.05,46.0,,,COMPLETE,
287.0,wine_quality,1.0,52.0,0.0152892125770449,2022-10-25 21:36:11.480006,2022-10-25 21:41:25.938652,0 days 00:05:14.458646,4.0,2.0,256.0,0.0022349738829933,624.0,8.0,0.05,42.0,,,COMPLETE,
287.0,wine_quality,1.0,53.0,0.0147570613771677,2022-10-25 21:41:25.939266,2022-10-25 21:45:18.329425,0 days 00:03:52.390159,3.0,3.0,256.0,0.003973909982355,518.0,7.0,0.05,38.0,,,COMPLETE,
287.0,wine_quality,1.0,54.0,0.0147152026183903,2022-10-25 21:45:18.330010,2022-10-25 21:48:47.051268,0 days 00:03:28.721258,2.0,2.0,256.0,0.0016090211408304,441.0,8.0,0.01,63.0,,,COMPLETE,
287.0,wine_quality,1.0,55.0,0.014367816504091,2022-10-25 21:48:47.051863,2022-10-25 21:55:52.572719,0 days 00:07:05.520856,3.0,3.0,256.0,0.0026683422292628,545.0,9.0,0.01,64.0,,,COMPLETE,
287.0,wine_quality,1.0,56.0,0.0152231212705373,2022-10-25 21:55:52.573368,2022-10-25 21:58:02.656945,0 days 00:02:10.083577,4.0,3.0,256.0,0.0068069365864641,528.0,9.0,0.01,12.0,,,COMPLETE,
287.0,wine_quality,1.0,57.0,0.0147439874708652,2022-10-25 21:58:02.657518,2022-10-25 22:00:04.321231,0 days 00:02:01.663713,3.0,4.0,256.0,0.0111461210126191,272.0,10.0,0.01,29.0,,,COMPLETE,
287.0,wine_quality,1.0,58.0,0.015731600113213,2022-10-25 22:00:04.321815,2022-10-25 22:02:28.949820,0 days 00:02:24.628005,3.0,3.0,1024.0,0.0048300017742396,379.0,9.0,0.01,60.0,,,COMPLETE,
287.0,wine_quality,1.0,59.0,0.0147461532615125,2022-10-25 22:02:28.950396,2022-10-25 22:04:03.861758,0 days 00:01:34.911362,2.0,5.0,256.0,0.0026217762439648,235.0,8.0,0.01,32.0,,,COMPLETE,
287.0,wine_quality,1.0,60.0,0.0186717361211776,2022-10-25 22:04:03.862347,2022-10-25 22:08:44.544901,0 days 00:04:40.682554,4.0,4.0,512.0,0.0008545764291314,114.0,9.0,0.2,122.0,,,COMPLETE,
287.0,wine_quality,1.0,61.0,0.0143644483759999,2022-10-25 22:08:44.545482,2022-10-25 22:14:30.668416,0 days 00:05:46.122934,3.0,3.0,256.0,0.0030098472360328,641.0,6.0,0.01,49.0,,,COMPLETE,
287.0,wine_quality,1.0,62.0,0.0148995015770196,2022-10-25 22:14:30.669003,2022-10-25 22:17:32.084758,0 days 00:03:01.415755,3.0,3.0,256.0,0.0033503443857799,612.0,7.0,0.01,24.0,,,COMPLETE,
287.0,wine_quality,1.0,63.0,0.0147267063148319,2022-10-25 22:17:32.085353,2022-10-25 22:21:43.025431,0 days 00:04:10.940078,3.0,3.0,256.0,0.0044517815246131,665.0,9.0,0.01,27.0,,,COMPLETE,
287.0,wine_quality,1.0,64.0,0.0143494489602744,2022-10-25 22:21:43.026017,2022-10-25 22:27:02.558362,0 days 00:05:19.532345,3.0,3.0,256.0,0.0056930795982261,556.0,8.0,0.01,48.0,,,COMPLETE,
287.0,wine_quality,1.0,65.0,0.0175029030069708,2022-10-25 22:27:02.558973,2022-10-25 22:32:51.966798,0 days 00:05:49.407825,4.0,4.0,256.0,0.0063070802224389,469.0,8.0,0.01,37.0,,,COMPLETE,
287.0,wine_quality,1.0,66.0,0.0152580314315855,2022-10-25 22:32:51.967410,2022-10-25 22:34:51.313326,0 days 00:01:59.345916,3.0,3.0,256.0,0.0104411536778154,559.0,7.0,0.01,16.0,,,COMPLETE,
287.0,wine_quality,1.0,67.0,0.0148152946494519,2022-10-25 22:34:51.313912,2022-10-25 22:37:31.641688,0 days 00:02:40.327776,2.0,3.0,256.0,0.0055158882509954,518.0,6.0,1.0,40.0,,,COMPLETE,
287.0,wine_quality,1.0,68.0,0.0153345596045255,2022-10-25 22:37:31.642244,2022-10-25 22:46:12.265515,0 days 00:08:40.623271,4.0,4.0,256.0,0.0013497536654974,429.0,8.0,0.01,68.0,,,COMPLETE,
287.0,wine_quality,1.0,69.0,0.0189530402421951,2022-10-25 22:46:12.266090,2022-10-25 22:47:20.461452,0 days 00:01:08.195362,3.0,4.0,1024.0,0.0095025187696383,484.0,7.0,0.01,18.0,,,COMPLETE,
287.0,wine_quality,1.0,70.0,0.0209190398454666,2022-10-25 22:47:20.462040,2022-10-25 22:49:00.647065,0 days 00:01:40.185025,4.0,5.0,256.0,0.0020634560443868,178.0,8.0,0.01,21.0,,,COMPLETE,
287.0,wine_quality,1.0,71.0,0.0143691287375986,2022-10-25 22:49:00.647688,2022-10-25 22:53:25.854401,0 days 00:04:25.206713,3.0,3.0,256.0,0.0029846890303996,604.0,9.0,0.01,35.0,,,COMPLETE,
287.0,wine_quality,1.0,72.0,0.0145273897796869,2022-10-25 22:53:25.854968,2022-10-25 22:58:15.312989,0 days 00:04:49.458021,3.0,3.0,256.0,0.0068299735647777,591.0,9.0,0.01,39.0,,,COMPLETE,
287.0,wine_quality,1.0,73.0,0.0145411505363881,2022-10-25 22:58:15.313577,2022-10-25 23:01:47.381649,0 days 00:03:32.068072,3.0,3.0,256.0,0.0070816075217656,597.0,9.0,0.01,27.0,,,COMPLETE,
287.0,wine_quality,1.0,74.0,0.0149684851057827,2022-10-25 23:01:47.382210,2022-10-25 23:06:08.926903,0 days 00:04:21.544693,3.0,3.0,256.0,0.0175313461030083,795.0,10.0,0.01,21.0,,,COMPLETE,
287.0,wine_quality,1.0,75.0,0.0149330864660441,2022-10-25 23:06:08.927493,2022-10-25 23:09:55.598230,0 days 00:03:46.670737,3.0,3.0,256.0,0.0030361178901683,546.0,9.0,0.01,32.0,,,COMPLETE,
287.0,wine_quality,1.0,76.0,0.0144708561711013,2022-10-25 23:09:55.598800,2022-10-25 23:19:57.697927,0 days 00:10:02.099127,4.0,3.0,256.0,0.0039484266627943,641.0,9.0,0.01,54.0,,,COMPLETE,
287.0,wine_quality,1.0,77.0,0.0152321215718984,2022-10-25 23:19:57.698515,2022-10-25 23:23:55.728116,0 days 00:03:58.029601,4.0,2.0,256.0,0.0040674444300873,655.0,6.0,0.01,30.0,,,COMPLETE,
287.0,wine_quality,1.0,78.0,0.017032858915627,2022-10-25 23:23:55.728690,2022-10-25 23:25:48.405378,0 days 00:01:52.676688,4.0,3.0,512.0,0.0150488137478534,447.0,9.0,0.2,18.0,,,COMPLETE,
287.0,wine_quality,1.0,79.0,0.018320569768548,2022-10-25 23:25:48.405955,2022-10-25 23:27:11.456912,0 days 00:01:23.050957,4.0,3.0,256.0,0.0288924763835215,386.0,5.0,0.01,13.0,,,COMPLETE,
287.0,wine_quality,1.0,80.0,0.0174434785731136,2022-10-25 23:27:11.457501,2022-10-25 23:35:41.931741,0 days 00:08:30.474240,4.0,4.0,256.0,0.0049486918867695,721.0,10.0,0.01,31.0,,,COMPLETE,
287.0,wine_quality,1.0,81.0,0.0151402964256703,2022-10-25 23:35:41.932318,2022-10-25 23:38:12.691122,0 days 00:02:30.758804,3.0,3.0,256.0,0.003526789383056,583.0,9.0,0.01,18.0,,,COMPLETE,
287.0,wine_quality,1.0,82.0,0.0149520905688405,2022-10-25 23:38:12.691775,2022-10-25 23:40:11.949032,0 days 00:01:59.257257,3.0,3.0,256.0,0.0087768385260793,502.0,9.0,0.01,15.0,,,COMPLETE,
287.0,wine_quality,1.0,83.0,0.0146743687801063,2022-10-25 23:40:11.949616,2022-10-25 23:44:04.096308,0 days 00:03:52.146692,3.0,3.0,256.0,0.0059014252096897,626.0,9.0,0.01,28.0,,,COMPLETE,
287.0,wine_quality,1.0,84.0,0.014591600280255,2022-10-25 23:44:04.096890,2022-10-25 23:50:42.284785,0 days 00:06:38.187895,4.0,3.0,256.0,0.0023901856715751,552.0,9.0,0.01,44.0,,,COMPLETE,
