dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_n_max,params_n_layers,params_n_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,params_initialize_fe,system_attrs_fixed_params
216.0,elevators,1.0,0.0,0.0103236571885645,2022-10-13 05:12:45.466138,2022-10-13 05:14:57.714049,0 days 00:02:12.247911,2.0,1.0,1024.0,4.0,2.0,1024.0,0.001,200.0,10.0,24.0,,,COMPLETE,True,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10}"
216.0,elevators,1.0,1.0,0.0103269631508737,2022-10-13 05:14:57.714660,2022-10-13 05:16:20.663565,0 days 00:01:22.948905,2.0,3.0,849.0,3.0,9.0,512.0,0.0127205045611378,51.0,11.0,4.0,,,COMPLETE,True,
216.0,elevators,1.0,2.0,0.0103197349235415,2022-10-13 05:16:20.664166,2022-10-13 05:18:03.794773,0 days 00:01:43.130607,1.0,1.0,887.0,2.0,12.0,256.0,0.0006111935677861,67.0,11.0,7.0,,,COMPLETE,False,
216.0,elevators,1.0,3.0,0.0103758005425333,2022-10-13 05:18:03.795344,2022-10-13 05:19:07.420910,0 days 00:01:03.625566,1.0,1.0,192.0,4.0,14.0,512.0,0.0165356803834734,234.0,7.0,3.0,,,COMPLETE,True,
216.0,elevators,1.0,4.0,0.0104980603791773,2022-10-13 05:19:07.421482,2022-10-13 05:20:11.104670,0 days 00:01:03.683188,1.0,2.0,265.0,2.0,3.0,1024.0,0.0194921964900559,466.0,10.0,6.0,,,COMPLETE,False,
216.0,elevators,1.0,5.0,0.0104207107797265,2022-10-13 05:20:11.105244,2022-10-13 05:20:58.278597,0 days 00:00:47.173353,1.0,1.0,928.0,5.0,5.0,1024.0,0.0115864336206925,226.0,15.0,3.0,,,COMPLETE,True,
216.0,elevators,1.0,6.0,0.0103346514515578,2022-10-13 05:20:58.279173,2022-10-13 05:25:23.268498,0 days 00:04:24.989325,1.0,2.0,698.0,3.0,3.0,256.0,0.0001289031242903,427.0,14.0,16.0,,,COMPLETE,True,
216.0,elevators,1.0,7.0,0.0103859659284353,2022-10-13 05:25:23.269087,2022-10-13 05:31:31.282837,0 days 00:06:08.013750,5.0,3.0,782.0,5.0,4.0,512.0,0.0884285060137365,240.0,14.0,12.0,,,COMPLETE,False,
216.0,elevators,1.0,8.0,0.0104683220852166,2022-10-13 05:31:31.283421,2022-10-13 05:32:38.859807,0 days 00:01:07.576386,1.0,2.0,641.0,5.0,3.0,1024.0,0.0028082730074452,848.0,2.0,3.0,,,COMPLETE,True,
216.0,elevators,1.0,9.0,0.0105020920746028,2022-10-13 05:32:38.860379,2022-10-13 05:33:55.389077,0 days 00:01:16.528698,4.0,2.0,424.0,3.0,14.0,1024.0,0.0766123927293711,75.0,10.0,3.0,,,COMPLETE,True,
216.0,elevators,1.0,10.0,0.0103217896539717,2022-10-13 05:33:55.389685,2022-10-13 05:42:25.425144,0 days 00:08:30.035459,3.0,4.0,454.0,2.0,8.0,256.0,0.0002403798317307,101.0,7.0,30.0,,,COMPLETE,False,
216.0,elevators,1.0,11.0,0.0103188576176762,2022-10-13 05:42:25.425741,2022-10-13 05:50:45.648183,0 days 00:08:20.222442,3.0,4.0,478.0,2.0,8.0,256.0,0.0002674589873713,101.0,5.0,30.0,,,COMPLETE,False,
216.0,elevators,1.0,12.0,0.0103236904833465,2022-10-13 05:50:45.648777,2022-10-13 05:55:44.356608,0 days 00:04:58.707831,3.0,4.0,551.0,2.0,19.0,256.0,0.0006117067517963,114.0,3.0,14.0,,,COMPLETE,False,
216.0,elevators,1.0,13.0,0.010322488611564,2022-10-13 05:55:44.357208,2022-10-13 06:00:19.188224,0 days 00:04:34.831016,2.0,1.0,403.0,2.0,9.0,256.0,0.0005691074301534,57.0,5.0,22.0,,,COMPLETE,False,
216.0,elevators,1.0,14.0,0.0103258441668003,2022-10-13 06:00:19.188829,2022-10-13 06:04:19.697074,0 days 00:04:00.508245,3.0,3.0,74.0,3.0,7.0,256.0,0.0020273459961579,125.0,5.0,9.0,,,COMPLETE,False,
216.0,elevators,1.0,15.0,0.0103211882524192,2022-10-13 06:04:19.697673,2022-10-13 06:11:25.231630,0 days 00:07:05.533957,4.0,1.0,604.0,2.0,12.0,256.0,0.0002564586456566,81.0,12.0,20.0,,,COMPLETE,False,
216.0,elevators,1.0,16.0,0.0103203195612877,2022-10-13 06:11:25.232210,2022-10-13 06:22:15.405836,0 days 00:10:50.173626,2.0,3.0,769.0,2.0,20.0,256.0,0.0001190218045112,151.0,7.0,53.0,,,COMPLETE,False,
216.0,elevators,1.0,17.0,0.0103250439278781,2022-10-13 06:22:15.406443,2022-10-13 06:25:32.496222,0 days 00:03:17.089779,3.0,4.0,280.0,4.0,6.0,256.0,0.0011874492323423,73.0,5.0,6.0,,,COMPLETE,False,
216.0,elevators,1.0,18.0,0.0103210755623877,2022-10-13 06:25:32.496814,2022-10-13 06:32:58.533790,0 days 00:07:26.036976,5.0,2.0,491.0,3.0,11.0,256.0,0.0003226604095924,143.0,8.0,13.0,,,COMPLETE,False,
216.0,elevators,1.0,19.0,0.010333314538002,2022-10-13 06:32:58.534420,2022-10-13 06:36:03.232103,0 days 00:03:04.697683,4.0,3.0,1010.0,2.0,5.0,256.0,0.00394645667187,90.0,12.0,2.0,,,COMPLETE,False,
216.0,elevators,1.0,20.0,0.0103299771435558,2022-10-13 06:36:03.232703,2022-10-13 06:37:56.828951,0 days 00:01:53.596248,2.0,1.0,874.0,3.0,15.0,512.0,0.0057741499676109,62.0,4.0,13.0,,,COMPLETE,False,
216.0,elevators,1.0,21.0,0.0103186704218387,2022-10-13 06:37:56.829568,2022-10-13 06:47:48.188507,0 days 00:09:51.358939,2.0,4.0,712.0,2.0,17.0,256.0,0.0001024289557802,162.0,7.0,45.0,,,COMPLETE,False,
216.0,elevators,1.0,22.0,0.0103203242179006,2022-10-13 06:47:48.189093,2022-10-13 07:02:31.879170,0 days 00:14:43.690077,3.0,4.0,707.0,2.0,11.0,256.0,0.0001142285465579,172.0,8.0,51.0,,,COMPLETE,False,
216.0,elevators,1.0,23.0,0.0103222399484366,2022-10-13 07:02:31.879745,2022-10-13 07:09:41.286280,0 days 00:07:09.406535,2.0,4.0,819.0,2.0,17.0,256.0,0.0004504798863629,285.0,6.0,24.0,,,COMPLETE,False,
216.0,elevators,1.0,24.0,0.0103204995393753,2022-10-13 07:09:41.286858,2022-10-13 07:18:35.118749,0 days 00:08:53.831891,4.0,3.0,928.0,2.0,11.0,256.0,0.0001924045644326,100.0,9.0,25.0,,,COMPLETE,False,
216.0,elevators,1.0,25.0,0.0103225011844187,2022-10-13 07:18:35.119329,2022-10-13 07:22:59.162064,0 days 00:04:24.042735,3.0,4.0,681.0,3.0,7.0,256.0,0.0009947060902036,126.0,3.0,11.0,,,COMPLETE,False,
216.0,elevators,1.0,26.0,0.0103222134057432,2022-10-13 07:22:59.162663,2022-10-13 07:29:28.123926,0 days 00:06:28.961263,2.0,3.0,549.0,2.0,16.0,256.0,0.0004311023156432,326.0,6.0,20.0,,,COMPLETE,False,
216.0,elevators,1.0,27.0,0.010319206630811,2022-10-13 07:29:28.124518,2022-10-13 07:40:21.049393,0 days 00:10:52.924875,5.0,2.0,760.0,3.0,13.0,256.0,0.0001593322630629,68.0,12.0,27.0,,,COMPLETE,False,
216.0,elevators,1.0,28.0,0.0103159111458808,2022-10-13 07:40:21.050050,2022-10-13 07:49:12.434455,0 days 00:08:51.384405,5.0,2.0,604.0,4.0,9.0,512.0,0.0001801393939821,174.0,9.0,36.0,,,COMPLETE,False,
216.0,elevators,1.0,29.0,0.0103237596340477,2022-10-13 07:49:12.435029,2022-10-13 07:53:42.793544,0 days 00:04:30.358515,4.0,4.0,340.0,4.0,2.0,512.0,0.001081880067504,160.0,9.0,16.0,,,COMPLETE,False,
216.0,elevators,1.0,30.0,0.0103197421412915,2022-10-13 07:53:42.794217,2022-10-13 08:10:26.657560,0 days 00:16:43.863343,5.0,3.0,601.0,4.0,4.0,512.0,0.0001050243034631,178.0,6.0,75.0,,,COMPLETE,False,
216.0,elevators,1.0,31.0,0.0103184287436306,2022-10-13 08:10:26.658278,2022-10-13 08:19:25.388983,0 days 00:08:58.730705,5.0,2.0,491.0,4.0,9.0,512.0,0.0001818043187454,105.0,13.0,40.0,,,COMPLETE,False,
216.0,elevators,1.0,32.0,0.0103201929014176,2022-10-13 08:19:25.389594,2022-10-13 08:25:38.564269,0 days 00:06:13.174675,4.0,2.0,506.0,4.0,8.0,512.0,0.0002973156684906,198.0,13.0,24.0,,,COMPLETE,False,
216.0,elevators,1.0,33.0,0.0103201982565224,2022-10-13 08:25:38.564859,2022-10-13 08:35:27.949617,0 days 00:09:49.384758,5.0,3.0,363.0,4.0,9.0,512.0,0.000176056135043,113.0,11.0,42.0,,,COMPLETE,False,
216.0,elevators,1.0,34.0,0.010315264808014,2022-10-13 08:35:27.950278,2022-10-13 08:43:49.591326,0 days 00:08:21.641048,4.0,2.0,594.0,5.0,9.0,512.0,0.0001975213339977,140.0,4.0,42.0,,,COMPLETE,True,
216.0,elevators,1.0,35.0,0.0103213663678616,2022-10-13 08:43:49.591936,2022-10-13 08:58:59.171992,0 days 00:15:09.580056,5.0,2.0,605.0,5.0,10.0,512.0,0.0001695464435723,277.0,2.0,64.0,,,COMPLETE,True,
216.0,elevators,1.0,36.0,0.0103213367983698,2022-10-13 08:58:59.172602,2022-10-13 09:04:06.078296,0 days 00:05:06.905694,4.0,2.0,664.0,5.0,6.0,512.0,0.000377673419326,199.0,9.0,19.0,,,COMPLETE,True,
216.0,elevators,1.0,37.0,0.010321378475055,2022-10-13 09:04:06.078884,2022-10-13 09:10:29.109178,0 days 00:06:23.030294,5.0,2.0,548.0,5.0,7.0,512.0,0.0008137657919734,131.0,10.0,24.0,,,COMPLETE,True,
216.0,elevators,1.0,38.0,0.0103239272721111,2022-10-13 09:10:29.109800,2022-10-13 09:30:41.905031,0 days 00:20:12.795231,4.0,2.0,747.0,4.0,5.0,512.0,0.0001026939863381,341.0,15.0,61.0,,,COMPLETE,True,
216.0,elevators,1.0,39.0,0.0103202012833207,2022-10-13 09:30:41.905662,2022-10-13 09:41:41.211155,0 days 00:10:59.305493,5.0,3.0,631.0,4.0,10.0,512.0,0.0002010846095301,183.0,7.0,43.0,,,COMPLETE,True,
216.0,elevators,1.0,40.0,0.0103828646242618,2022-10-13 09:41:41.211778,2022-10-13 09:46:43.319518,0 days 00:05:02.107740,4.0,2.0,813.0,5.0,13.0,512.0,0.037343459236437,657.0,4.0,3.0,,,COMPLETE,True,
216.0,elevators,1.0,41.0,0.0103202231694012,2022-10-13 09:46:43.320153,2022-10-13 09:52:47.668653,0 days 00:06:04.348500,3.0,4.0,485.0,4.0,8.0,1024.0,0.0002600889005974,88.0,4.0,74.0,,,COMPLETE,False,
216.0,elevators,1.0,42.0,0.0103198655415326,2022-10-13 09:52:47.669272,2022-10-13 09:58:38.192027,0 days 00:05:50.522755,3.0,3.0,443.0,5.0,9.0,512.0,0.000176847764528,103.0,3.0,39.0,,,COMPLETE,True,
216.0,elevators,1.0,43.0,0.0103184860199689,2022-10-13 09:58:38.192636,2022-10-13 10:11:29.443491,0 days 00:12:51.250855,4.0,4.0,585.0,3.0,6.0,512.0,0.0001413509564932,224.0,6.0,58.0,,,COMPLETE,False,
216.0,elevators,1.0,44.0,0.0103179847355932,2022-10-13 10:11:29.444096,2022-10-13 10:26:12.502232,0 days 00:14:43.058136,5.0,3.0,711.0,3.0,4.0,512.0,0.0001395702493193,234.0,8.0,51.0,,,COMPLETE,False,
216.0,elevators,1.0,45.0,0.0103236162103712,2022-10-13 10:26:12.502843,2022-10-13 10:41:02.346762,0 days 00:14:49.843919,5.0,3.0,577.0,3.0,4.0,512.0,0.0001390428230301,236.0,8.0,51.0,,,COMPLETE,True,
216.0,elevators,1.0,46.0,0.0103144913446158,2022-10-13 10:41:02.347404,2022-10-13 10:49:11.888565,0 days 00:08:09.541161,5.0,2.0,653.0,3.0,4.0,512.0,0.0006262488195791,423.0,11.0,11.0,,,COMPLETE,False,
216.0,elevators,1.0,47.0,0.0103218976873904,2022-10-13 10:49:11.889182,2022-10-13 10:58:57.907321,0 days 00:09:46.018139,5.0,2.0,646.0,3.0,4.0,512.0,0.0007275195413543,449.0,11.0,12.0,,,COMPLETE,False,
216.0,elevators,1.0,48.0,0.0103228674270212,2022-10-13 10:58:57.907898,2022-10-13 11:08:48.983127,0 days 00:09:51.075229,5.0,2.0,739.0,4.0,2.0,512.0,0.0018211539968747,566.0,13.0,7.0,,,COMPLETE,True,
216.0,elevators,1.0,49.0,0.0103266756050288,2022-10-13 11:08:48.983773,2022-10-13 11:15:24.944344,0 days 00:06:35.960571,4.0,2.0,515.0,3.0,3.0,1024.0,0.0004826057199403,391.0,10.0,23.0,,,COMPLETE,False,
216.0,elevators,1.0,50.0,0.0103238921146839,2022-10-13 11:15:24.944958,2022-10-13 11:36:06.995857,0 days 00:20:42.050899,5.0,2.0,675.0,4.0,3.0,512.0,0.0003467949621704,747.0,14.0,13.0,,,COMPLETE,False,
