dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_n_max,params_n_layers,params_n_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,params_initialize_fe,system_attrs_fixed_params
287.0,k2204_BPV,1.0,0.0,0.0017489529564045,2022-10-19 16:56:13.218535,2022-10-19 17:02:37.769800,0 days 00:06:24.551265,2.0,1.0,1024.0,4.0,2.0,1024.0,0.001,200.0,10.0,208.0,,,COMPLETE,False,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10}"
287.0,k2204_BPV,1.0,1.0,0.0006508311926154,2022-10-19 17:02:37.770417,2022-10-19 17:17:19.329354,0 days 00:14:41.558937,1.0,1.0,1012.0,2.0,4.0,256.0,0.0001243733412268,497.0,5.0,251.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,2.0,0.013324084051419,2022-10-19 17:17:19.329964,2022-10-19 17:20:27.957893,0 days 00:03:08.627929,1.0,4.0,233.0,3.0,3.0,1024.0,0.0004266818901171,95.0,4.0,154.0,,,COMPLETE,False,
287.0,k2204_BPV,1.0,3.0,0.0194999253726564,2022-10-19 17:20:27.958540,2022-10-19 17:35:33.710338,0 days 00:15:05.751798,2.0,4.0,282.0,5.0,2.0,256.0,0.0003943733534816,828.0,15.0,33.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,4.0,0.0511267203837633,2022-10-19 17:35:33.710951,2022-10-19 17:44:09.896449,0 days 00:08:36.185498,1.0,1.0,410.0,3.0,18.0,1024.0,0.0001864199474032,226.0,7.0,400.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,5.0,0.0020561630517477,2022-10-19 17:44:09.897076,2022-10-19 17:45:41.778009,0 days 00:01:31.880933,1.0,1.0,347.0,2.0,12.0,1024.0,0.007427091920606,143.0,13.0,66.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,6.0,0.2798243686556816,2022-10-19 17:45:41.778584,2022-10-19 18:00:46.977002,0 days 00:15:05.198418,5.0,4.0,238.0,4.0,3.0,1024.0,0.0002054040206544,535.0,10.0,65.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,7.0,0.0656444393098354,2022-10-19 18:00:46.977685,2022-10-19 18:10:25.526112,0 days 00:09:38.548427,3.0,1.0,571.0,4.0,7.0,1024.0,0.0005907827446064,804.0,10.0,83.0,,,COMPLETE,True,
287.0,k2204_BPV,1.0,8.0,0.0007242009742185,2022-10-19 18:10:25.526716,2022-10-19 18:13:25.084069,0 days 00:02:59.557353,2.0,1.0,276.0,5.0,2.0,512.0,0.012473547707152,275.0,8.0,57.0,,,COMPLETE,False,
287.0,k2204_BPV,1.0,9.0,0.0003462379827396,2022-10-19 18:13:25.084649,2022-10-19 18:16:42.314796,0 days 00:03:17.230147,1.0,1.0,633.0,3.0,6.0,512.0,0.0042495046531305,230.0,13.0,103.0,,,COMPLETE,False,
