dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_n_max,params_n_layers,params_n_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,params_initialize_fe,system_attrs_fixed_params
216.0,k2204_PPV,1.0,0.0,0.0167553701903671,2022-10-22 00:53:10.200706,2022-10-22 01:01:03.353227,0 days 00:07:53.152521,2.0,1.0,1024.0,4.0,2.0,1024.0,0.001,200.0,10.0,259.0,,,COMPLETE,False,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'n_gp_layers': 2, 'n_gp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_samples': 10}"
216.0,k2204_PPV,1.0,1.0,0.0656192293390631,2022-10-22 01:01:03.353857,2022-10-22 01:05:23.054033,0 days 00:04:19.700176,3.0,1.0,167.0,4.0,12.0,512.0,0.0003004545953725,144.0,8.0,79.0,,,COMPLETE,False,
216.0,k2204_PPV,1.0,2.0,0.0126036193687468,2022-10-22 01:05:23.054631,2022-10-22 01:06:06.051845,0 days 00:00:42.997214,1.0,1.0,900.0,5.0,5.0,1024.0,0.0825627968912924,289.0,14.0,16.0,,,COMPLETE,True,
216.0,k2204_PPV,1.0,3.0,0.0006869297067169,2022-10-22 01:06:06.052439,2022-10-22 01:21:06.754116,0 days 00:15:00.701677,5.0,3.0,365.0,2.0,2.0,512.0,0.0018351404462833,223.0,2.0,179.0,,,COMPLETE,True,
216.0,k2204_PPV,1.0,4.0,0.0656800232827663,2022-10-22 01:21:06.754718,2022-10-22 01:22:18.776064,0 days 00:01:12.021346,5.0,3.0,506.0,5.0,4.0,512.0,0.0093394879304865,160.0,5.0,6.0,,,COMPLETE,False,
216.0,k2204_PPV,1.0,5.0,0.0012490493099903,2022-10-22 01:22:18.776654,2022-10-22 01:29:48.467204,0 days 00:07:29.690550,1.0,2.0,630.0,5.0,4.0,1024.0,0.0009703019136959,897.0,12.0,115.0,,,COMPLETE,True,
216.0,k2204_PPV,1.0,6.0,0.0656351819634437,2022-10-22 01:29:48.467821,2022-10-22 01:37:57.759191,0 days 00:08:09.291370,4.0,2.0,709.0,3.0,18.0,256.0,0.0010892837561219,642.0,15.0,12.0,,,COMPLETE,True,
216.0,k2204_PPV,1.0,7.0,0.0005793415039079,2022-10-22 01:37:57.759787,2022-10-22 01:40:40.063510,0 days 00:02:42.303723,1.0,1.0,211.0,3.0,7.0,512.0,0.0179526468667324,372.0,12.0,68.0,,,COMPLETE,True,
216.0,k2204_PPV,1.0,8.0,0.0001807673488656,2022-10-22 01:40:40.064082,2022-10-22 01:54:09.177039,0 days 00:13:29.112957,3.0,1.0,885.0,2.0,9.0,512.0,0.0019352259047184,358.0,4.0,234.0,,,COMPLETE,False,
216.0,k2204_PPV,1.0,9.0,0.0039774816250428,2022-10-22 01:54:09.177624,2022-10-22 01:56:25.219475,0 days 00:02:16.041851,2.0,1.0,344.0,3.0,7.0,512.0,0.0424742351221787,836.0,7.0,15.0,,,COMPLETE,False,
216.0,k2204_PPV,1.0,10.0,0.0655997171998024,2022-10-22 01:56:25.220089,2022-10-22 02:06:03.744956,0 days 00:09:38.524867,3.0,4.0,805.0,2.0,12.0,256.0,0.0002347677367434,59.0,3.0,118.0,,,COMPLETE,False,
