dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
42225.0,diamonds,1.0,0.0,0.0012593362462563,2022-10-07 10:38:58.152837,2022-10-07 10:39:06.173483,0 days 00:00:08.020646,38.0,auto,24.0,4.0,109.0,COMPLETE
42225.0,diamonds,1.0,1.0,0.0019644291353541,2022-10-07 10:39:06.174337,2022-10-07 10:39:11.837063,0 days 00:00:05.662726,55.0,sqrt,24.0,8.0,301.0,COMPLETE
42225.0,diamonds,1.0,2.0,0.0017873050685925,2022-10-07 10:39:11.837880,2022-10-07 10:39:14.842559,0 days 00:00:03.004679,88.0,sqrt,18.0,6.0,143.0,COMPLETE
42225.0,diamonds,1.0,3.0,0.0013389549664304,2022-10-07 10:39:14.843329,2022-10-07 10:39:16.704918,0 days 00:00:01.861589,47.0,sqrt,6.0,3.0,73.0,COMPLETE
42225.0,diamonds,1.0,4.0,0.0020522844142647,2022-10-07 10:39:16.706144,2022-10-07 10:39:18.849475,0 days 00:00:02.143331,10.0,sqrt,11.0,8.0,133.0,COMPLETE
42225.0,diamonds,1.0,5.0,0.0018157749864534,2022-10-07 10:39:18.850255,2022-10-07 10:39:26.483153,0 days 00:00:07.632898,61.0,sqrt,19.0,15.0,398.0,COMPLETE
42225.0,diamonds,1.0,6.0,0.0013333757457858,2022-10-07 10:39:26.483954,2022-10-07 10:39:27.470955,0 days 00:00:00.987001,37.0,sqrt,6.0,11.0,42.0,COMPLETE
42225.0,diamonds,1.0,7.0,0.0010489797308597,2022-10-07 10:39:27.472090,2022-10-07 10:39:59.074619,0 days 00:00:31.602529,35.0,auto,12.0,24.0,391.0,COMPLETE
42225.0,diamonds,1.0,8.0,0.0019633886750595,2022-10-07 10:39:59.075501,2022-10-07 10:40:03.971030,0 days 00:00:04.895529,12.0,sqrt,19.0,25.0,284.0,COMPLETE
42225.0,diamonds,1.0,9.0,0.0031216693292175,2022-10-07 10:40:03.971812,2022-10-07 10:40:04.361325,0 days 00:00:00.389513,7.0,sqrt,9.0,7.0,22.0,COMPLETE
42225.0,diamonds,1.0,10.0,0.000977968743105,2022-10-07 10:40:04.362127,2022-10-07 10:40:05.738768,0 days 00:00:01.376641,21.0,auto,1.0,25.0,14.0,COMPLETE
42225.0,diamonds,1.0,11.0,0.0009888452685434,2022-10-07 10:40:05.739553,2022-10-07 10:40:06.848881,0 days 00:00:01.109328,21.0,auto,1.0,25.0,11.0,COMPLETE
42225.0,diamonds,1.0,12.0,0.0009768001077675,2022-10-07 10:40:06.849755,2022-10-07 10:40:07.938817,0 days 00:00:01.089062,20.0,auto,1.0,19.0,10.0,COMPLETE
42225.0,diamonds,1.0,13.0,0.0009772807925934,2022-10-07 10:40:07.939901,2022-10-07 10:40:09.024620,0 days 00:00:01.084719,19.0,auto,1.0,19.0,10.0,COMPLETE
42225.0,diamonds,1.0,14.0,0.0009924917344149,2022-10-07 10:40:09.025453,2022-10-07 10:40:11.144691,0 days 00:00:02.119238,15.0,auto,5.0,19.0,24.0,COMPLETE
42225.0,diamonds,1.0,15.0,0.0038992505988836,2022-10-07 10:40:11.145579,2022-10-07 10:40:11.658579,0 days 00:00:00.513000,5.0,auto,3.0,19.0,10.0,COMPLETE
42225.0,diamonds,1.0,16.0,0.0010188351070182,2022-10-07 10:40:11.659445,2022-10-07 10:40:13.512745,0 days 00:00:01.853300,16.0,auto,8.0,19.0,21.0,COMPLETE
42225.0,diamonds,1.0,17.0,0.0011031421405908,2022-10-07 10:40:13.513580,2022-10-07 10:40:16.843063,0 days 00:00:03.329483,27.0,auto,15.0,15.0,41.0,COMPLETE
42225.0,diamonds,1.0,18.0,0.0016916825344476,2022-10-07 10:40:16.843924,2022-10-07 10:40:17.751040,0 days 00:00:00.907116,9.0,auto,3.0,21.0,15.0,COMPLETE
42225.0,diamonds,1.0,19.0,0.001095022308074,2022-10-07 10:40:17.754937,2022-10-07 10:40:20.706270,0 days 00:00:02.951333,25.0,auto,15.0,12.0,36.0,COMPLETE
42225.0,diamonds,1.0,20.0,0.0009880901125385,2022-10-07 10:40:20.707044,2022-10-07 10:40:22.163019,0 days 00:00:01.455975,16.0,auto,3.0,22.0,16.0,COMPLETE
42225.0,diamonds,1.0,21.0,0.0009714645176717,2022-10-07 10:40:22.163699,2022-10-07 10:40:23.225647,0 days 00:00:01.061948,21.0,auto,1.0,17.0,10.0,COMPLETE
42225.0,diamonds,1.0,22.0,0.0009663248694526,2022-10-07 10:40:23.226463,2022-10-07 10:40:24.486205,0 days 00:00:01.259742,27.0,auto,1.0,17.0,12.0,COMPLETE
