dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
216.0,elevators,1.0,0.0,0.002449258788512,2022-10-07 09:17:08.910289,2022-10-07 09:17:10.935147,0 days 00:00:02.024858,15.0,sqrt,2.0,5.0,136.0,COMPLETE
216.0,elevators,1.0,1.0,0.0029869073924583,2022-10-07 09:17:10.935957,2022-10-07 09:17:11.264793,0 days 00:00:00.328836,6.0,auto,13.0,21.0,14.0,COMPLETE
216.0,elevators,1.0,2.0,0.0033480834034019,2022-10-07 09:17:11.265498,2022-10-07 09:17:11.719255,0 days 00:00:00.453757,8.0,sqrt,4.0,19.0,37.0,COMPLETE
216.0,elevators,1.0,3.0,0.0030274671069469,2022-10-07 09:17:11.720013,2022-10-07 09:17:13.632868,0 days 00:00:01.912855,6.0,auto,18.0,9.0,85.0,COMPLETE
216.0,elevators,1.0,4.0,0.0034346912998391,2022-10-07 09:17:13.633594,2022-10-07 09:17:13.822236,0 days 00:00:00.188642,40.0,sqrt,20.0,8.0,16.0,COMPLETE
216.0,elevators,1.0,5.0,0.0019369744107936,2022-10-07 09:17:13.823336,2022-10-07 09:17:14.997979,0 days 00:00:01.174643,14.0,auto,3.0,4.0,25.0,COMPLETE
216.0,elevators,1.0,6.0,0.0030015450002387,2022-10-07 09:17:14.999228,2022-10-07 09:17:15.257617,0 days 00:00:00.258389,17.0,sqrt,6.0,24.0,15.0,COMPLETE
216.0,elevators,1.0,7.0,0.0029490624814342,2022-10-07 09:17:15.258375,2022-10-07 09:17:16.358092,0 days 00:00:01.099717,6.0,auto,11.0,17.0,49.0,COMPLETE
216.0,elevators,1.0,8.0,0.0044086509852561,2022-10-07 09:17:16.358809,2022-10-07 09:17:17.180020,0 days 00:00:00.821211,5.0,sqrt,24.0,10.0,153.0,COMPLETE
216.0,elevators,1.0,9.0,0.002345356386888,2022-10-07 09:17:17.181013,2022-10-07 09:17:18.636364,0 days 00:00:01.455351,11.0,auto,15.0,21.0,48.0,COMPLETE
216.0,elevators,1.0,10.0,0.0020509036991228,2022-10-07 09:17:19.807518,2022-10-07 09:17:37.662938,0 days 00:00:17.855420,81.0,auto,8.0,2.0,498.0,COMPLETE
216.0,elevators,1.0,11.0,0.0020517308619152,2022-10-07 09:17:37.663761,2022-10-07 09:17:52.596531,0 days 00:00:14.932770,94.0,auto,8.0,2.0,410.0,COMPLETE
216.0,elevators,1.0,12.0,0.0017808388581047,2022-10-07 09:17:52.597288,2022-10-07 09:18:17.349893,0 days 00:00:24.752605,34.0,auto,1.0,2.0,452.0,COMPLETE
216.0,elevators,1.0,13.0,0.0019624280736604,2022-10-07 09:18:17.350912,2022-10-07 09:18:18.897783,0 days 00:00:01.546871,32.0,auto,2.0,13.0,28.0,COMPLETE
216.0,elevators,1.0,14.0,0.0018184979197209,2022-10-07 09:18:18.898506,2022-10-07 09:18:28.239713,0 days 00:00:09.341207,36.0,auto,1.0,6.0,172.0,COMPLETE
216.0,elevators,1.0,15.0,0.0020129350216866,2022-10-07 09:18:28.240678,2022-10-07 09:18:38.002686,0 days 00:00:09.762008,31.0,auto,7.0,6.0,262.0,COMPLETE
216.0,elevators,1.0,16.0,0.0019030479526231,2022-10-07 09:18:38.003474,2022-10-07 09:18:49.574143,0 days 00:00:11.570669,54.0,auto,1.0,13.0,255.0,COMPLETE
216.0,elevators,1.0,17.0,0.0021868287685403,2022-10-07 09:18:49.574910,2022-10-07 09:18:58.425753,0 days 00:00:08.850843,24.0,auto,11.0,7.0,263.0,COMPLETE
216.0,elevators,1.0,18.0,0.0019303302296723,2022-10-07 09:18:58.426490,2022-10-07 09:19:03.233407,0 days 00:00:04.806917,56.0,auto,5.0,4.0,118.0,COMPLETE
216.0,elevators,1.0,19.0,0.0021426711643841,2022-10-07 09:19:03.234339,2022-10-07 09:19:10.346985,0 days 00:00:07.112646,23.0,auto,10.0,11.0,202.0,COMPLETE
216.0,elevators,1.0,20.0,0.0019373514077347,2022-10-07 09:19:10.347965,2022-10-07 09:19:14.677107,0 days 00:00:04.329142,50.0,auto,1.0,15.0,90.0,COMPLETE
216.0,elevators,1.0,21.0,0.0018835008767636,2022-10-07 09:19:14.677841,2022-10-07 09:19:30.236966,0 days 00:00:15.559125,67.0,auto,1.0,12.0,342.0,COMPLETE
216.0,elevators,1.0,22.0,0.001875166188212,2022-10-07 09:19:30.237763,2022-10-07 09:19:45.371712,0 days 00:00:15.133949,70.0,auto,4.0,2.0,361.0,COMPLETE
216.0,elevators,1.0,23.0,0.0019197290235637,2022-10-07 09:19:45.372583,2022-10-07 09:19:59.511150,0 days 00:00:14.138567,37.0,auto,5.0,3.0,347.0,COMPLETE
216.0,elevators,1.0,24.0,0.0018768908862846,2022-10-07 09:19:59.511952,2022-10-07 09:20:07.715255,0 days 00:00:08.203303,42.0,auto,4.0,6.0,190.0,COMPLETE
216.0,elevators,1.0,25.0,0.0018262136463176,2022-10-07 09:20:07.716016,2022-10-07 09:20:23.064934,0 days 00:00:15.348918,71.0,auto,3.0,2.0,362.0,COMPLETE
216.0,elevators,1.0,26.0,0.0029072812439215,2022-10-07 09:20:23.065857,2022-10-07 09:20:27.430779,0 days 00:00:04.364922,29.0,sqrt,9.0,4.0,471.0,COMPLETE
216.0,elevators,1.0,27.0,0.0018398651273243,2022-10-07 09:20:27.431521,2022-10-07 09:20:36.815553,0 days 00:00:09.384032,98.0,auto,3.0,7.0,228.0,COMPLETE
216.0,elevators,1.0,28.0,0.0019738721732384,2022-10-07 09:20:36.816342,2022-10-07 09:20:42.552561,0 days 00:00:05.736219,66.0,auto,6.0,5.0,158.0,COMPLETE
216.0,elevators,1.0,29.0,0.0024161038295758,2022-10-07 09:20:42.553325,2022-10-07 09:20:43.959755,0 days 00:00:01.406430,20.0,sqrt,2.0,5.0,106.0,COMPLETE
216.0,elevators,1.0,30.0,0.0023260379563163,2022-10-07 09:20:43.960552,2022-10-07 09:20:53.439208,0 days 00:00:09.478656,46.0,auto,15.0,8.0,323.0,COMPLETE
216.0,elevators,1.0,31.0,0.0018444177037539,2022-10-07 09:20:53.439990,2022-10-07 09:21:02.016968,0 days 00:00:08.576978,97.0,auto,3.0,7.0,208.0,COMPLETE
216.0,elevators,1.0,32.0,0.0018312749445368,2022-10-07 09:21:02.017765,2022-10-07 09:21:12.052359,0 days 00:00:10.034594,80.0,auto,3.0,3.0,240.0,COMPLETE
216.0,elevators,1.0,33.0,0.0017859523404023,2022-10-07 09:21:12.053170,2022-10-07 09:21:26.401557,0 days 00:00:14.348387,60.0,auto,1.0,2.0,285.0,COMPLETE
