dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
216.0,k2204_BPV,1.0,0.0,5.495691805187567e-05,2022-10-01 15:40:55.680524,2022-10-01 15:40:58.601565,0 days 00:00:02.921041,17.0,auto,9.0,12.0,73.0,COMPLETE
216.0,k2204_BPV,1.0,1.0,8.971899030029793e-05,2022-10-01 15:40:58.602566,2022-10-01 15:40:59.613552,0 days 00:00:01.010986,35.0,auto,14.0,8.0,93.0,COMPLETE
216.0,k2204_BPV,1.0,2.0,3.697385121995667e-05,2022-10-01 15:40:59.635501,2022-10-01 15:41:00.536513,0 days 00:00:00.901012,20.0,auto,6.0,14.0,54.0,COMPLETE
216.0,k2204_BPV,1.0,3.0,0.0004524833082994,2022-10-01 15:41:00.538514,2022-10-01 15:41:00.638605,0 days 00:00:00.100091,6.0,sqrt,10.0,13.0,32.0,COMPLETE
216.0,k2204_BPV,1.0,4.0,0.0008084004065516,2022-10-01 15:41:00.640606,2022-10-01 15:41:01.082017,0 days 00:00:00.441411,5.0,sqrt,3.0,6.0,181.0,COMPLETE
216.0,k2204_BPV,1.0,5.0,0.000214935900665,2022-10-01 15:41:01.084016,2022-10-01 15:41:01.145070,0 days 00:00:00.061054,8.0,sqrt,15.0,6.0,18.0,COMPLETE
216.0,k2204_BPV,1.0,6.0,4.878361102943639e-05,2022-10-01 15:41:01.147074,2022-10-01 15:41:01.266271,0 days 00:00:00.119197,26.0,auto,8.0,5.0,25.0,COMPLETE
216.0,k2204_BPV,1.0,7.0,5.289991816327558e-05,2022-10-01 15:41:01.267271,2022-10-01 15:41:01.454441,0 days 00:00:00.187170,34.0,sqrt,7.0,4.0,62.0,COMPLETE
216.0,k2204_BPV,1.0,8.0,5.106432790455989e-05,2022-10-01 15:41:01.455443,2022-10-01 15:41:01.741701,0 days 00:00:00.286258,16.0,sqrt,8.0,12.0,98.0,COMPLETE
216.0,k2204_BPV,1.0,9.0,3.5694794952391147e-05,2022-10-01 15:41:01.743704,2022-10-01 15:41:01.823778,0 days 00:00:00.080074,9.0,auto,1.0,12.0,17.0,COMPLETE
216.0,k2204_BPV,1.0,10.0,2.995602283234464e-05,2022-10-01 15:41:01.824777,2022-10-01 15:41:01.911608,0 days 00:00:00.086831,10.0,auto,1.0,10.0,12.0,COMPLETE
216.0,k2204_BPV,1.0,11.0,3.128313862421601e-05,2022-10-01 15:41:01.913609,2022-10-01 15:41:01.976774,0 days 00:00:00.063165,10.0,auto,1.0,10.0,10.0,COMPLETE
216.0,k2204_BPV,1.0,12.0,2.745446695552537e-05,2022-10-01 15:41:01.977775,2022-10-01 15:41:02.041134,0 days 00:00:00.063359,11.0,auto,1.0,9.0,10.0,COMPLETE
216.0,k2204_BPV,1.0,13.0,2.6463756717366544e-05,2022-10-01 15:41:02.042135,2022-10-01 15:41:02.103695,0 days 00:00:00.061560,12.0,auto,4.0,9.0,10.0,COMPLETE
216.0,k2204_BPV,1.0,14.0,2.291093005590868e-05,2022-10-01 15:41:02.104696,2022-10-01 15:41:02.194777,0 days 00:00:00.090081,14.0,auto,4.0,8.0,17.0,COMPLETE
216.0,k2204_BPV,1.0,15.0,2.3957445544903137e-05,2022-10-01 15:41:02.195779,2022-10-01 15:41:02.293867,0 days 00:00:00.098088,48.0,auto,4.0,2.0,17.0,COMPLETE
216.0,k2204_BPV,1.0,16.0,2.774014743518043e-05,2022-10-01 15:41:02.294869,2022-10-01 15:41:02.455013,0 days 00:00:00.160144,46.0,auto,5.0,2.0,34.0,COMPLETE
216.0,k2204_BPV,1.0,17.0,7.35235452091899e-05,2022-10-01 15:41:02.456015,2022-10-01 15:41:02.548098,0 days 00:00:00.092083,24.0,auto,11.0,3.0,19.0,COMPLETE
216.0,k2204_BPV,1.0,18.0,1.887392062501616e-05,2022-10-01 15:41:02.550101,2022-10-01 15:41:02.642184,0 days 00:00:00.092083,14.0,auto,3.0,7.0,15.0,COMPLETE
216.0,k2204_BPV,1.0,19.0,2.1317412998392368e-05,2022-10-01 15:41:02.643184,2022-10-01 15:41:02.839362,0 days 00:00:00.196178,14.0,auto,4.0,7.0,38.0,COMPLETE
216.0,k2204_BPV,1.0,20.0,1.7133803698091802e-05,2022-10-01 15:41:02.840363,2022-10-01 15:41:03.059069,0 days 00:00:00.218706,21.0,auto,3.0,7.0,44.0,COMPLETE
216.0,k2204_BPV,1.0,21.0,1.776986173093178e-05,2022-10-01 15:41:03.061070,2022-10-01 15:41:03.253244,0 days 00:00:00.192174,20.0,auto,3.0,7.0,39.0,COMPLETE
216.0,k2204_BPV,1.0,22.0,1.543923859307611e-05,2022-10-01 15:41:03.254246,2022-10-01 15:41:03.509625,0 days 00:00:00.255379,21.0,auto,3.0,6.0,50.0,COMPLETE
216.0,k2204_BPV,1.0,23.0,3.4473367343096066e-05,2022-10-01 15:41:03.511617,2022-10-01 15:41:03.715088,0 days 00:00:00.203471,23.0,auto,6.0,5.0,48.0,COMPLETE
216.0,k2204_BPV,1.0,24.0,1.4037980874983468e-05,2022-10-01 15:41:03.716090,2022-10-01 15:41:03.851213,0 days 00:00:00.135123,29.0,auto,2.0,6.0,26.0,COMPLETE
216.0,k2204_BPV,1.0,25.0,1.111620506149044e-05,2022-10-01 15:41:03.853215,2022-10-01 15:41:03.988337,0 days 00:00:00.135122,30.0,auto,2.0,4.0,25.0,COMPLETE
216.0,k2204_BPV,1.0,26.0,1.935168381061392e-05,2022-10-01 15:41:03.989337,2022-10-01 15:41:04.090435,0 days 00:00:00.101098,31.0,sqrt,2.0,4.0,26.0,COMPLETE
216.0,k2204_BPV,1.0,27.0,1.1096616135218709e-05,2022-10-01 15:41:04.092437,2022-10-01 15:41:04.228578,0 days 00:00:00.136141,29.0,auto,2.0,4.0,24.0,COMPLETE
216.0,k2204_BPV,1.0,28.0,1.0899421115802452e-05,2022-10-01 15:41:04.229580,2022-10-01 15:41:04.357696,0 days 00:00:00.128116,29.0,auto,2.0,4.0,24.0,COMPLETE
216.0,k2204_BPV,1.0,29.0,8.013675889462988e-05,2022-10-01 15:41:04.358697,2022-10-01 15:41:04.448779,0 days 00:00:00.090082,37.0,auto,12.0,3.0,22.0,COMPLETE
216.0,k2204_BPV,1.0,30.0,3.8208006729694144e-05,2022-10-01 15:41:04.449780,2022-10-01 15:41:04.522847,0 days 00:00:00.073067,41.0,auto,6.0,4.0,14.0,COMPLETE
216.0,k2204_BPV,1.0,31.0,1.2158128637179294e-05,2022-10-01 15:41:04.524848,2022-10-01 15:41:04.667199,0 days 00:00:00.142351,29.0,auto,2.0,5.0,27.0,COMPLETE
216.0,k2204_BPV,1.0,32.0,1.076015115733419e-05,2022-10-01 15:41:04.669201,2022-10-01 15:41:04.825343,0 days 00:00:00.156142,28.0,auto,2.0,3.0,30.0,COMPLETE
216.0,k2204_BPV,1.0,33.0,2.950183564325128e-05,2022-10-01 15:41:04.826343,2022-10-01 15:41:04.926434,0 days 00:00:00.100091,40.0,auto,5.0,3.0,22.0,COMPLETE
216.0,k2204_BPV,1.0,34.0,1.0687628346422585e-05,2022-10-01 15:41:04.927435,2022-10-01 15:41:05.088581,0 days 00:00:00.161146,33.0,auto,2.0,2.0,31.0,COMPLETE
216.0,k2204_BPV,1.0,35.0,2.8846154502896514e-05,2022-10-01 15:41:05.090584,2022-10-01 15:41:05.227708,0 days 00:00:00.137124,18.0,auto,5.0,2.0,31.0,COMPLETE
