dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
216.0,k2204_PPV,1.0,0.0,0.0001833118360577,2022-10-01 15:43:42.076993,2022-10-01 15:43:42.192099,0 days 00:00:00.115106,7.0,sqrt,1.0,14.0,27.0,COMPLETE
216.0,k2204_PPV,1.0,1.0,0.0002112509209456,2022-10-01 15:43:42.194100,2022-10-01 15:43:42.323217,0 days 00:00:00.129117,5.0,auto,4.0,5.0,28.0,COMPLETE
216.0,k2204_PPV,1.0,2.0,5.746662886324003e-05,2022-10-01 15:43:42.325219,2022-10-01 15:43:42.543417,0 days 00:00:00.218198,49.0,sqrt,8.0,13.0,56.0,COMPLETE
216.0,k2204_PPV,1.0,3.0,0.0001042090145241,2022-10-01 15:43:42.546420,2022-10-01 15:43:42.637501,0 days 00:00:00.091081,12.0,sqrt,10.0,10.0,20.0,COMPLETE
216.0,k2204_PPV,1.0,4.0,7.724594248592384e-05,2022-10-01 15:43:42.638503,2022-10-01 15:43:42.737592,0 days 00:00:00.099089,25.0,sqrt,8.0,9.0,23.0,COMPLETE
216.0,k2204_PPV,1.0,5.0,0.0001806625310799,2022-10-01 15:43:42.739595,2022-10-01 15:43:42.872715,0 days 00:00:00.133120,7.0,sqrt,12.0,12.0,35.0,COMPLETE
216.0,k2204_PPV,1.0,6.0,5.75983436682841e-05,2022-10-01 15:43:42.873716,2022-10-01 15:43:43.088913,0 days 00:00:00.215197,20.0,auto,9.0,4.0,39.0,COMPLETE
216.0,k2204_PPV,1.0,7.0,3.408216533175758e-05,2022-10-01 15:43:43.090914,2022-10-01 15:43:43.416208,0 days 00:00:00.325294,32.0,sqrt,5.0,9.0,80.0,COMPLETE
216.0,k2204_PPV,1.0,8.0,3.386999042871652e-05,2022-10-01 15:43:43.418210,2022-10-01 15:43:43.553333,0 days 00:00:00.135123,8.0,auto,5.0,10.0,23.0,COMPLETE
216.0,k2204_PPV,1.0,9.0,3.760888031906209e-05,2022-10-01 15:43:43.555335,2022-10-01 15:43:43.713479,0 days 00:00:00.158144,12.0,sqrt,2.0,10.0,35.0,COMPLETE
216.0,k2204_PPV,1.0,10.0,0.0001006501886741,2022-10-01 15:43:43.715480,2022-10-01 15:43:43.795553,0 days 00:00:00.080073,9.0,auto,15.0,6.0,11.0,COMPLETE
216.0,k2204_PPV,1.0,11.0,2.6526844992411504e-05,2022-10-01 15:43:43.797555,2022-10-01 15:43:44.667345,0 days 00:00:00.869790,40.0,auto,5.0,7.0,147.0,COMPLETE
216.0,k2204_PPV,1.0,12.0,2.605444240136422e-05,2022-10-01 15:43:44.669345,2022-10-01 15:43:45.520118,0 days 00:00:00.850773,48.0,auto,5.0,2.0,145.0,COMPLETE
