dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
216.0,r1_08_BPV,1.0,0.0,0.0006390510580618,2022-10-16 10:29:31.213987,2022-10-16 10:29:34.950141,0 days 00:00:03.736154,49.0,sqrt,6.0,8.0,13.0,COMPLETE
216.0,r1_08_BPV,1.0,1.0,0.0010574665456413,2022-10-16 10:29:34.950728,2022-10-16 10:29:38.018752,0 days 00:00:03.068024,10.0,sqrt,8.0,9.0,16.0,COMPLETE
216.0,r1_08_BPV,1.0,2.0,0.0005891965488605,2022-10-16 10:29:38.019368,2022-10-16 10:30:17.394118,0 days 00:00:39.374750,22.0,auto,15.0,9.0,67.0,COMPLETE
216.0,r1_08_BPV,1.0,3.0,0.0013119039956297,2022-10-16 10:30:17.394701,2022-10-16 10:30:42.934925,0 days 00:00:25.540224,7.0,auto,9.0,2.0,67.0,COMPLETE
216.0,r1_08_BPV,1.0,4.0,0.0006304239270987,2022-10-16 10:30:42.935592,2022-10-16 10:30:49.251464,0 days 00:00:06.315872,42.0,auto,6.0,5.0,10.0,COMPLETE
216.0,r1_08_BPV,1.0,5.0,0.0006089076738763,2022-10-16 10:30:49.252313,2022-10-16 10:31:17.748460,0 days 00:00:28.496147,28.0,sqrt,10.0,3.0,109.0,COMPLETE
216.0,r1_08_BPV,1.0,6.0,0.0023775679059778,2022-10-16 10:31:17.749080,2022-10-16 10:32:03.212787,0 days 00:00:45.463707,5.0,auto,10.0,15.0,153.0,COMPLETE
216.0,r1_08_BPV,1.0,7.0,0.0006715142085868,2022-10-16 10:32:03.213501,2022-10-16 10:32:25.299193,0 days 00:00:22.085692,10.0,auto,13.0,11.0,46.0,COMPLETE
216.0,r1_08_BPV,1.0,8.0,0.0005928431398351,2022-10-16 10:32:25.300066,2022-10-16 10:33:34.281081,0 days 00:01:08.981015,14.0,auto,11.0,5.0,123.0,COMPLETE
216.0,r1_08_BPV,1.0,9.0,0.0015068639538543,2022-10-16 10:33:34.282086,2022-10-16 10:33:39.150227,0 days 00:00:04.868141,8.0,sqrt,12.0,12.0,26.0,COMPLETE
216.0,r1_08_BPV,1.0,10.0,0.0005891882566862,2022-10-16 10:33:39.150885,2022-10-16 10:34:17.541895,0 days 00:00:38.391010,23.0,auto,15.0,15.0,67.0,COMPLETE
216.0,r1_08_BPV,1.0,11.0,0.0005892205776965,2022-10-16 10:34:17.542553,2022-10-16 10:34:56.352126,0 days 00:00:38.809573,22.0,auto,15.0,15.0,69.0,COMPLETE
216.0,r1_08_BPV,1.0,12.0,0.000590731155018,2022-10-16 10:34:56.353243,2022-10-16 10:35:15.294419,0 days 00:00:18.941176,21.0,auto,15.0,12.0,32.0,COMPLETE
216.0,r1_08_BPV,1.0,13.0,0.0006474299076274,2022-10-16 10:35:15.295009,2022-10-16 10:36:03.544894,0 days 00:00:48.249885,33.0,auto,3.0,8.0,73.0,COMPLETE
