dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
44027.0,r1_08_PPV,1.0,0.0,6.869743791549816e-06,2022-11-04 16:07:45.808903,2022-11-04 16:08:06.105159,0 days 00:00:20.296256,10.0,auto,1.0,4.0,207.0,COMPLETE
44027.0,r1_08_PPV,1.0,1.0,5.341856853966745e-05,2022-11-04 16:08:06.106954,2022-11-04 16:08:07.621651,0 days 00:00:01.514697,29.0,sqrt,6.0,11.0,21.0,COMPLETE
44027.0,r1_08_PPV,1.0,2.0,0.0001181748420871,2022-11-04 16:08:07.622291,2022-11-04 16:08:11.253456,0 days 00:00:03.631165,13.0,sqrt,15.0,7.0,63.0,COMPLETE
44027.0,r1_08_PPV,1.0,3.0,1.3620534189735794e-07,2022-11-04 16:08:11.254341,2022-11-04 16:08:14.804827,0 days 00:00:03.550486,44.0,auto,13.0,9.0,28.0,COMPLETE
44027.0,r1_08_PPV,1.0,4.0,0.000179717718311,2022-11-04 16:08:14.805774,2022-11-04 16:08:16.525741,0 days 00:00:01.719967,5.0,auto,4.0,4.0,24.0,COMPLETE
44027.0,r1_08_PPV,1.0,5.0,0.0001091308619892,2022-11-04 16:08:16.526503,2022-11-04 16:08:21.948154,0 days 00:00:05.421651,6.0,auto,8.0,12.0,75.0,COMPLETE
44027.0,r1_08_PPV,1.0,6.0,6.777290616092172e-05,2022-11-04 16:08:21.950098,2022-11-04 16:08:23.620348,0 days 00:00:01.670250,48.0,sqrt,10.0,4.0,25.0,COMPLETE
44027.0,r1_08_PPV,1.0,7.0,0.0007472755429712,2022-11-04 16:08:23.621185,2022-11-04 16:08:33.693152,0 days 00:00:10.071967,9.0,sqrt,9.0,10.0,245.0,COMPLETE
44027.0,r1_08_PPV,1.0,8.0,4.936488471960476e-08,2022-11-04 16:08:33.694153,2022-11-04 16:08:46.779792,0 days 00:00:13.085639,22.0,auto,11.0,5.0,110.0,COMPLETE
44027.0,r1_08_PPV,1.0,9.0,4.472381301097145e-13,2022-11-04 16:08:46.780820,2022-11-04 16:08:48.431281,0 days 00:00:01.650461,27.0,auto,1.0,8.0,11.0,COMPLETE
44027.0,r1_08_PPV,1.0,10.0,7.335821603646088e-11,2022-11-04 16:08:48.432004,2022-11-04 16:08:50.115648,0 days 00:00:01.683644,23.0,auto,1.0,15.0,10.0,COMPLETE
44027.0,r1_08_PPV,1.0,11.0,3.9489389197332046e-11,2022-11-04 16:08:50.116626,2022-11-04 16:08:51.700084,0 days 00:00:01.583458,22.0,auto,1.0,15.0,10.0,COMPLETE
44027.0,r1_08_PPV,1.0,12.0,1.4035416956132798e-10,2022-11-04 16:08:51.700786,2022-11-04 16:08:53.326035,0 days 00:00:01.625249,18.0,auto,4.0,15.0,10.0,COMPLETE
44027.0,r1_08_PPV,1.0,13.0,4.018443974975597e-12,2022-11-04 16:08:53.326952,2022-11-04 16:08:55.431768,0 days 00:00:02.104816,31.0,auto,3.0,7.0,15.0,COMPLETE
44027.0,r1_08_PPV,1.0,14.0,3.8962829653610175e-11,2022-11-04 16:08:55.432820,2022-11-04 16:08:57.563981,0 days 00:00:02.131161,35.0,auto,4.0,7.0,16.0,COMPLETE
44027.0,r1_08_PPV,1.0,15.0,4.212524786569091e-12,2022-11-04 16:08:57.564714,2022-11-04 16:09:02.488884,0 days 00:00:04.924170,32.0,auto,3.0,2.0,40.0,COMPLETE
44027.0,r1_08_PPV,1.0,16.0,3.36292883049205e-09,2022-11-04 16:09:02.490525,2022-11-04 16:09:04.468858,0 days 00:00:01.978333,15.0,auto,6.0,7.0,15.0,COMPLETE
44027.0,r1_08_PPV,1.0,17.0,5.949388598577997e-10,2022-11-04 16:09:04.469452,2022-11-04 16:09:09.113403,0 days 00:00:04.643951,37.0,auto,6.0,8.0,37.0,COMPLETE
44027.0,r1_08_PPV,1.0,18.0,3.0574708682409355e-05,2022-11-04 16:09:09.114526,2022-11-04 16:09:10.322774,0 days 00:00:01.208248,27.0,sqrt,3.0,12.0,16.0,COMPLETE
44027.0,r1_08_PPV,1.0,19.0,8.652721855751845e-12,2022-11-04 16:09:10.323518,2022-11-04 16:09:12.301653,0 days 00:00:01.978135,18.0,auto,2.0,6.0,14.0,COMPLETE
44027.0,r1_08_PPV,1.0,20.0,1.8110652739044222e-09,2022-11-04 16:09:12.302442,2022-11-04 16:09:16.589771,0 days 00:00:04.287329,42.0,auto,7.0,9.0,33.0,COMPLETE
44027.0,r1_08_PPV,1.0,21.0,8.654307239757488e-12,2022-11-04 16:09:16.591733,2022-11-04 16:09:21.631212,0 days 00:00:05.039479,33.0,auto,3.0,2.0,39.0,COMPLETE
44027.0,r1_08_PPV,1.0,22.0,4.48006761324876e-12,2022-11-04 16:09:21.632225,2022-11-04 16:09:28.236645,0 days 00:00:06.604420,27.0,auto,3.0,2.0,51.0,COMPLETE
44027.0,r1_08_PPV,1.0,23.0,1.2564282741718407e-10,2022-11-04 16:09:28.237721,2022-11-04 16:09:41.535376,0 days 00:00:13.297655,32.0,auto,5.0,5.0,111.0,COMPLETE
44027.0,r1_08_PPV,1.0,24.0,1.2688648411396077e-12,2022-11-04 16:09:41.537155,2022-11-04 16:09:44.129049,0 days 00:00:02.591894,19.0,auto,2.0,3.0,19.0,COMPLETE
44027.0,r1_08_PPV,1.0,25.0,2.278169575757243e-12,2022-11-04 16:09:44.129931,2022-11-04 16:09:46.709482,0 days 00:00:02.579551,17.0,auto,1.0,8.0,19.0,COMPLETE
44027.0,r1_08_PPV,1.0,26.0,5.526527978102726e-08,2022-11-04 16:09:46.710614,2022-11-04 16:09:49.307616,0 days 00:00:02.597002,14.0,auto,1.0,10.0,20.0,COMPLETE
44027.0,r1_08_PPV,1.0,27.0,0.0006302038265063,2022-11-04 16:09:49.308317,2022-11-04 16:09:50.050436,0 days 00:00:00.742119,11.0,sqrt,2.0,13.0,12.0,COMPLETE
44027.0,r1_08_PPV,1.0,28.0,1.434052368753487e-12,2022-11-04 16:09:50.052085,2022-11-04 16:09:52.619264,0 days 00:00:02.567179,18.0,auto,2.0,8.0,18.0,COMPLETE
44027.0,r1_08_PPV,1.0,29.0,6.949695327095739e-06,2022-11-04 16:09:52.620020,2022-11-04 16:09:54.106841,0 days 00:00:01.486821,10.0,auto,2.0,3.0,12.0,COMPLETE
44027.0,r1_08_PPV,1.0,30.0,3.625976643872645e-05,2022-11-04 16:09:54.107938,2022-11-04 16:09:56.979594,0 days 00:00:02.871656,8.0,auto,5.0,5.0,29.0,COMPLETE
44027.0,r1_08_PPV,1.0,31.0,3.842906302225691e-13,2022-11-04 16:09:56.980375,2022-11-04 16:09:59.632883,0 days 00:00:02.652508,18.0,auto,1.0,8.0,19.0,COMPLETE
44027.0,r1_08_PPV,1.0,32.0,6.119963555010181e-13,2022-11-04 16:09:59.634535,2022-11-04 16:10:02.267770,0 days 00:00:02.633235,20.0,auto,2.0,10.0,19.0,COMPLETE
44027.0,r1_08_PPV,1.0,33.0,1.0167064777470842e-06,2022-11-04 16:10:02.268396,2022-11-04 16:10:04.859053,0 days 00:00:02.590657,12.0,auto,1.0,10.0,22.0,COMPLETE
44027.0,r1_08_PPV,1.0,34.0,7.10691833905725e-05,2022-11-04 16:10:04.859928,2022-11-04 16:10:05.792597,0 days 00:00:00.932669,21.0,sqrt,2.0,11.0,12.0,COMPLETE
44027.0,r1_08_PPV,1.0,35.0,1.8767993576691558e-10,2022-11-04 16:10:05.793399,2022-11-04 16:10:09.158717,0 days 00:00:03.365318,25.0,auto,5.0,6.0,24.0,COMPLETE
44027.0,r1_08_PPV,1.0,36.0,1.9098316510634978e-07,2022-11-04 16:10:09.159463,2022-11-04 16:10:12.890872,0 days 00:00:03.731409,16.0,auto,14.0,9.0,28.0,COMPLETE
44027.0,r1_08_PPV,1.0,37.0,6.888548736916659e-05,2022-11-04 16:10:12.892028,2022-11-04 16:10:13.870709,0 days 00:00:00.978681,20.0,sqrt,12.0,11.0,13.0,COMPLETE
44027.0,r1_08_PPV,1.0,38.0,2.710610274071162e-07,2022-11-04 16:10:13.871418,2022-11-04 16:10:20.818451,0 days 00:00:06.947033,13.0,auto,4.0,13.0,58.0,COMPLETE
44027.0,r1_08_PPV,1.0,39.0,6.240456516719211e-09,2022-11-04 16:10:20.820779,2022-11-04 16:10:23.417489,0 days 00:00:02.596710,25.0,auto,8.0,6.0,18.0,COMPLETE
44027.0,r1_08_PPV,1.0,40.0,4.14752736414206e-05,2022-11-04 16:10:23.418497,2022-11-04 16:10:28.476014,0 days 00:00:05.057517,15.0,sqrt,2.0,3.0,81.0,COMPLETE
44027.0,r1_08_PPV,1.0,41.0,1.8034903263409509e-12,2022-11-04 16:10:28.477064,2022-11-04 16:10:31.142336,0 days 00:00:02.665272,17.0,auto,2.0,8.0,18.0,COMPLETE
44027.0,r1_08_PPV,1.0,42.0,1.8819531752506687e-12,2022-11-04 16:10:31.143083,2022-11-04 16:10:34.091641,0 days 00:00:02.948558,19.0,auto,1.0,9.0,22.0,COMPLETE
44027.0,r1_08_PPV,1.0,43.0,5.86537140095009e-13,2022-11-04 16:10:34.092824,2022-11-04 16:10:37.702638,0 days 00:00:03.609814,23.0,auto,1.0,10.0,27.0,COMPLETE
44027.0,r1_08_PPV,1.0,44.0,4.434810637041834e-13,2022-11-04 16:10:37.703380,2022-11-04 16:10:41.547515,0 days 00:00:03.844135,24.0,auto,1.0,10.0,30.0,COMPLETE
44027.0,r1_08_PPV,1.0,45.0,1.9171382796624005e-13,2022-11-04 16:10:41.549510,2022-11-04 16:10:45.498103,0 days 00:00:03.948593,24.0,auto,1.0,10.0,30.0,COMPLETE
