dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
287.0,wine_quality,1.0,0.0,0.0140495761143566,2022-10-07 08:59:45.675093,2022-10-07 08:59:46.680155,0 days 00:00:01.005062,5.0,sqrt,3.0,11.0,80.0,COMPLETE
287.0,wine_quality,1.0,1.0,0.0125085664990627,2022-10-07 08:59:46.681124,2022-10-07 08:59:47.269623,0 days 00:00:00.588499,19.0,auto,13.0,16.0,25.0,COMPLETE
287.0,wine_quality,1.0,2.0,0.0132305838692277,2022-10-07 08:59:47.270827,2022-10-07 08:59:48.712096,0 days 00:00:01.441269,6.0,auto,2.0,22.0,181.0,COMPLETE
287.0,wine_quality,1.0,3.0,0.0121528079511898,2022-10-07 08:59:48.713054,2022-10-07 08:59:49.957460,0 days 00:00:01.244406,33.0,sqrt,10.0,14.0,285.0,COMPLETE
287.0,wine_quality,1.0,4.0,0.0119321186352482,2022-10-07 08:59:49.958431,2022-10-07 08:59:50.876182,0 days 00:00:00.917751,41.0,sqrt,8.0,17.0,203.0,COMPLETE
287.0,wine_quality,1.0,5.0,0.013181240686328,2022-10-07 08:59:50.876904,2022-10-07 08:59:51.025800,0 days 00:00:00.148896,32.0,sqrt,25.0,4.0,30.0,COMPLETE
287.0,wine_quality,1.0,6.0,0.0112925137866343,2022-10-07 08:59:51.026723,2022-10-07 08:59:51.828107,0 days 00:00:00.801384,21.0,auto,4.0,2.0,56.0,COMPLETE
287.0,wine_quality,1.0,7.0,0.0118917637501589,2022-10-07 08:59:51.828842,2022-10-07 08:59:52.111937,0 days 00:00:00.283095,38.0,auto,7.0,12.0,21.0,COMPLETE
287.0,wine_quality,1.0,8.0,0.0122880925053399,2022-10-07 08:59:52.112998,2022-10-07 08:59:52.333135,0 days 00:00:00.220137,11.0,auto,8.0,21.0,17.0,COMPLETE
287.0,wine_quality,1.0,9.0,0.0128662669268609,2022-10-07 08:59:52.334198,2022-10-07 08:59:54.397508,0 days 00:00:02.063310,49.0,auto,22.0,3.0,222.0,COMPLETE
287.0,wine_quality,1.0,10.0,0.0126232921038307,2022-10-07 08:59:54.398298,2022-10-07 08:59:55.117948,0 days 00:00:00.719650,90.0,auto,17.0,7.0,66.0,COMPLETE
287.0,wine_quality,1.0,11.0,0.0119622770974966,2022-10-07 08:59:55.119380,2022-10-07 08:59:55.295032,0 days 00:00:00.175652,18.0,auto,5.0,9.0,11.0,COMPLETE
287.0,wine_quality,1.0,12.0,0.0118345189647504,2022-10-07 08:59:55.295784,2022-10-07 08:59:56.051304,0 days 00:00:00.755520,72.0,auto,1.0,25.0,54.0,COMPLETE
287.0,wine_quality,1.0,13.0,0.0118386097687241,2022-10-07 08:59:56.052070,2022-10-07 08:59:56.933080,0 days 00:00:00.881010,81.0,auto,2.0,25.0,65.0,COMPLETE
287.0,wine_quality,1.0,14.0,0.0118207027350224,2022-10-07 08:59:56.933818,2022-10-07 08:59:57.592281,0 days 00:00:00.658463,12.0,auto,1.0,19.0,49.0,COMPLETE
287.0,wine_quality,1.0,15.0,0.0123330089753912,2022-10-07 08:59:57.593479,2022-10-07 08:59:58.732624,0 days 00:00:01.139145,11.0,auto,12.0,19.0,105.0,COMPLETE
287.0,wine_quality,1.0,16.0,0.0126293612810591,2022-10-07 08:59:58.733396,2022-10-07 08:59:59.158849,0 days 00:00:00.425453,12.0,auto,16.0,6.0,40.0,COMPLETE
287.0,wine_quality,1.0,17.0,0.0123188792186911,2022-10-07 08:59:59.159895,2022-10-07 09:00:00.470660,0 days 00:00:01.310765,8.0,auto,5.0,2.0,132.0,COMPLETE
287.0,wine_quality,1.0,18.0,0.0116066307834196,2022-10-07 09:00:00.471418,2022-10-07 09:00:02.590428,0 days 00:00:02.119010,25.0,sqrt,5.0,15.0,456.0,COMPLETE
287.0,wine_quality,1.0,19.0,0.0114064892743608,2022-10-07 09:00:02.591277,2022-10-07 09:00:04.825746,0 days 00:00:02.234469,26.0,sqrt,5.0,9.0,458.0,COMPLETE
287.0,wine_quality,1.0,20.0,0.0123746112600746,2022-10-07 09:00:04.826559,2022-10-07 09:00:06.406209,0 days 00:00:01.579650,57.0,sqrt,12.0,6.0,388.0,COMPLETE
287.0,wine_quality,1.0,21.0,0.0113919401190532,2022-10-07 09:00:06.407752,2022-10-07 09:00:08.556929,0 days 00:00:02.149177,24.0,sqrt,5.0,9.0,443.0,COMPLETE
287.0,wine_quality,1.0,22.0,0.0114247930143374,2022-10-07 09:00:08.557739,2022-10-07 09:00:10.204163,0 days 00:00:01.646424,24.0,sqrt,5.0,9.0,337.0,COMPLETE
287.0,wine_quality,1.0,23.0,0.0121906146756141,2022-10-07 09:00:10.205009,2022-10-07 09:00:10.778313,0 days 00:00:00.573304,16.0,sqrt,10.0,9.0,130.0,COMPLETE
287.0,wine_quality,1.0,24.0,0.0117531091793248,2022-10-07 09:00:10.779124,2022-10-07 09:00:12.942833,0 days 00:00:02.163709,23.0,sqrt,7.0,12.0,480.0,COMPLETE
287.0,wine_quality,1.0,25.0,0.0127487131398687,2022-10-07 09:00:12.944118,2022-10-07 09:00:13.997026,0 days 00:00:01.052908,29.0,sqrt,17.0,5.0,284.0,COMPLETE
287.0,wine_quality,1.0,26.0,0.0112731671374982,2022-10-07 09:00:13.997742,2022-10-07 09:00:14.788535,0 days 00:00:00.790793,15.0,sqrt,4.0,8.0,157.0,COMPLETE
287.0,wine_quality,1.0,27.0,0.0111618681574347,2022-10-07 09:00:14.790024,2022-10-07 09:00:15.281591,0 days 00:00:00.491567,14.0,sqrt,3.0,2.0,95.0,COMPLETE
287.0,wine_quality,1.0,28.0,0.0110490478548691,2022-10-07 09:00:15.283044,2022-10-07 09:00:15.761600,0 days 00:00:00.478556,15.0,sqrt,3.0,2.0,90.0,COMPLETE
287.0,wine_quality,1.0,29.0,0.0125118638045685,2022-10-07 09:00:15.762251,2022-10-07 09:00:16.103781,0 days 00:00:00.341530,8.0,sqrt,3.0,4.0,89.0,COMPLETE
287.0,wine_quality,1.0,30.0,0.011160712900574,2022-10-07 09:00:16.104457,2022-10-07 09:00:16.874656,0 days 00:00:00.770199,14.0,sqrt,3.0,2.0,153.0,COMPLETE
287.0,wine_quality,1.0,31.0,0.0111393726169913,2022-10-07 09:00:16.876011,2022-10-07 09:00:17.608988,0 days 00:00:00.732977,14.0,sqrt,3.0,2.0,138.0,COMPLETE
287.0,wine_quality,1.0,32.0,0.0109158808727866,2022-10-07 09:00:17.609658,2022-10-07 09:00:18.103274,0 days 00:00:00.493616,14.0,sqrt,2.0,2.0,93.0,COMPLETE
287.0,wine_quality,1.0,33.0,0.0124759637611315,2022-10-07 09:00:18.104718,2022-10-07 09:00:18.557671,0 days 00:00:00.452953,8.0,sqrt,1.0,4.0,116.0,COMPLETE
287.0,wine_quality,1.0,34.0,0.0135177585535562,2022-10-07 09:00:18.558322,2022-10-07 09:00:18.807916,0 days 00:00:00.249594,6.0,sqrt,7.0,5.0,79.0,COMPLETE
287.0,wine_quality,1.0,35.0,0.0107155216946738,2022-10-07 09:00:18.808556,2022-10-07 09:00:19.678163,0 days 00:00:00.869607,18.0,sqrt,2.0,3.0,158.0,COMPLETE
287.0,wine_quality,1.0,36.0,0.0106480257518862,2022-10-07 09:00:19.679498,2022-10-07 09:00:20.929660,0 days 00:00:01.250162,19.0,sqrt,2.0,3.0,226.0,COMPLETE
287.0,wine_quality,1.0,37.0,0.0120106355007879,2022-10-07 09:00:20.930336,2022-10-07 09:00:21.808585,0 days 00:00:00.878249,9.0,sqrt,1.0,4.0,216.0,COMPLETE
287.0,wine_quality,1.0,38.0,0.0120088586560109,2022-10-07 09:00:21.809259,2022-10-07 09:00:22.959271,0 days 00:00:01.150012,18.0,sqrt,9.0,6.0,271.0,COMPLETE
287.0,wine_quality,1.0,39.0,0.0106501400402757,2022-10-07 09:00:22.960845,2022-10-07 09:00:23.970613,0 days 00:00:01.009768,19.0,sqrt,2.0,3.0,179.0,COMPLETE
287.0,wine_quality,1.0,40.0,0.0129640896778212,2022-10-07 09:00:23.971289,2022-10-07 09:00:24.606305,0 days 00:00:00.635016,21.0,sqrt,21.0,11.0,172.0,COMPLETE
287.0,wine_quality,1.0,41.0,0.0107118029886018,2022-10-07 09:00:24.607612,2022-10-07 09:00:25.705032,0 days 00:00:01.097420,18.0,sqrt,2.0,3.0,196.0,COMPLETE
287.0,wine_quality,1.0,42.0,0.0106654143957713,2022-10-07 09:00:25.706258,2022-10-07 09:00:27.080824,0 days 00:00:01.374566,19.0,sqrt,2.0,4.0,242.0,COMPLETE
287.0,wine_quality,1.0,43.0,0.0115943757743281,2022-10-07 09:00:27.081521,2022-10-07 09:00:28.174549,0 days 00:00:01.093028,18.0,sqrt,6.0,4.0,235.0,COMPLETE
287.0,wine_quality,1.0,44.0,0.0108382001340884,2022-10-07 09:00:28.176121,2022-10-07 09:00:29.186778,0 days 00:00:01.010657,34.0,sqrt,2.0,7.0,185.0,COMPLETE
287.0,wine_quality,1.0,45.0,0.0112094184350347,2022-10-07 09:00:29.187900,2022-10-07 09:00:30.812143,0 days 00:00:01.624243,20.0,sqrt,4.0,3.0,325.0,COMPLETE
287.0,wine_quality,1.0,46.0,0.0107123648262326,2022-10-07 09:00:30.813241,2022-10-07 09:00:32.145893,0 days 00:00:01.332652,29.0,sqrt,2.0,5.0,242.0,COMPLETE
287.0,wine_quality,1.0,47.0,0.010540806776564,2022-10-07 09:00:32.146656,2022-10-07 09:00:33.604803,0 days 00:00:01.458147,38.0,sqrt,1.0,5.0,253.0,COMPLETE
287.0,wine_quality,1.0,48.0,0.0106508578469297,2022-10-07 09:00:33.605563,2022-10-07 09:00:35.661438,0 days 00:00:02.055875,50.0,sqrt,1.0,7.0,367.0,COMPLETE
287.0,wine_quality,1.0,49.0,0.0106975374692129,2022-10-07 09:00:35.662232,2022-10-07 09:00:37.675924,0 days 00:00:02.013692,57.0,sqrt,1.0,7.0,360.0,COMPLETE
287.0,wine_quality,1.0,50.0,0.0116070329790772,2022-10-07 09:00:37.676718,2022-10-07 09:00:39.093097,0 days 00:00:01.416379,43.0,sqrt,6.0,7.0,306.0,COMPLETE
287.0,wine_quality,1.0,51.0,0.0109554106417165,2022-10-07 09:00:39.093892,2022-10-07 09:00:41.161433,0 days 00:00:02.067541,60.0,sqrt,1.0,11.0,385.0,COMPLETE
287.0,wine_quality,1.0,52.0,0.0111720527104831,2022-10-07 09:00:41.162203,2022-10-07 09:00:43.081779,0 days 00:00:01.919576,52.0,sqrt,4.0,6.0,383.0,COMPLETE
287.0,wine_quality,1.0,53.0,0.0107352145149049,2022-10-07 09:00:43.082567,2022-10-07 09:00:44.529220,0 days 00:00:01.446653,42.0,sqrt,1.0,8.0,259.0,COMPLETE
287.0,wine_quality,1.0,54.0,0.0105229634333427,2022-10-07 09:00:44.530339,2022-10-07 09:00:46.528656,0 days 00:00:01.998317,36.0,sqrt,1.0,5.0,349.0,COMPLETE
287.0,wine_quality,1.0,55.0,0.0112094821943851,2022-10-07 09:00:46.529868,2022-10-07 09:00:48.070361,0 days 00:00:01.540493,37.0,sqrt,4.0,5.0,304.0,COMPLETE
