dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
44027.0,year,1.0,0.0,0.0107894767089835,2022-10-26 12:46:33.346524,2022-10-26 12:49:41.665937,0 days 00:03:08.319413,25.0,sqrt,7.0,9.0,65.0,COMPLETE
44027.0,year,1.0,1.0,0.0114192757318453,2022-10-26 12:49:41.666956,2022-10-26 12:51:58.203848,0 days 00:02:16.536892,12.0,sqrt,14.0,10.0,61.0,COMPLETE
44027.0,year,1.0,2.0,0.0111046366064212,2022-10-26 12:51:58.204818,2022-10-26 12:57:54.422725,0 days 00:05:56.217907,39.0,auto,2.0,14.0,12.0,COMPLETE
44027.0,year,1.0,3.0,0.0110077584454398,2022-10-26 12:57:54.423664,2022-10-26 12:58:58.295810,0 days 00:01:03.872146,22.0,sqrt,6.0,6.0,22.0,COMPLETE
44027.0,year,1.0,4.0,0.0115848371621874,2022-10-26 12:58:58.296723,2022-10-26 12:59:39.032978,0 days 00:00:40.736255,12.0,sqrt,6.0,10.0,18.0,COMPLETE
44027.0,year,1.0,5.0,0.0103452097665169,2022-10-26 12:59:39.033914,2022-10-26 13:45:08.025145,0 days 00:45:28.991231,33.0,auto,5.0,3.0,97.0,COMPLETE
44027.0,year,1.0,6.0,0.0106853396190574,2022-10-26 13:45:08.026144,2022-10-26 13:55:35.991806,0 days 00:10:27.965662,27.0,sqrt,5.0,10.0,211.0,COMPLETE
44027.0,year,1.0,7.0,0.0104777083375957,2022-10-26 13:55:35.992813,2022-10-26 14:11:34.916120,0 days 00:15:58.923307,25.0,auto,6.0,3.0,35.0,COMPLETE
44027.0,year,1.0,8.0,0.0111810406084748,2022-10-26 14:11:34.917196,2022-10-26 14:12:38.396005,0 days 00:01:03.478809,15.0,sqrt,13.0,6.0,25.0,COMPLETE
44027.0,year,1.0,9.0,0.0110513698929779,2022-10-26 14:12:38.396920,2022-10-26 14:17:57.249506,0 days 00:05:18.852586,10.0,auto,12.0,4.0,17.0,COMPLETE
44027.0,year,1.0,10.0,0.0119811724685361,2022-10-26 14:17:57.250468,2022-10-26 14:47:17.723548,0 days 00:29:20.473080,6.0,auto,1.0,2.0,139.0,COMPLETE
44027.0,year,1.0,11.0,0.0103183975091551,2022-10-26 14:47:17.724472,2022-10-26 15:32:13.604489,0 days 00:44:55.880017,43.0,auto,10.0,2.0,103.0,COMPLETE
44027.0,year,1.0,12.0,0.0103107112748467,2022-10-26 15:32:13.605447,2022-10-26 16:19:22.441803,0 days 00:47:08.836356,43.0,auto,10.0,5.0,108.0,COMPLETE
44027.0,year,1.0,13.0,0.0103156565500171,2022-10-26 16:19:22.442754,2022-10-26 17:09:28.910704,0 days 00:50:06.467950,48.0,auto,10.0,6.0,115.0,COMPLETE
44027.0,year,1.0,14.0,0.0102885088889642,2022-10-26 17:09:28.911655,2022-10-26 18:58:36.916399,0 days 01:49:08.004744,49.0,auto,10.0,6.0,250.0,COMPLETE
44027.0,year,1.0,15.0,0.0122962638769231,2022-10-26 18:58:36.917367,2022-10-26 19:41:16.997655,0 days 00:42:40.080288,5.0,auto,9.0,7.0,237.0,COMPLETE
44027.0,year,1.0,16.0,0.0103037930604368,2022-10-26 19:41:16.998599,2022-10-26 20:51:35.082827,0 days 01:10:18.084228,48.0,auto,11.0,12.0,163.0,COMPLETE
44027.0,year,1.0,17.0,0.0103486879379213,2022-10-26 20:51:35.083789,2022-10-26 22:07:22.495842,0 days 01:15:47.412053,19.0,auto,15.0,13.0,184.0,COMPLETE
