dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,0.0,0.0012180255725979,2022-10-28 12:37:53.311737,2022-10-28 12:39:33.262697,0 days 00:01:39.950960,1024.0,4.0,2.0,constant,rbf,,0.01,2048.0,1000.0,0.0,kmeans,33.0,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}"
42225.0,diamonds,1.0,1.0,0.0010405372595414,2022-10-28 12:39:33.263287,2022-10-28 12:42:10.775641,0 days 00:02:37.512354,819.0,2.0,17.0,constant,matern0.5,,0.0010514351531876,1024.0,240.0,0.0,random,100.0,COMPLETE,
42225.0,diamonds,1.0,2.0,0.0010881798807531,2022-10-28 12:42:10.776209,2022-10-28 12:45:23.954654,0 days 00:03:13.178445,985.0,3.0,11.0,constant,rbf,,0.0004104191909573,1024.0,84.0,1.0,random,125.0,COMPLETE,
42225.0,diamonds,1.0,3.0,0.0013911052374169,2022-10-28 12:45:23.955208,2022-10-28 12:49:29.256781,0 days 00:04:05.301573,892.0,3.0,11.0,constant,matern1.5,,0.0001346919796946,2048.0,62.0,0.0,random,192.0,COMPLETE,
42225.0,diamonds,1.0,4.0,0.0009945905767381,2022-10-28 12:49:29.257402,2022-10-28 12:51:53.223688,0 days 00:02:23.966286,605.0,3.0,6.0,constant,matern1.5,,0.0055497147757487,512.0,665.0,1.0,random,43.0,COMPLETE,
42225.0,diamonds,1.0,5.0,0.0010244118748232,2022-10-28 12:51:53.224245,2022-10-28 12:54:47.141811,0 days 00:02:53.917566,708.0,5.0,8.0,constant,matern1.5,,0.0005176484679522,512.0,724.0,1.0,random,49.0,COMPLETE,
42225.0,diamonds,1.0,6.0,0.0011523722205311,2022-10-28 12:54:47.142378,2022-10-28 12:55:58.892139,0 days 00:01:11.749761,778.0,3.0,8.0,constant,matern0.5,,0.0070936044849325,2048.0,343.0,0.0,kmeans,39.0,COMPLETE,
42225.0,diamonds,1.0,7.0,0.0010222018463537,2022-10-28 12:55:58.892698,2022-10-28 13:02:27.601737,0 days 00:06:28.709039,953.0,5.0,5.0,linear,matern1.5,,0.000384856285673,512.0,1540.0,1.0,kmeans,57.0,COMPLETE,
42225.0,diamonds,1.0,8.0,0.0014469095040112,2022-10-28 13:02:27.602301,2022-10-28 13:03:38.600698,0 days 00:01:10.998397,722.0,3.0,6.0,linear,matern1.5,,0.0560360276039695,1024.0,488.0,1.0,kmeans,25.0,COMPLETE,
42225.0,diamonds,1.0,9.0,0.0013406176585704,2022-10-28 13:03:38.601292,2022-10-28 13:05:05.248114,0 days 00:01:26.646822,370.0,5.0,20.0,linear,matern0.5,,0.0037983576288409,2048.0,803.0,1.0,random,49.0,COMPLETE,
42225.0,diamonds,1.0,10.0,0.0012313674669712,2022-10-28 13:05:05.248685,2022-10-28 13:06:17.520849,0 days 00:01:12.272164,117.0,2.0,15.0,linear,matern1.5,,0.0349970486725781,512.0,211.0,1.0,random,24.0,COMPLETE,
42225.0,diamonds,1.0,11.0,0.0010575910564512,2022-10-28 13:06:17.521406,2022-10-28 13:11:01.314527,0 days 00:04:43.793121,517.0,4.0,2.0,linear,matern1.5,,0.0015601870144755,512.0,1989.0,1.0,kmeans,35.0,COMPLETE,
42225.0,diamonds,1.0,12.0,0.0011675250716507,2022-10-28 13:11:01.315120,2022-10-28 13:18:55.230685,0 days 00:07:53.915565,535.0,4.0,5.0,linear,matern1.5,,0.0001615271609722,512.0,1403.0,1.0,kmeans,81.0,COMPLETE,
42225.0,diamonds,1.0,13.0,0.0011376664042472,2022-10-28 13:18:55.231260,2022-10-28 13:22:29.551367,0 days 00:03:34.320107,386.0,5.0,5.0,linear,matern1.5,,0.0168543292931884,512.0,1794.0,1.0,kmeans,26.0,COMPLETE,
42225.0,diamonds,1.0,14.0,0.0010503099765628,2022-10-28 13:22:29.551934,2022-10-28 13:24:11.812589,0 days 00:01:42.260655,67.0,4.0,9.0,constant,matern1.5,,0.0025310551004784,512.0,508.0,1.0,random,32.0,COMPLETE,
42225.0,diamonds,1.0,15.0,0.0012219839263707,2022-10-28 13:24:11.813176,2022-10-28 13:33:36.428795,0 days 00:09:24.615619,624.0,2.0,4.0,linear,rbf,,0.0003800065713557,512.0,1141.0,1.0,kmeans,122.0,COMPLETE,
42225.0,diamonds,1.0,16.0,0.0010014350991696,2022-10-28 13:33:36.429386,2022-10-28 13:35:52.661296,0 days 00:02:16.231910,232.0,5.0,13.0,constant,matern1.5,,0.0041015520489697,512.0,137.0,1.0,random,49.0,COMPLETE,
42225.0,diamonds,1.0,17.0,0.0010903800139203,2022-10-28 13:35:52.661863,2022-10-28 13:36:55.534822,0 days 00:01:02.872959,226.0,4.0,14.0,constant,matern1.5,,0.0050131425579376,512.0,95.0,1.0,random,20.0,COMPLETE,
42225.0,diamonds,1.0,18.0,0.0011252269614487,2022-10-28 13:36:55.535399,2022-10-28 13:37:48.571721,0 days 00:00:53.036322,388.0,3.0,13.0,constant,rbf,,0.0197667708766536,512.0,160.0,0.0,random,19.0,COMPLETE,
42225.0,diamonds,1.0,19.0,0.0029708831571042,2022-10-28 13:37:48.572274,2022-10-28 13:38:02.724017,0 days 00:00:14.151743,267.0,2.0,17.0,constant,matern0.5,,0.0867282348324371,1024.0,140.0,1.0,random,2.0,COMPLETE,
42225.0,diamonds,1.0,20.0,0.0010273945517838,2022-10-28 13:38:02.724595,2022-10-28 13:40:24.359245,0 days 00:02:21.634650,619.0,5.0,10.0,constant,matern1.5,,0.0018658009818498,512.0,456.0,1.0,random,45.0,COMPLETE,
42225.0,diamonds,1.0,21.0,0.0010673872893676,2022-10-28 13:40:24.359824,2022-10-28 13:43:08.854735,0 days 00:02:44.494911,883.0,5.0,7.0,linear,matern1.5,,0.0008348552862519,512.0,716.0,1.0,kmeans,36.0,COMPLETE,
42225.0,diamonds,1.0,22.0,0.0010796001879498,2022-10-28 13:43:08.855344,2022-10-28 13:44:33.352285,0 days 00:01:24.496941,457.0,5.0,13.0,constant,matern1.5,,0.0076455744789522,512.0,283.0,1.0,random,26.0,COMPLETE,
42225.0,diamonds,1.0,23.0,0.0010250587947666,2022-10-28 13:44:33.352880,2022-10-28 13:48:23.472749,0 days 00:03:50.119869,229.0,4.0,3.0,linear,matern1.5,,0.0035423991780381,512.0,1334.0,1.0,kmeans,38.0,COMPLETE,
42225.0,diamonds,1.0,24.0,0.0011165149044245,2022-10-28 13:48:23.473366,2022-10-28 13:49:12.819587,0 days 00:00:49.346221,613.0,5.0,6.0,constant,matern1.5,,0.0121751065603452,512.0,139.0,1.0,random,13.0,COMPLETE,
42225.0,diamonds,1.0,25.0,0.0010615084320306,2022-10-28 13:49:12.820163,2022-10-28 13:54:44.917453,0 days 00:05:32.097290,320.0,4.0,12.0,constant,matern1.5,,0.0001957557621727,512.0,415.0,1.0,random,121.0,COMPLETE,
42225.0,diamonds,1.0,26.0,0.0010935914469882,2022-10-28 13:54:44.918051,2022-10-28 13:59:22.524198,0 days 00:04:37.606147,154.0,3.0,9.0,linear,matern1.5,,0.0008442518755382,512.0,931.0,1.0,kmeans,61.0,COMPLETE,
42225.0,diamonds,1.0,27.0,0.0011549675837159,2022-10-28 13:59:22.524755,2022-10-28 14:00:33.359058,0 days 00:01:10.834303,925.0,5.0,16.0,constant,matern0.5,,0.0053092807482153,2048.0,597.0,0.0,random,42.0,COMPLETE,
42225.0,diamonds,1.0,28.0,0.0012544610071927,2022-10-28 14:00:33.359617,2022-10-28 14:04:41.305459,0 days 00:04:07.945842,467.0,4.0,20.0,linear,rbf,,0.0023707050544923,1024.0,1471.0,1.0,kmeans,56.0,COMPLETE,
42225.0,diamonds,1.0,29.0,0.0011997607070952,2022-10-28 14:04:41.306021,2022-10-28 14:05:39.266611,0 days 00:00:57.960590,693.0,5.0,2.0,constant,matern1.5,,0.0278765784686836,512.0,54.0,0.0,kmeans,18.0,COMPLETE,
