dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
216,elevators,1,0,0.0020719415042549,2022-10-20 20:57:56.020887,2022-10-20 20:59:28.819206,0 days 00:01:32.798319,1024,4,2,constant,rbf,,0.01,2048,1000,False,random,55,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}"
216,elevators,1,1,0.0016047267708927,2022-10-20 20:59:28.819796,2022-10-20 21:01:36.404807,0 days 00:02:07.585011,375,2,12,linear,rbf,,0.0029072752071665,512,63,False,kmeans,57,,,COMPLETE,
216,elevators,1,2,0.0062422640621662,2022-10-20 21:01:36.405371,2022-10-20 21:02:30.262896,0 days 00:00:53.857525,309,2,5,linear,rbf,,0.0174115442463336,2048,537,False,random,40,,,COMPLETE,
216,elevators,1,3,0.0015001281863078,2022-10-20 21:02:30.263435,2022-10-20 21:05:25.939199,0 days 00:02:55.675764,64,3,6,constant,rbf,,0.0045536902129232,2048,305,True,kmeans,123,,,COMPLETE,
216,elevators,1,4,0.0016204484272748,2022-10-20 21:05:25.939755,2022-10-20 21:06:43.802003,0 days 00:01:17.862248,254,5,14,constant,matern1.5,,0.0025344196215948,2048,856,False,random,50,,,COMPLETE,
216,elevators,1,5,0.0010881735943257,2022-10-20 21:06:43.802565,2022-10-20 21:11:07.522605,0 days 00:04:23.720040,910,5,7,constant,matern1.5,,0.0030378939073009,512,413,True,kmeans,82,,,COMPLETE,
216,elevators,1,6,0.004554258659482,2022-10-20 21:11:07.523178,2022-10-20 21:13:09.490448,0 days 00:02:01.967270,788,4,12,linear,rbf,,0.0056295193045795,1024,1061,True,kmeans,29,,,COMPLETE,
216,elevators,1,7,0.0012440171558409,2022-10-20 21:13:09.491042,2022-10-20 21:15:10.039730,0 days 00:02:00.548688,586,4,7,constant,rbf,,0.0054616901166835,512,315,True,kmeans,37,,,COMPLETE,
216,elevators,1,8,0.0034238833468407,2022-10-20 21:15:10.040287,2022-10-20 21:16:12.749063,0 days 00:01:02.708776,520,5,2,constant,matern1.5,,0.0287261627821457,2048,53,True,kmeans,38,,,COMPLETE,
216,elevators,1,9,0.0019113624002784,2022-10-20 21:16:12.749624,2022-10-20 21:17:44.304065,0 days 00:01:31.554441,709,4,16,constant,matern0.5,,0.0168230411029395,1024,1348,True,kmeans,14,,,COMPLETE,
216,elevators,1,10,0.0021005887538194,2022-10-20 21:17:44.304625,2022-10-20 21:19:41.944442,0 days 00:01:57.639817,991,5,19,linear,matern1.5,,0.0003662744348764,512,130,True,kmeans,35,,,COMPLETE,
216,elevators,1,11,0.001058449037373,2022-10-20 21:19:41.945020,2022-10-20 21:24:47.505953,0 days 00:05:05.560933,781,3,8,constant,matern0.5,,0.0004174991152437,512,263,True,kmeans,116,,,COMPLETE,
216,elevators,1,12,0.0010458186734467,2022-10-20 21:24:47.506512,2022-10-20 21:30:50.281407,0 days 00:06:02.774895,827,3,9,constant,matern0.5,,0.0003913943972022,512,204,True,kmeans,145,,,COMPLETE,
216,elevators,1,13,0.0010737017728388,2022-10-20 21:30:50.281993,2022-10-20 21:42:09.301778,0 days 00:11:19.019785,796,3,10,constant,matern0.5,,0.0001042560594113,512,170,True,kmeans,294,,,COMPLETE,
216,elevators,1,14,0.0011383703676983,2022-10-20 21:42:09.302353,2022-10-20 21:46:28.176424,0 days 00:04:18.874071,626,3,9,constant,matern0.5,,0.0006780404596555,512,163,True,kmeans,105,,,COMPLETE,
216,elevators,1,15,0.0011067106388509,2022-10-20 21:46:28.176997,2022-10-20 21:50:19.424691,0 days 00:03:51.247694,858,3,9,constant,matern0.5,,0.0008358388553036,512,112,True,random,102,,,COMPLETE,
216,elevators,1,16,0.0012787220766767,2022-10-20 21:50:19.425264,2022-10-20 21:59:36.564130,0 days 00:09:17.138866,714,2,4,constant,matern0.5,,0.0001059733961142,512,232,True,kmeans,239,,,COMPLETE,
216,elevators,1,17,0.0012317684013396,2022-10-20 21:59:36.564691,2022-10-20 22:05:33.975319,0 days 00:05:57.410628,481,3,15,constant,matern0.5,,0.0002675876705651,1024,88,True,kmeans,237,,,COMPLETE,
216,elevators,1,18,0.0011490583419799,2022-10-20 22:05:33.975880,2022-10-20 22:11:38.291360,0 days 00:06:04.315480,915,2,8,linear,matern0.5,,0.0010847431229907,512,613,False,random,145,,,COMPLETE,
216,elevators,1,19,0.0011533427750691,2022-10-20 22:11:38.291932,2022-10-20 22:16:19.453059,0 days 00:04:41.161127,680,3,13,constant,matern0.5,,0.0002738727561749,512,225,True,kmeans,109,,,COMPLETE,
216,elevators,1,20,0.0047930409200489,2022-10-20 22:16:19.453653,2022-10-20 22:20:57.403850,0 days 00:04:37.950197,787,4,17,constant,matern0.5,,0.0589284800949688,1024,1992,True,kmeans,46,,,COMPLETE,
216,elevators,1,21,0.0010534171015024,2022-10-20 22:20:57.404425,2022-10-20 22:31:00.983474,0 days 00:10:03.579049,807,3,10,constant,matern0.5,,0.0001042942615727,512,175,True,kmeans,256,,,COMPLETE,
216,elevators,1,22,0.0010923472000285,2022-10-20 22:31:00.984029,2022-10-20 22:40:06.523051,0 days 00:09:05.539022,870,3,11,constant,matern0.5,,0.0001684356369905,512,236,True,kmeans,221,,,COMPLETE,
216,elevators,1,23,0.0011294536525383,2022-10-20 22:40:06.523614,2022-10-20 22:44:17.771646,0 days 00:04:11.248032,957,3,10,constant,matern0.5,,0.0004876712152773,512,88,True,kmeans,104,,,COMPLETE,
216,elevators,1,24,0.0012045227922499,2022-10-20 22:44:17.772209,2022-10-20 22:48:43.883553,0 days 00:04:26.111344,813,2,4,constant,matern0.5,,0.0015708087903896,512,351,True,kmeans,99,,,COMPLETE,
