dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
4549.0,k2204_BPV,1.0,0.0,0.0006861086003482,2022-10-20 06:52:58.265817,2022-10-20 06:54:23.268578,0 days 00:01:25.002761,1024.0,4.0,2.0,constant,rbf,,0.01,2048.0,1000.0,0.0,kmeans,66.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}"
4549.0,k2204_BPV,1.0,1.0,0.0362177491188049,2022-10-20 06:54:23.269164,2022-10-20 06:54:45.241157,0 days 00:00:21.971993,323.0,5.0,19.0,linear,matern0.5,,0.0510566058199793,1024.0,511.0,1.0,random,14.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,2.0,0.0023708357475697,2022-10-20 06:54:45.241772,2022-10-20 06:55:14.838101,0 days 00:00:29.596329,333.0,4.0,6.0,linear,rbf,,0.0015917569027355,1024.0,309.0,0.0,kmeans,27.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,3.0,0.0011013566982001,2022-10-20 06:55:14.838711,2022-10-20 06:56:34.731687,0 days 00:01:19.892976,473.0,5.0,12.0,constant,rbf,,0.0017794373205172,1024.0,1129.0,1.0,random,67.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,4.0,0.0017964227590709,2022-10-20 06:56:34.732277,2022-10-20 06:57:38.026376,0 days 00:01:03.294099,538.0,4.0,2.0,constant,rbf,,0.0045907731854553,2048.0,705.0,0.0,random,85.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,5.0,0.0004710692737717,2022-10-20 06:57:38.027060,2022-10-20 06:58:41.011479,0 days 00:01:02.984419,737.0,4.0,9.0,constant,matern0.5,,0.0116312459901042,1024.0,281.0,1.0,random,68.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,6.0,0.0014446433633565,2022-10-20 06:58:41.012061,2022-10-20 06:59:17.141793,0 days 00:00:36.129732,328.0,2.0,9.0,linear,matern0.5,,0.000482446965387,1024.0,537.0,1.0,random,33.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,7.0,0.0010254761436954,2022-10-20 06:59:17.142360,2022-10-20 07:01:24.249272,0 days 00:02:07.106912,784.0,3.0,12.0,constant,matern0.5,,0.0004003753739973,1024.0,292.0,1.0,random,158.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,8.0,0.0054430477321147,2022-10-20 07:01:24.249895,2022-10-20 07:02:05.399555,0 days 00:00:41.149660,819.0,4.0,2.0,linear,matern1.5,,0.0311951658138209,2048.0,1147.0,1.0,kmeans,21.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,9.0,0.0003417478583287,2022-10-20 07:02:05.400112,2022-10-20 07:02:44.134088,0 days 00:00:38.733976,1013.0,3.0,15.0,constant,matern1.5,,0.006389924695253,1024.0,396.0,0.0,random,39.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,10.0,0.0004744023608509,2022-10-20 07:02:44.134668,2022-10-20 07:08:22.126094,0 days 00:05:37.991426,1006.0,2.0,18.0,constant,matern1.5,,0.0001269684821218,512.0,93.0,0.0,random,400.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,11.0,0.0002558775304351,2022-10-20 07:08:22.126682,2022-10-20 07:08:56.597613,0 days 00:00:34.470931,753.0,3.0,15.0,constant,matern1.5,,0.0124051107252497,512.0,143.0,0.0,random,28.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,12.0,0.0002765022218227,2022-10-20 07:08:56.598185,2022-10-20 07:09:44.097614,0 days 00:00:47.499429,65.0,3.0,16.0,constant,matern1.5,,0.0169504331102162,512.0,101.0,0.0,random,45.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,13.0,0.0006602227222174,2022-10-20 07:09:44.098190,2022-10-20 07:10:13.119581,0 days 00:00:29.021391,69.0,3.0,16.0,constant,matern1.5,,0.0262754420465205,512.0,90.0,0.0,random,24.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,14.0,0.0030912584625184,2022-10-20 07:10:13.120148,2022-10-20 07:10:28.789830,0 days 00:00:15.669682,80.0,2.0,15.0,constant,matern1.5,,0.0796024193685259,512.0,50.0,0.0,random,9.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,15.0,0.0003551707486622,2022-10-20 07:10:28.790441,2022-10-20 07:10:59.109152,0 days 00:00:30.318711,659.0,3.0,20.0,constant,matern1.5,,0.0174900097423526,512.0,153.0,0.0,kmeans,20.0,,,COMPLETE,
4549.0,k2204_BPV,1.0,16.0,0.0001780153252184,2022-10-20 07:10:59.109756,2022-10-20 07:12:00.884471,0 days 00:01:01.774715,222.0,3.0,17.0,constant,matern1.5,,0.0027539960558618,512.0,157.0,0.0,random,60.0,,,COMPLETE,
