dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2,system_attrs_completed_rung_3
287.0,r1_08_BPV,1.0,0.0,0.0005591431981883,2022-10-27 11:40:09.874342,2022-10-27 11:43:09.060794,0 days 00:02:59.186452,1024.0,4.0,2.0,constant,rbf,,0.01,8192.0,1000.0,False,random,20.0,COMPLETE,,,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}",,
287.0,r1_08_BPV,1.0,1.0,0.0005642327596433,2022-10-27 11:43:09.061477,2022-10-27 11:47:14.943813,0 days 00:04:05.882336,811.0,3.0,19.0,linear,matern1.5,,0.0004829639243469,2048.0,319.0,False,random,27.0,COMPLETE,0.0005782485823146,0.0005655938875861,,,
287.0,r1_08_BPV,1.0,2.0,0.0008590804063715,2022-10-27 11:47:14.944451,2022-10-27 11:48:38.601584,0 days 00:01:23.657133,386.0,5.0,16.0,constant,matern1.5,,0.0007039347493065,2048.0,153.0,False,kmeans,,PRUNED,0.0008590804063715,,,,
287.0,r1_08_BPV,1.0,3.0,0.0006002603913657,2022-10-27 11:48:38.601915,2022-10-27 11:51:04.090778,0 days 00:02:25.488863,202.0,4.0,17.0,constant,rbf,,0.0002865127798364,1024.0,659.0,True,kmeans,,PRUNED,0.0006002603913657,,,,
287.0,r1_08_BPV,1.0,4.0,0.0009132122504524,2022-10-27 11:51:04.091084,2022-10-27 12:21:22.285445,0 days 00:30:18.194361,615.0,2.0,11.0,constant,matern0.5,,1.865872628850713e-05,8192.0,236.0,True,random,299.0,COMPLETE,0.0309637486934661,0.00675800582394,,0.0010620435932651,
287.0,r1_08_BPV,1.0,5.0,0.0006402150611393,2022-10-27 12:21:22.286102,2022-10-27 12:31:25.088659,0 days 00:10:02.802557,290.0,2.0,3.0,linear,matern1.5,,0.0007234786439956,8192.0,144.0,True,random,92.0,COMPLETE,0.0015406033489853,0.0006431674701161,,,
287.0,r1_08_BPV,1.0,6.0,0.0765138640999794,2022-10-27 12:31:25.089327,2022-10-27 12:33:01.735790,0 days 00:01:36.646463,384.0,3.0,4.0,linear,matern1.5,,2.424187944903202e-05,2048.0,181.0,True,random,,PRUNED,0.0765138640999794,,,,
287.0,r1_08_BPV,1.0,7.0,0.0006118582678027,2022-10-27 12:33:01.736114,2022-10-27 12:35:01.897389,0 days 00:02:00.161275,309.0,4.0,10.0,linear,rbf,,0.0010001964997442,8192.0,1697.0,True,random,,PRUNED,0.0006118582678027,,,,
287.0,r1_08_BPV,1.0,8.0,0.0009217490442097,2022-10-27 12:35:01.897728,2022-10-27 12:37:04.802975,0 days 00:02:02.905247,532.0,2.0,12.0,constant,rbf,,9.387224858218664e-05,2048.0,979.0,True,kmeans,,PRUNED,0.0009217490442097,,,,
287.0,r1_08_BPV,1.0,9.0,0.0036428314633667,2022-10-27 12:37:04.803301,2022-10-27 12:39:07.877909,0 days 00:02:03.074608,718.0,3.0,15.0,constant,matern1.5,,3.1869166863670304e-05,1024.0,115.0,True,kmeans,,PRUNED,0.0036428314633667,,,,
287.0,r1_08_BPV,1.0,10.0,0.0006147356471046,2022-10-27 12:39:07.878245,2022-10-27 12:41:09.246708,0 days 00:02:01.368463,978.0,3.0,17.0,linear,matern1.5,,0.0002767241817531,1024.0,495.0,False,random,,PRUNED,0.0006147356471046,,,,
287.0,r1_08_BPV,1.0,11.0,0.0005675903521478,2022-10-27 12:41:09.247042,2022-10-27 13:11:11.167963,0 days 00:30:01.920921,65.0,2.0,17.0,constant,rbf,,2.710779118166972e-05,1024.0,993.0,False,random,143.0,COMPLETE,0.0006589097320102,0.0005801999359391,,,
287.0,r1_08_BPV,1.0,12.0,0.0852254554629325,2022-10-27 13:11:11.168608,2022-10-27 13:12:56.018745,0 days 00:01:44.850137,692.0,3.0,19.0,linear,matern0.5,,1.016147289554168e-06,2048.0,414.0,True,kmeans,,PRUNED,0.0852254554629325,,,,
287.0,r1_08_BPV,1.0,13.0,0.0005731132696382,2022-10-27 13:12:56.019096,2022-10-27 13:14:51.707549,0 days 00:01:55.688453,105.0,2.0,2.0,linear,matern0.5,,0.0240405383030262,1024.0,103.0,True,random,6.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,14.0,0.0551951490342617,2022-10-27 13:14:51.708181,2022-10-27 13:16:47.283787,0 days 00:01:55.575606,623.0,2.0,13.0,constant,rbf,,1.808579254005096e-06,1024.0,632.0,False,random,,PRUNED,0.0551951490342617,,,,
287.0,r1_08_BPV,1.0,15.0,0.0005662938347086,2022-10-27 13:16:47.284114,2022-10-27 13:19:09.420570,0 days 00:02:22.136456,1013.0,5.0,7.0,linear,matern0.5,,0.0340009882005482,8192.0,83.0,False,random,18.0,COMPLETE,0.0005764281377196,,,,
287.0,r1_08_BPV,1.0,16.0,0.0005800604703836,2022-10-27 13:19:09.421238,2022-10-27 13:21:09.120356,0 days 00:01:59.699118,832.0,5.0,10.0,linear,rbf,,0.0148399428477077,8192.0,410.0,True,kmeans,11.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,17.0,0.0005663238698616,2022-10-27 13:21:09.121003,2022-10-27 13:22:29.305413,0 days 00:01:20.184410,975.0,5.0,7.0,linear,matern0.5,,0.0467017342214988,8192.0,52.0,False,random,8.0,COMPLETE,0.0005909828469157,,,,
287.0,r1_08_BPV,1.0,18.0,0.0005685316864401,2022-10-27 13:22:29.306049,2022-10-27 13:24:05.345970,0 days 00:01:36.039921,844.0,4.0,2.0,linear,matern0.5,,0.0756647606994546,8192.0,51.0,False,random,11.0,COMPLETE,0.0005685316864401,,,,
287.0,r1_08_BPV,1.0,19.0,0.0008990338537842,2022-10-27 13:24:05.346612,2022-10-27 13:25:14.181587,0 days 00:01:08.834975,851.0,5.0,8.0,linear,matern0.5,,0.00842482495212,8192.0,252.0,False,random,,PRUNED,0.0008990338537842,,,,
287.0,r1_08_BPV,1.0,20.0,0.0005619479925371,2022-10-27 13:25:14.181922,2022-10-27 13:28:13.757335,0 days 00:02:59.575413,859.0,4.0,20.0,linear,matern1.5,,0.0056985908331688,2048.0,92.0,False,random,19.0,COMPLETE,0.0005676934961229,,,,
287.0,r1_08_BPV,1.0,21.0,0.0005729407421313,2022-10-27 13:28:13.757972,2022-10-27 13:35:59.946160,0 days 00:07:46.188188,223.0,2.0,2.0,constant,matern0.5,,0.000175174946505,1024.0,263.0,False,random,44.0,COMPLETE,0.0005992042715661,,,,
287.0,r1_08_BPV,1.0,22.0,0.0005770697025582,2022-10-27 13:35:59.946821,2022-10-27 13:37:19.238956,0 days 00:01:19.292135,589.0,2.0,2.0,constant,matern0.5,,0.079214587463326,8192.0,60.0,True,random,6.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,23.0,0.0005707061500288,2022-10-27 13:37:19.239612,2022-10-27 14:05:54.303059,0 days 00:28:35.063447,605.0,2.0,9.0,constant,rbf,,1.458622451271451e-05,1024.0,178.0,True,random,187.0,COMPLETE,0.0005940638366155,,,,
287.0,r1_08_BPV,1.0,24.0,0.000575769226998,2022-10-27 14:05:54.303693,2022-10-27 14:06:57.025219,0 days 00:01:02.721526,828.0,4.0,20.0,linear,matern1.5,,0.003602632357069,2048.0,229.0,False,random,3.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,25.0,0.0006913216784596,2022-10-27 14:06:57.025853,2022-10-27 14:10:04.202531,0 days 00:03:07.176678,148.0,3.0,6.0,linear,matern1.5,,0.0006388712220701,8192.0,54.0,False,kmeans,,PRUNED,0.0006913216784596,,,,
287.0,r1_08_BPV,1.0,26.0,0.0005618212162517,2022-10-27 14:10:04.202877,2022-10-27 14:13:16.124530,0 days 00:03:11.921653,528.0,2.0,20.0,linear,matern1.5,,0.0047710057015634,2048.0,103.0,False,random,22.0,COMPLETE,0.0005871284520253,,,,
287.0,r1_08_BPV,1.0,27.0,0.0005639954470098,2022-10-27 14:13:16.125199,2022-10-27 14:28:29.050240,0 days 00:15:12.925041,68.0,2.0,6.0,constant,rbf,,0.0007671993858566,8192.0,339.0,False,kmeans,155.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,28.0,0.0005631792009808,2022-10-27 14:28:29.050923,2022-10-27 14:30:14.624251,0 days 00:01:45.573328,505.0,2.0,14.0,linear,matern1.5,,0.0065025150817821,2048.0,89.0,False,random,10.0,COMPLETE,0.0005646123900078,,,,
287.0,r1_08_BPV,1.0,29.0,0.0006102454499341,2022-10-27 14:30:14.624929,2022-10-27 14:31:58.490701,0 days 00:01:43.865772,494.0,4.0,6.0,linear,matern1.5,,0.0009049564097084,1024.0,69.0,True,random,4.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,30.0,0.0005651321844197,2022-10-27 14:31:58.491364,2022-10-27 14:34:20.346522,0 days 00:02:21.855158,640.0,5.0,6.0,constant,matern1.5,,0.0070662008542347,8192.0,1211.0,False,random,12.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,31.0,0.0005616751732304,2022-10-27 14:34:20.347179,2022-10-27 14:36:46.329030,0 days 00:02:25.981851,485.0,3.0,8.0,linear,rbf,,0.0054637839468837,2048.0,720.0,False,kmeans,12.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,32.0,0.0005613705725409,2022-10-27 14:36:46.329665,2022-10-27 14:40:17.385052,0 days 00:03:31.055387,149.0,2.0,20.0,linear,matern1.5,,0.0025870978219159,2048.0,86.0,False,random,25.0,COMPLETE,0.00057734164875,,,,
287.0,r1_08_BPV,1.0,33.0,0.0005878524971194,2022-10-27 14:40:17.385717,2022-10-27 14:41:35.758959,0 days 00:01:18.373242,75.0,2.0,18.0,linear,matern1.5,,0.0018187916549914,2048.0,130.0,False,random,,PRUNED,0.0005878524971194,,,,
287.0,r1_08_BPV,1.0,34.0,0.0005807934794574,2022-10-27 14:41:35.759310,2022-10-27 14:42:52.716636,0 days 00:01:16.957326,65.0,2.0,10.0,linear,matern1.5,,0.0089524000444505,2048.0,68.0,False,random,,PRUNED,0.0005807934794574,,,,
287.0,r1_08_BPV,1.0,35.0,0.000565062451642,2022-10-27 14:42:52.716995,2022-10-27 14:45:42.491346,0 days 00:02:49.774351,213.0,2.0,20.0,linear,matern1.5,,0.0024082748337528,2048.0,104.0,False,random,19.0,COMPLETE,0.000575044483412,,,,
287.0,r1_08_BPV,1.0,36.0,0.0005670454120263,2022-10-27 14:45:42.492018,2022-10-27 14:48:34.382364,0 days 00:02:51.890346,996.0,5.0,9.0,constant,rbf,,0.0022073967090245,8192.0,710.0,True,kmeans,17.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,37.0,0.0005687419907189,2022-10-27 14:48:34.383044,2022-10-27 14:49:40.168633,0 days 00:01:05.785589,468.0,4.0,20.0,linear,matern1.5,,0.0186516397495658,2048.0,70.0,False,random,4.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,38.0,0.000570087111555,2022-10-27 14:49:40.169341,2022-10-27 14:51:08.625329,0 days 00:01:28.455988,629.0,3.0,18.0,linear,matern1.5,,0.0112086955662278,2048.0,174.0,False,random,7.0,COMPLETE,0.0005750805721618,,,,
287.0,r1_08_BPV,1.0,39.0,0.0025938232429325,2022-10-27 14:51:08.625971,2022-10-27 14:54:47.485167,0 days 00:03:38.859196,979.0,4.0,13.0,linear,rbf,,1.99266118348179e-06,2048.0,641.0,False,kmeans,20.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,40.0,0.0005914967623539,2022-10-27 14:54:47.485809,2022-10-27 14:55:58.354644,0 days 00:01:10.868835,245.0,2.0,16.0,linear,matern1.5,,0.0028743856091748,2048.0,121.0,False,random,5.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,41.0,0.0005635053385049,2022-10-27 14:55:58.355309,2022-10-27 14:57:31.636570,0 days 00:01:33.281261,441.0,3.0,18.0,linear,matern1.5,,0.0241195594757033,2048.0,72.0,False,random,8.0,COMPLETE,0.000573371478822,,,,
287.0,r1_08_BPV,1.0,42.0,0.0005643713520839,2022-10-27 14:57:31.637261,2022-10-27 15:00:55.356436,0 days 00:03:23.719175,799.0,5.0,9.0,constant,rbf,,0.0079764453882376,2048.0,1704.0,False,kmeans,9.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,43.0,0.0005995183018967,2022-10-27 15:00:55.357119,2022-10-27 15:02:18.867963,0 days 00:01:23.510844,573.0,4.0,15.0,linear,matern1.5,,0.0013777625768028,2048.0,214.0,False,random,,PRUNED,0.0005995183018967,,,,
287.0,r1_08_BPV,1.0,44.0,0.0005683091585524,2022-10-27 15:02:18.868314,2022-10-27 15:04:27.093259,0 days 00:02:08.224945,927.0,4.0,11.0,linear,matern1.5,,0.0031890602525365,2048.0,228.0,True,kmeans,9.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,45.0,0.0013919187476858,2022-10-27 15:04:27.093911,2022-10-27 15:05:45.000483,0 days 00:01:17.906572,156.0,2.0,20.0,constant,matern1.5,,0.0001416788038744,2048.0,94.0,False,kmeans,,PRUNED,0.0013919187476858,,,,
287.0,r1_08_BPV,1.0,46.0,0.0005626059137284,2022-10-27 15:05:45.000853,2022-10-27 15:07:42.643537,0 days 00:01:57.642684,305.0,3.0,17.0,linear,rbf,,0.0041745930014981,1024.0,143.0,False,random,8.0,COMPLETE,0.0005639237351715,,,,
287.0,r1_08_BPV,1.0,47.0,0.0005624440382234,2022-10-27 15:07:42.644203,2022-10-27 15:13:38.920687,0 days 00:05:56.276484,950.0,3.0,15.0,constant,rbf,,0.0012341155473655,8192.0,203.0,False,kmeans,57.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,48.0,0.0005933993379585,2022-10-27 15:13:38.921426,2022-10-27 15:15:01.930096,0 days 00:01:23.008670,747.0,2.0,19.0,linear,matern1.5,,0.0005294070951137,2048.0,368.0,False,random,,PRUNED,0.0005933993379585,,,,
287.0,r1_08_BPV,1.0,49.0,0.0005819817306473,2022-10-27 15:15:01.930453,2022-10-27 15:16:10.294593,0 days 00:01:08.364140,751.0,3.0,18.0,linear,matern1.5,,0.0943493376263021,2048.0,284.0,False,random,4.0,COMPLETE,,,,,
287.0,r1_08_BPV,1.0,50.0,0.00060236180434,2022-10-27 15:16:10.295264,2022-10-27 15:17:49.810916,0 days 00:01:39.515652,322.0,3.0,19.0,linear,rbf,,0.0060331461414247,1024.0,143.0,False,random,,PRUNED,0.00060236180434,,,,
287.0,r1_08_BPV,1.0,51.0,0.0006177159375511,2022-10-27 15:17:49.811287,2022-10-27 15:19:23.981235,0 days 00:01:34.169948,121.0,2.0,16.0,linear,rbf,,0.0039152282814792,1024.0,64.0,False,random,,PRUNED,0.0006177159375511,,,,
287.0,r1_08_BPV,1.0,52.0,0.0006038176361471,2022-10-27 15:19:23.981582,2022-10-27 15:21:06.387685,0 days 00:01:42.406103,282.0,4.0,17.0,linear,rbf,,0.0006633511705505,1024.0,173.0,False,random,,PRUNED,0.0006038176361471,,,,
