dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
287.0,wine_quality,1.0,0.0,0.0139283668249845,2022-10-23 02:07:19.848780,2022-10-23 02:08:53.000722,0 days 00:01:33.151942,1024.0,4.0,2.0,constant,rbf,,0.01,1024.0,1000.0,False,random,81.0,,,COMPLETE,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}"
287.0,wine_quality,1.0,1.0,0.0138068981468677,2022-10-23 02:08:53.001326,2022-10-23 02:10:25.737499,0 days 00:01:32.736173,508.0,3.0,2.0,constant,matern1.5,,0.0201100658660996,512.0,365.0,False,random,78.0,,,COMPLETE,
287.0,wine_quality,1.0,2.0,0.0136688575148582,2022-10-23 02:10:25.738114,2022-10-23 02:13:01.892010,0 days 00:02:36.153896,292.0,4.0,6.0,linear,matern0.5,,0.0009382997567673,1024.0,147.0,True,random,205.0,,,COMPLETE,
287.0,wine_quality,1.0,3.0,0.0153970681130886,2022-10-23 02:13:01.892593,2022-10-23 02:14:24.449627,0 days 00:01:22.557034,711.0,3.0,13.0,constant,rbf,,0.0379609646291475,2048.0,739.0,True,kmeans,74.0,,,COMPLETE,
287.0,wine_quality,1.0,4.0,0.0129374815151095,2022-10-23 02:14:24.450290,2022-10-23 02:18:33.688462,0 days 00:04:09.238172,695.0,5.0,19.0,constant,matern1.5,,0.0002185144245427,512.0,993.0,False,random,163.0,,,COMPLETE,
287.0,wine_quality,1.0,5.0,0.0196962282061576,2022-10-23 02:18:33.689040,2022-10-23 02:19:08.260386,0 days 00:00:34.571346,440.0,4.0,11.0,linear,matern0.5,,0.0003014031138848,2048.0,81.0,False,kmeans,45.0,,,COMPLETE,
287.0,wine_quality,1.0,6.0,0.0133535517379641,2022-10-23 02:19:08.260967,2022-10-23 02:22:04.109099,0 days 00:02:55.848132,778.0,4.0,2.0,constant,rbf,,0.0100096524833448,512.0,1465.0,False,kmeans,72.0,,,COMPLETE,
287.0,wine_quality,1.0,7.0,0.0192327797412872,2022-10-23 02:22:04.109730,2022-10-23 02:23:54.572240,0 days 00:01:50.462510,724.0,5.0,20.0,linear,rbf,,0.0343768070490906,512.0,337.0,False,kmeans,80.0,,,COMPLETE,
287.0,wine_quality,1.0,8.0,0.0156836733222007,2022-10-23 02:23:54.572810,2022-10-23 02:24:38.011277,0 days 00:00:43.438467,110.0,3.0,13.0,linear,matern0.5,,0.0070457326163928,1024.0,675.0,False,random,41.0,,,COMPLETE,
287.0,wine_quality,1.0,9.0,0.0348041243851184,2022-10-23 02:24:38.011854,2022-10-23 02:25:32.516439,0 days 00:00:54.504585,1017.0,3.0,19.0,linear,rbf,,0.051309785107832,512.0,794.0,False,random,33.0,,,COMPLETE,
287.0,wine_quality,1.0,10.0,0.0126145305112004,2022-10-23 02:25:32.517005,2022-10-23 02:37:22.048373,0 days 00:11:49.531368,800.0,5.0,16.0,constant,matern1.5,,0.0001237679903173,512.0,1962.0,True,random,316.0,,,COMPLETE,
287.0,wine_quality,1.0,11.0,0.0131852254271507,2022-10-23 02:37:22.048970,2022-10-23 02:47:29.276278,0 days 00:10:07.227308,804.0,5.0,17.0,constant,matern1.5,,0.0001347656860468,512.0,1600.0,True,random,306.0,,,COMPLETE,
287.0,wine_quality,1.0,12.0,0.0129673173651099,2022-10-23 02:47:29.276884,2022-10-23 02:51:14.492163,0 days 00:03:45.215279,611.0,5.0,16.0,constant,matern1.5,,0.0009544080271894,512.0,1779.0,True,random,97.0,,,COMPLETE,
287.0,wine_quality,1.0,13.0,0.0131056243553757,2022-10-23 02:51:14.492748,2022-10-23 02:58:18.705044,0 days 00:07:04.212296,890.0,2.0,16.0,constant,matern1.5,,0.0001308661615765,512.0,460.0,True,random,400.0,,,COMPLETE,
287.0,wine_quality,1.0,14.0,0.0125619387254118,2022-10-23 02:58:18.705620,2022-10-23 03:02:00.060856,0 days 00:03:41.355236,603.0,5.0,10.0,constant,matern1.5,,0.0005272717191882,512.0,167.0,True,random,193.0,,,COMPLETE,
287.0,wine_quality,1.0,15.0,0.0155922891572117,2022-10-23 03:02:00.061437,2022-10-23 03:04:08.894861,0 days 00:02:08.833424,378.0,5.0,9.0,constant,matern1.5,,0.0006815882705096,2048.0,179.0,True,random,199.0,,,COMPLETE,
287.0,wine_quality,1.0,16.0,0.0127451186999678,2022-10-23 03:04:08.895468,2022-10-23 03:06:15.855909,0 days 00:02:06.960441,571.0,2.0,8.0,constant,matern1.5,,0.0019706078061774,512.0,55.0,True,random,124.0,,,COMPLETE,
287.0,wine_quality,1.0,17.0,0.0130071081221103,2022-10-23 03:06:15.856487,2022-10-23 03:09:52.101686,0 days 00:03:36.245199,258.0,5.0,14.0,constant,matern1.5,,0.0003318990984172,512.0,189.0,True,random,196.0,,,COMPLETE,
287.0,wine_quality,1.0,18.0,0.01352434232831,2022-10-23 03:09:52.102300,2022-10-23 03:11:21.098423,0 days 00:01:28.996123,892.0,4.0,6.0,constant,matern1.5,,0.002330982493351,1024.0,103.0,True,kmeans,90.0,,,COMPLETE,
