dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2,system_attrs_completed_rung_3
44027.0,year,1.0,0.0,0.010565623641014,2022-11-02 16:14:22.591094,2022-11-02 16:18:04.220365,0 days 00:03:41.629271,1024.0,4.0,2.0,constant,rbf,,0.01,2048.0,1000.0,0.0,random,22.0,COMPLETE,0.01080958917737,,"{'n_max': 1024, 'n_layers': 4, 'n_out': 2, 'mean_type': 'constant', 'kernel_type': 'rbf', 'lr': 0.01, 'num_inducing': 1000, 'initialize_fe': False, 'params_minit': 'random'}",,
44027.0,year,1.0,1.0,0.0125924022868275,2022-11-02 16:18:04.221017,2022-11-02 16:19:37.176264,0 days 00:01:32.955247,348.0,4.0,8.0,linear,matern0.5,,1.0027395092243416e-05,2048.0,72.0,1.0,random,8.0,COMPLETE,,,,,
44027.0,year,1.0,2.0,0.0103900739923119,2022-11-02 16:19:37.176889,2022-11-02 16:26:05.817248,0 days 00:06:28.640359,1001.0,5.0,7.0,constant,rbf,,0.0049938564146552,1024.0,1569.0,1.0,kmeans,18.0,COMPLETE,,,,,
44027.0,year,1.0,3.0,0.0140117425471544,2022-11-02 16:26:05.817842,2022-11-02 16:27:15.485167,0 days 00:01:09.667325,67.0,4.0,17.0,constant,matern0.5,,0.0656296722845441,8192.0,129.0,1.0,kmeans,,PRUNED,0.0140117425471544,,,,
44027.0,year,1.0,4.0,0.0103493770584464,2022-11-02 16:27:15.485505,2022-11-02 16:31:59.305555,0 days 00:04:43.820050,400.0,2.0,5.0,linear,matern1.5,,0.0013343308597722,1024.0,82.0,0.0,random,31.0,COMPLETE,,,,,
44027.0,year,1.0,5.0,0.0105399508029222,2022-11-02 16:31:59.306181,2022-11-02 16:38:05.372635,0 days 00:06:06.066454,849.0,2.0,5.0,linear,rbf,,0.0002255417267998,2048.0,237.0,1.0,random,55.0,COMPLETE,,,,,
44027.0,year,1.0,6.0,0.011811202391982,2022-11-02 16:38:05.373262,2022-11-02 16:39:32.877743,0 days 00:01:27.504481,348.0,3.0,18.0,linear,rbf,,0.0206297024470039,1024.0,159.0,0.0,kmeans,,PRUNED,0.011811202391982,,,,
44027.0,year,1.0,7.0,0.011051676236093,2022-11-02 16:39:32.878079,2022-11-02 16:42:04.641023,0 days 00:02:31.762944,617.0,4.0,17.0,constant,rbf,,0.0290752111675953,1024.0,187.0,0.0,random,14.0,COMPLETE,,,,,
44027.0,year,1.0,8.0,0.011540382169187,2022-11-02 16:42:04.641634,2022-11-02 16:43:21.808549,0 days 00:01:17.166915,292.0,4.0,9.0,constant,matern0.5,,0.0738346288669625,2048.0,565.0,0.0,random,,PRUNED,0.011540382169187,,,,
44027.0,year,1.0,9.0,0.0100339939817786,2022-11-02 16:43:21.808858,2022-11-02 16:55:48.393118,0 days 00:12:26.584260,270.0,3.0,6.0,constant,rbf,,7.91468808046299e-05,1024.0,315.0,0.0,kmeans,88.0,COMPLETE,0.0100444285199046,,,,
44027.0,year,1.0,10.0,0.0107606267556548,2022-11-02 16:55:48.393829,2022-11-02 16:58:04.871811,0 days 00:02:16.477982,567.0,2.0,15.0,linear,matern0.5,,0.0127326150009954,2048.0,707.0,1.0,kmeans,11.0,COMPLETE,,,,,
44027.0,year,1.0,11.0,0.0111299119889736,2022-11-02 16:58:04.872528,2022-11-02 16:59:39.130316,0 days 00:01:34.257788,319.0,2.0,13.0,linear,rbf,,0.0122725940126752,1024.0,58.0,1.0,random,,PRUNED,0.0111299119889736,,,,
44027.0,year,1.0,12.0,0.009929466061294,2022-11-02 16:59:39.130694,2022-11-02 17:29:53.932845,0 days 00:30:14.802151,291.0,2.0,6.0,constant,matern1.5,,3.1842752645460093e-05,1024.0,863.0,0.0,kmeans,166.0,COMPLETE,0.0114688631147146,0.0101840551942586,,,
44027.0,year,1.0,13.0,0.0113896839320659,2022-11-02 17:29:53.933665,2022-11-02 17:31:09.893435,0 days 00:01:15.959770,529.0,3.0,19.0,constant,matern0.5,,0.0223857948884626,8192.0,125.0,0.0,kmeans,10.0,COMPLETE,,,,,
44027.0,year,1.0,14.0,0.0117032937705516,2022-11-02 17:31:09.894243,2022-11-02 17:33:02.140725,0 days 00:01:52.246482,368.0,4.0,15.0,constant,rbf,,0.0001064009800332,1024.0,445.0,1.0,kmeans,,PRUNED,0.0117032937705516,,,,
