dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state
216.0,k2204_PPV,1.0,0.0,0.0978189999999999,2022-10-01 17:06:28.687550,2022-10-01 17:10:19.904554,0 days 00:03:51.217004,4.0,0.0012519388212264,0.2999575090320396,0.4437008727540794,0.8148065275845909,1.917791726624288e-06,0.0333287874683541,621.5108181328862,10000.0,COMPLETE
216.0,k2204_PPV,1.0,1.0,0.0241165,2022-10-01 17:10:19.919906,2022-10-01 17:10:37.384361,0 days 00:00:17.464455,12.0,0.0380156871669439,0.3581590729114123,0.4842733696407693,0.4623328414787476,0.0006857022355027,0.0418496111625783,10.093039304296308,734.0,COMPLETE
216.0,k2204_PPV,1.0,2.0,0.01846175,2022-10-01 17:10:37.386403,2022-10-01 17:10:51.110222,0 days 00:00:13.723819,9.0,0.0723643985622529,0.4366683818726864,0.649340126485417,0.018266927635069,4.263910232147429e-08,3.6513343542198e-08,11.267630879933384,560.0,COMPLETE
216.0,k2204_PPV,1.0,3.0,0.02910825,2022-10-01 17:10:51.112017,2022-10-01 17:12:39.115292,0 days 00:01:48.003275,10.0,0.016192456083293,0.3364210243959032,0.4573217053555908,3.760485588417589,0.2814884257109179,2.46843703992014e-08,167.26793699725383,4704.0,COMPLETE
216.0,k2204_PPV,1.0,4.0,0.03892375,2022-10-01 17:12:39.117216,2022-10-01 17:13:50.051508,0 days 00:01:10.934292,4.0,0.0113866092112026,0.219522440128782,0.6490009802477998,0.0320992543275546,0.0088892439502329,6.334890773453814e-07,404.6091386390187,3041.0,COMPLETE
216.0,k2204_PPV,1.0,5.0,0.01869325,2022-10-01 17:13:50.053482,2022-10-01 17:14:21.077089,0 days 00:00:31.023607,7.0,0.0367763991438302,0.2078049914037597,0.537150226210136,0.0693335748299572,8.303340361302747e-05,0.0008085672430457,45.85845138308087,1278.0,COMPLETE
216.0,k2204_PPV,1.0,6.0,0.276307,2022-10-01 17:14:21.078969,2022-10-01 17:14:21.134084,0 days 00:00:00.055115,9.0,0.0020816790943305,0.3754706460702377,0.4575622553627976,0.0901671796206056,1.8444746561545733e-08,1.718760318736646e-07,62.16755978851706,,PRUNED
216.0,k2204_PPV,1.0,7.0,0.2689375,2022-10-01 17:14:21.134474,2022-10-01 17:14:21.258972,0 days 00:00:00.124498,4.0,0.0299129268202231,0.317996698658478,0.5534779644707047,0.0564335952499681,3.87671392640388,0.0098851044890324,872.5986759729287,,PRUNED
216.0,k2204_PPV,1.0,8.0,0.0920385,2022-10-01 17:14:21.259341,2022-10-01 17:14:25.881928,0 days 00:00:04.622587,6.0,0.0400010511814661,0.2572103705309287,0.6818715615969035,0.0190715492027436,1.5632546061946806e-07,9.668370807042344,166.03041580115735,184.0,COMPLETE
216.0,k2204_PPV,1.0,9.0,0.27562025,2022-10-01 17:14:25.883378,2022-10-01 17:14:25.935756,0 days 00:00:00.052378,4.0,0.0197792031225263,0.3740979041010847,0.578873809651166,0.0190464330952429,2.0001097628677008e-08,0.042039574626454,939.7436311197928,,PRUNED
216.0,k2204_PPV,1.0,10.0,0.02546875,2022-10-01 17:14:25.936092,2022-10-01 17:14:41.065277,0 days 00:00:15.129185,11.0,0.0959057460082085,0.5287882554728699,0.7516863718323866,8.507210762646706,5.618100168639898e-06,2.8967592047805528e-05,11.744442838834322,646.0,COMPLETE
216.0,k2204_PPV,1.0,11.0,0.0185019999999999,2022-10-01 17:14:41.066812,2022-10-01 17:14:54.969710,0 days 00:00:13.902898,7.0,0.0894336911967749,0.4881503575608894,0.5456873962500584,0.1121671418665831,3.019824787353745e-05,4.710807721665346e-05,31.200933414808347,571.0,COMPLETE
216.0,k2204_PPV,1.0,12.0,0.0060475,2022-10-01 17:14:54.971585,2022-10-01 17:15:22.883494,0 days 00:00:27.911909,7.0,0.0981895326428304,0.5110169661682592,0.6276468212342092,0.1837413261933313,7.216846636264488e-06,8.751272125885095e-06,27.469002301737643,1157.0,COMPLETE
216.0,k2204_PPV,1.0,13.0,0.27620325,2022-10-01 17:15:22.886121,2022-10-01 17:15:22.959384,0 days 00:00:00.073263,9.0,0.0048045267091623,0.4446311025663564,0.6464763121978119,0.22995754666626,6.093336281934444e-07,3.637952067892781e-06,21.1873101426486,,PRUNED
216.0,k2204_PPV,1.0,14.0,0.00471175,2022-10-01 17:15:22.959688,2022-10-01 17:15:40.039975,0 days 00:00:17.080287,8.0,0.067048977881939,0.5853953815116257,0.7716519134858697,0.0100468652589732,0.0023856459993446,2.6323063874748653e-08,18.69768980827691,646.0,COMPLETE
216.0,k2204_PPV,1.0,15.0,0.0104415,2022-10-01 17:15:40.041599,2022-10-01 17:15:56.754281,0 days 00:00:16.712682,6.0,0.0534065988508265,0.593517961446403,0.7908351150891785,1.0666027346348277,0.0028605797134713,4.783557393784522e-06,21.72199645224796,693.0,COMPLETE
216.0,k2204_PPV,1.0,16.0,0.2761782499999999,2022-10-01 17:15:56.756279,2022-10-01 17:15:56.830869,0 days 00:00:00.074590,7.0,0.005419532789291,0.5818650508163696,0.7407221387070264,2.349587111319558,0.0476570949942835,1.2968109051543952e-08,92.6157024368357,,PRUNED
216.0,k2204_PPV,1.0,17.0,0.2761415,2022-10-01 17:15:56.831255,2022-10-01 17:15:56.905489,0 days 00:00:00.074234,8.0,0.0062747217091661,0.5059880625682343,0.4090882158577426,0.0108091006967903,0.00016060347528,5.586851418007647e-07,21.38868168495427,,PRUNED
216.0,k2204_PPV,1.0,18.0,0.27558475,2022-10-01 17:15:56.905853,2022-10-01 17:15:56.977294,0 days 00:00:00.071441,6.0,0.0206679218954198,0.4353018791232093,0.6003611236882759,0.210752434481274,1.2626309833230607e-05,0.0004357010640427,40.20265002835804,,PRUNED
216.0,k2204_PPV,1.0,19.0,0.01020575,2022-10-01 17:15:56.977645,2022-10-01 17:16:15.495797,0 days 00:00:18.518152,8.0,0.0540321119345693,0.5432063598931143,0.6953962641716557,0.5954445336484481,0.0007239531303111,7.141478903981687e-06,86.87070210496566,765.0,COMPLETE
216.0,k2204_PPV,1.0,20.0,0.27217625,2022-10-01 17:16:15.497384,2022-10-01 17:16:15.594273,0 days 00:00:00.096889,10.0,0.0594647935572053,0.4637354105928892,0.7953217559860554,0.1749414139703551,0.1383073351180558,3.617148106258115e-07,18.07242692849375,,PRUNED
216.0,k2204_PPV,1.0,21.0,0.008611,2022-10-01 17:16:15.594649,2022-10-01 17:16:34.526315,0 days 00:00:18.931666,8.0,0.0968364109992323,0.5483644930318481,0.7022573181533119,0.3857470016846828,0.0011714484455667,3.535382231387065e-05,78.68907082088195,795.0,COMPLETE
216.0,k2204_PPV,1.0,22.0,0.01751625,2022-10-01 17:16:34.528313,2022-10-01 17:16:42.929574,0 days 00:00:08.401261,8.0,0.0868014791255477,0.5969895495357664,0.7109545197944598,1.682840578859038,0.0059205602545576,0.0024613782487358,190.7887039548323,341.0,COMPLETE
216.0,k2204_PPV,1.0,23.0,0.2721997499999999,2022-10-01 17:16:42.931179,2022-10-01 17:16:43.026012,0 days 00:00:00.094833,7.0,0.0586480711465969,0.406716893705208,0.6118773885280974,0.3210775472469758,0.0004156486525018,0.0001771163477548,58.289591857543776,,PRUNED
216.0,k2204_PPV,1.0,24.0,0.2753187499999999,2022-10-01 17:16:43.026396,2022-10-01 17:16:43.106608,0 days 00:00:00.080212,5.0,0.0276079378117417,0.5314539253644723,0.7531502763327086,0.042516280796779,0.0212814526549576,5.151905007231614e-05,32.262593111841134,,PRUNED
216.0,k2204_PPV,1.0,25.0,0.0481045,2022-10-01 17:16:43.106963,2022-10-01 17:16:45.649658,0 days 00:00:02.542695,10.0,0.0949006107274386,0.4849049201240705,0.7225453758066456,0.1138551877226076,6.428549276655869e-05,9.142097982906188e-08,254.7168153845529,,PRUNED
216.0,k2204_PPV,1.0,26.0,0.27452175,2022-10-01 17:16:45.650034,2022-10-01 17:16:45.722426,0 days 00:00:00.072392,9.0,0.048556504516145,0.5524568784541045,0.5130308202447165,0.3691478980915947,1.5365628987562832,1.656111865113257e-06,15.632609907192045,,PRUNED
216.0,k2204_PPV,1.0,27.0,0.271519,2022-10-01 17:16:45.722761,2022-10-01 17:16:45.816827,0 days 00:00:00.094066,8.0,0.0695580266062968,0.4070162434826725,0.6710657587832282,0.010167569342768,0.0031902746002796,2.429149803637332,68.64744800797678,,PRUNED
216.0,k2204_PPV,1.0,28.0,0.275898,2022-10-01 17:16:45.817153,2022-10-01 17:16:45.889411,0 days 00:00:00.072258,5.0,0.0126423153841277,0.5079115054764919,0.6138904018205239,1.053512845031405,1.799363629217638e-06,1.6045904876456753e-05,28.999862046669254,,PRUNED
216.0,k2204_PPV,1.0,29.0,0.2763355,2022-10-01 17:16:45.889705,2022-10-01 17:16:45.960771,0 days 00:00:00.071066,7.0,0.0014026312431073,0.269403163290519,0.776304009771118,4.990438081688905,5.665809008480973e-06,0.0001901844713785,114.63560712010198,,PRUNED
216.0,k2204_PPV,1.0,30.0,0.2762614999999999,2022-10-01 17:16:45.961149,2022-10-01 17:16:46.045567,0 days 00:00:00.084418,8.0,0.0032524066623925,0.5566108178117566,0.7143184519069394,0.7179553225837344,0.0015861916443179,0.0016839919819112,42.72354235865842,,PRUNED
216.0,k2204_PPV,1.0,31.0,0.01123525,2022-10-01 17:16:46.045934,2022-10-01 17:17:00.827690,0 days 00:00:14.781756,9.0,0.0691719685038725,0.5502812642217738,0.6797728108746701,0.7342161612027497,0.0004533718534867,9.413076812873512e-06,99.69624578113977,614.0,COMPLETE
216.0,k2204_PPV,1.0,32.0,0.27464425,2022-10-01 17:17:00.829662,2022-10-01 17:17:00.903112,0 days 00:00:00.073450,8.0,0.0456645526566181,0.4888896785616993,0.6932893265831782,0.4508613705591253,0.0006109620987245,1.4404648140783426e-06,81.32121513458273,,PRUNED
216.0,k2204_PPV,1.0,33.0,0.27524375,2022-10-01 17:17:00.903412,2022-10-01 17:17:00.977151,0 days 00:00:00.073739,6.0,0.0299733010847803,0.5634376007837151,0.6373361424649033,0.5525823292192827,2.704188843634187e-05,9.707979200362086e-05,14.997776408084556,,PRUNED
216.0,k2204_PPV,1.0,34.0,0.2715824999999999,2022-10-01 17:17:00.977490,2022-10-01 17:17:01.074829,0 days 00:00:00.097339,7.0,0.0695871846377537,0.4616049353432999,0.5798603659557081,1.7348113404974583,0.0010993853846096,5.86699723165132e-08,327.59042832571726,,PRUNED
216.0,k2204_PPV,1.0,35.0,0.2760785,2022-10-01 17:17:01.075224,2022-10-01 17:17:01.151256,0 days 00:00:00.076032,12.0,0.0079531966786057,0.5232544779021484,0.6668802654909967,0.1657967953941809,0.0162724824681048,1.0234832250562292e-05,120.60297425875078,,PRUNED
216.0,k2204_PPV,1.0,36.0,0.2750345,2022-10-01 17:17:01.151646,2022-10-01 17:17:01.237687,0 days 00:00:00.086041,9.0,0.0351899510339664,0.4191900783225309,0.6337000270807991,0.0339681375559407,0.0001144031040009,1.920187218205536e-06,141.4664503606696,,PRUNED
