dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state,system_attrs_fixed_params
44027.0,year,1.0,0.0,0.0110737748439772,2022-11-05 13:42:27.518497,2022-11-05 13:58:08.926814,0 days 00:15:41.408317,34.0,0.0144381868218876,0.4891192096013213,0.4477968334953721,0.1927249938472705,0.1437108352404843,2.2184363513500656,38.66598975723923,481.0,COMPLETE,
44027.0,year,1.0,1.0,0.011445357845116,2022-11-05 13:58:08.929845,2022-11-05 14:06:05.083849,0 days 00:07:56.154004,5.0,0.0022998492160485,0.2366904146058277,0.4141786875159275,5.7050275092974525,5.8384473620487984e-05,1.0826537019330845e-07,14.125876180248264,2000.0,COMPLETE,
44027.0,year,1.0,2.0,0.0100093084405304,2022-11-05 14:06:05.087094,2022-11-05 14:51:12.223157,0 days 00:45:07.136063,36.0,0.0030662648238919,0.2368055397591703,0.7497265564957999,0.0234107160439017,7.061842473609111e-05,1.5765950720090514e-06,75.32968962663821,2000.0,COMPLETE,
44027.0,year,1.0,3.0,0.0096407177638861,2022-11-05 14:51:12.230910,2022-11-05 14:59:58.850857,0 days 00:08:46.619947,9.0,0.0239848984472066,0.2212750736218582,0.5152079752087239,0.2571437566361688,1.5168464594663856e-06,0.0032714572177766,18.86105412387488,1034.0,COMPLETE,
44027.0,year,1.0,4.0,0.0123029533398791,2022-11-05 14:59:58.855789,2022-11-05 15:08:52.656902,0 days 00:08:53.801113,40.0,0.0206556892464781,0.568535881208687,0.4463308834078417,5.492452273720524,0.0005442961165918,9.75253324544802,36.14528157576203,296.0,COMPLETE,
44027.0,year,1.0,5.0,0.375826,2022-11-05 15:08:52.661412,2022-11-05 15:08:54.525161,0 days 00:00:01.863749,44.0,0.0098298538429342,0.2457133057890002,0.7200205946914312,0.7499271783380183,0.0037028901343761,9.75314365134012e-06,2.4695235689689805,,PRUNED,
44027.0,year,1.0,6.0,0.377685,2022-11-05 15:08:54.525774,2022-11-05 15:08:56.035825,0 days 00:00:01.510051,24.0,0.0043894909842908,0.2766757952032338,0.6815792863710753,2.251471969199843,3.462474482956373e-07,0.000365462324879,17.27067289938595,,PRUNED,
44027.0,year,1.0,7.0,0.0097519331240163,2022-11-05 15:08:56.036386,2022-11-05 15:15:58.070467,0 days 00:07:02.034081,7.0,0.0250952922002667,0.2595090160975416,0.4173908807012506,0.0330427994608988,1.923026287588723e-06,1.3338380227165743e-06,49.85032274856964,1182.0,COMPLETE,
44027.0,year,1.0,8.0,0.373822,2022-11-05 15:15:58.074908,2022-11-05 15:15:59.403031,0 days 00:00:01.328123,7.0,0.0156890555343834,0.2837146880456186,0.5919336614208909,1.5515347967294424,1.1852208899353789,0.0019708666580886,4.672614925130078,,PRUNED,
44027.0,year,1.0,9.0,0.378551,2022-11-05 15:15:59.403595,2022-11-05 15:16:02.537661,0 days 00:00:03.134066,39.0,0.0018681435724729,0.3990891939059554,0.6694480665700075,0.162954843255348,8.579929010896598e-05,0.0025771491573861,4.965650233010264,,PRUNED,
44027.0,year,1.0,10.0,0.0100461298823718,2022-11-05 15:16:02.538215,2022-11-05 15:24:43.074315,0 days 00:08:40.536100,19.0,0.0656342426912868,0.2042526719844513,0.5297254184319078,0.1063846038280812,1.4768463265449128e-08,0.0439111628306986,18.59025694543904,483.0,COMPLETE,
44027.0,year,1.0,11.0,0.0095881137782005,2022-11-05 15:24:43.079208,2022-11-05 15:32:27.220902,0 days 00:07:44.141694,14.0,0.0435024203679613,0.3443151665282162,0.5057972657067968,0.0101880382601097,1.0105255695492706e-06,1.0254384400193184e-08,99.5765559249824,475.0,COMPLETE,
44027.0,year,1.0,12.0,0.0097391364776619,2022-11-05 15:32:27.224041,2022-11-05 15:37:16.289298,0 days 00:04:49.065257,16.0,0.0718763402505928,0.3477070889050836,0.5182148300400492,0.0101486635883835,1.4615782314143353e-06,1.963249660128779e-08,97.69748727748627,258.0,COMPLETE,
44027.0,year,1.0,13.0,0.0096521780427373,2022-11-05 15:37:16.292256,2022-11-05 15:48:25.448443,0 days 00:11:09.156187,14.0,0.0396680204879444,0.3403655497229267,0.5000552224187306,0.0644334126094909,6.098038391040388e-08,0.0828482706318634,9.75563216648866,620.0,COMPLETE,
